# TODO: Translate to Simplified Chinese
# Source: subtitle_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 603

"HASH_BC417DC0": "这不是关于希望，或者信仰，甚至不是关于赢。"
"HASH_815CAA80": "理论上是的。最耗时的部分是从海量数据中识别出金吉的脑电波。"
"HASH_9D4C20C0": "否则他会在睡梦中杀了我。"
"HASH_D6822880": "很好。因为如果我们要实现金的计划，我们需要所有能找到的帮手。"
"HASH_56452E40": "约翰尼，我们要跳了！"
"HASH_609497C0": "恋父情结？"
"HASH_F8818A00": "是是是……回见，马特。"
"HASH_6E2C95C0": "很糟。"
"HASH_BE894F40": "是啊，但都是闹着玩的嘛。"
"HASH_9607D440": "我来了，香蒂！"
"HASH_4AFF5DC0": "约翰尼……我让你失望了……我让我们所有人都失望了。我们不该跑的，我们该留下来战斗的，但我们做不到，因为……因为我的原因我们做不到。"
"HASH_75121AC0": "你真美。"
"HASH_416D4B80": "我一直以为夜刃只是个吸血鬼剧。"
"HASH_88C97980": "毫无。意义。"
"HASH_68C2B5C0": "你到底在哪——"
"HASH_013880C0": "约翰尼·盖特是我最老的朋友，也是我认识的最狠的混蛋。我曾以为菲利普·洛伦杀了他而哀悼过。现在我知道他还活着，我愿穿越地狱把他带回来。"
"HASH_44AC4781": "一张模拟世界的地图。"
"HASH_E60E3181": "我从模拟世界中出来了，皮尔斯和金都昏过去了，近防警报在尖叫，阿莎、米勒和副总统都不见了。"
"HASH_A4A2C441": "我有种感觉我们马上就要起争执了。"
"HASH_5AC6E101": "回见。"
"HASH_86B5B4C1": "你漏掉了一些关键细节，伙计。"
"HASH_6BCD6F81": "你没穿裤子。"
"HASH_665F64C1": "谢谢你。我是真心的。"
"HASH_5D055481": "我没想到他们会这么正经。"
"HASH_D67AA282": "哇哇哇……时间旅行？"
"HASH_2AD43A42": "我们要杀很多外星人了。"
"HASH_FFA8DA02": "那你能找到金吉吗？"
"HASH_DBFE8382": "你还不知道全貌呢，孩子。来吧，我们得去救金吉。"
"HASH_17D1A902": "啊！"
"HASH_F17525C2": "我们被设局了！"
"HASH_2B7D5F42": "我们谈完了。"
"HASH_772B4CC2": "除此之外，这个世界任你玩弄。尽情破坏吧，放纵你最原始的欲望，对我来说都无所谓……只要留那个囚犯一命就行。"
"HASH_CCEC9B43": "你不准告诉任何人你看到的。听明白了吗？"
"HASH_41AC6103": "你听着跟朱利叶斯一模一样。"
"HASH_FFE893C3": "我真不敢相信米勒骗了我……想想我居然还道了歉……"
"HASH_D2BB5703": "我们还没开始呢，我在等米勒。"
"HASH_EFFA9E43": "是啊，这两件事从来没他妈的重叠过。"
"HASH_573688C3": "你说得对……你不是在问我，你是在求我。"
"HASH_B0877143": "我想关掉整个模拟世界，你觉得你能做到吗？"
"HASH_CA851783": "还有谁会被困在飞机上？"
"HASH_C7171CC3": "老大……约翰尼死了。"
"HASH_366AEB43": "听着，你跟朱利叶斯·利特尔一个德性。把背叛过你的人放在二把手的位置，那不等于找死嘛。"
"HASH_9FB26DC3": "我早该想到，一个以安宁为名的监狱是困不住你这种反社会的家伙的。"
"HASH_5F957843": "老大，你确定这不是个套？"
"HASH_136AA783": "但即便如此，圣徒们并不满足……"
"HASH_54DBD343": "超级。力量。格斗。俱乐部！规则很简单：活下来。每一轮玩家都要面对越来越强的敌人。证明你的实力，你就能获得一场BOSS战。你完成得越快，得分越高。上场吧！"
"HASH_BB970F44": "很难说，阁下。齐尼亚克收藏了很长时间。"
"HASH_6D556004": "你随便怎么打都行，因为等我反击的时候我会把你放倒的，贱人！"
"HASH_0A8392C4": "我说的是任何人。"
"HASH_87C36884": "他在骗你。"
"HASH_6CCBC104": "我们有麻烦了！"
"HASH_FCE9FD04": "是啊，为什么不呢。"
"HASH_299597C4": "公平说，盖特从不自以为是。"
"HASH_7D967204": "你在开玩笑吗？老大要回到一个他们还不掌权的时代。你上一次看到这种事是什么时候？"
"HASH_4713C984": "他救了我们的命不是为了让我们自怨自艾的。"
"HASH_F0E652C4": "我就知道。"
"HASH_FD745984": "行，我处理完这边就过去——"
"HASH_93973105": "我不知道，是金吉通过无线电告诉我的。"
"HASH_D1BEA085": "啧啧啧……基思。"
"HASH_3FCAFD05": "我的美国同胞们。我亲身体会到与齐恩人的战争让我们付出了什么代价。还需要多少人死去，我们才能意识到是时候放下骄傲，不求分裂，而求团结了？"
"HASH_92AADB85": "你越界了！"
"HASH_2D870585": "金吉，冷静。"
"HASH_75B6D985": "我们可以把这艘船叫\"碎爱尔兰人\"号。"
"HASH_2924D705": "去你的，荡妇！"
"HASH_57A1A905": "别在孩子们面前打架。"
"HASH_73726105": "我知道别人说这不是我的错，但如果老大不用保护我，你现在就会站在这里。我真的很抱歉，约翰尼。"
"HASH_5644B5C5": "噢！忽略。"
"HASH_B74B7905": "我现在能飞了吗？"
"HASH_B1444545": "去吧，把他们的世界撕碎。"
"HASH_849DF3C5": "你们人类为什么这么喜欢跳？"
"HASH_65BC4505": "我们知道利害关系。"
"HASH_E3CC1246": "成功了吗？"
"HASH_C288E706": "你不懂。齐尼亚克说他能恢复地球……我只需要杀了你。"
"HASH_FDA34546": "现在我们谈到点子上了……"
"HASH_275A02C6": "金吉……我穿的是什么？"
"HASH_40DABD46": "我不是力不从心。"
"HASH_64097546": "啊啊啊啊！"
"HASH_94AB9886": "约翰尼·盖特。"
"HASH_66184486": "哦是啊，她肯定很擅长把人装进他妈的裹尸袋里，但这不代表我们应该……"
"HASH_7A2E7447": "我知道这些年来你听过这番话很多次了……"
"HASH_5B232947": "我还是为一拳打在马特脸上感到内疚。"
"HASH_9FA657C7": "其实更像是动力装甲。"
"HASH_3EEE8387": "\"超级特工？\"老天马特，我知道你想泡她，但你也不用把她供起来吧。"
"HASH_0EF2C587": "对了，我就随便说说，我觉得我跟朱利叶斯只有表面上的相似。"
"HASH_A8439C47": "你太了解我了。"
"HASH_78E646C7": "这叫什么问题？"
"HASH_02D88207": "我觉得她在说很有道——"
"HASH_B37D1347": "金吉，现在不是\"教育时刻\"的时候。如果我们不帮马特，他会死的。"
"HASH_4EA67007": "我毁灭我想要的东西……"
"HASH_12329D88": "当然了，阁下。"
"HASH_826F5C48": "老大，齐恩人来了！"
"HASH_4AD03F08": "那他妈的太帅了。"
"HASH_9A2D4988": "她担心的不是你，是其他人。"
"HASH_4E235D88": "不知道有什么意义，谁在乎我加入圣徒之前做了什么。"
"HASH_FD4FD048": "金吉，你在听吗？"
"HASH_FFEC8908": "我们要把老伙计们找齐，然后去杀了齐尼亚克。"
"HASH_4C3E1F08": "她错了。查清楚这是哪里……我们要把我最好的朋友救回来。"
"HASH_E9400D48": "你真是小题大做了。这对他来说是个锻炼品格的好机会！"
"HASH_338E7E08": "哦不，我的朋友。这才是戏剧的精髓。"
"HASH_B03253C8": "简——"
"HASH_80BF9E48": "这是最新的支持率民调。"
"HASH_B9F10C49": "我们争取到了一个时间窗口，但你得快点行动。"
"HASH_C1617149": "我跟约翰尼·盖特一点都不像。"
"HASH_7D671CC9": "你应该看看你自己的脸。"
"HASH_405F90C9": "哎呀。"
"HASH_2EF15389": "因为被当作英雄来崇拜是一回事，做一个英雄又是另一回事。"
"HASH_062B6E49": "塔尼娅一直在往模拟世界里带副王帮的人，扩张她的帝国，但现在她有了新的招募方式。她给一些人感染了病毒，把他们变成了她自己的性工作奴隶。如果那病毒扩散，她就能有一支军队加入副王帮，让他们在模拟世界中不可阻挡。马特找到了办法，让你直接从他们身上吸收感染，过程中杀死病毒。处理完之后我们就去她的俱乐部——\"合法享受\"——给塔尼娅一点应得的教训。"
"HASH_47BABE4A": "那我能不能有个男仆什么的？"
"HASH_B4EEF58A": "好吧……"
"HASH_C438244A": "等我杀了你，我会很想念这些促膝长谈的时光的。"
"HASH_F8DADB0A": "我来了，约翰尼。"
"HASH_7A2810CA": "你有什么瞒着我。"
"HASH_642B2C4A": "是啊。"
"HASH_B72F48CA": "动手。"
"HASH_ED76670A": "你随意。"
"HASH_2F2B004A": "安保情况怎么样？"
"HASH_10CDF58A": "做你自己。"
"HASH_0448374A": "当圣徒在2006年向世界亮相时，他们被指责为冒牌货。"
"HASH_8E6E560A": "根据金吉的情报，钥匙需要被送到旧的辛迪加塔。系统的入口在装卸码头。我们负责开卡车，你负责把齐恩人赶走。进入后，C.I.D.将负责把钥匙送入主计算机中枢，这将导致模拟世界开始失稳。祝你好运。"
"HASH_89FD934B": "天哪不，我们没事。"
"HASH_FA6DC38B": "在我们每个人的故事里，我们都是英雄……是时候让我们成熟起来，看清全局了。地球会有它的救赎，但那将建立在谦逊而非暴力的基础上。"
"HASH_51DABD4B": "但丁说地狱最底层是留给叛徒的，但重要的是要记住，决定谁是英雄的是讲故事的人，而不是道德。然而哲学家们会花上数年辩论\"金吉赌局\"的伦理问题，圣徒们的看法可没那么仁慈……"
"HASH_5DAB2B4B": "约翰尼……到底发生了什么？"
"HASH_CA80EDCB": "嘿老大，你觉得盖特的脑子里是什么样的？"
"HASH_9F233A8B": "他说得对，好吗？！这是个糟糕的主意。为了救约翰尼，我们必须直接从飞船接入他的大脑，这意味着齐尼亚克会准确知道我们在哪。"
"HASH_595849CB": "嗯……我们杀了我。"
