"DLC_STORE_SEASON_PASS_CATEGORY": "季票内容"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] 已安装"
"TUT_DLC_WIN": "如果你想重玩这些任务，可以读取一个存档，它们会重新出现在你的手机菜单里。你之前完成任务获得的所有奖励依然可用。"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒车 \n{PLANE_PITCH_UP_DOWN_IMG} 俯仰\n{PLANE_LEFT_RIGHT_IMG} 滚转\n"
"PLT_TITLE_COMPATIBILITY_PS3": "进行局域网游戏时，你必须与房主使用相同版本的《黑道圣徒3》。请确保所有人都已下载最新标题更新。"
"UNL_COMMUNITY_ASSET05": "物品 - 罚球球衣"
"UNL_DESC_COMMUNITY_ASSET05": "罚球球衣现已可穿戴"
"PLT_TITLE_COMPATIBILITY_PC": "一起游玩时，你必须使用相同版本的《黑道圣徒3》。"
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "你的合作搭档没有游玩此活动所需的下载内容。两人都必须拥有该下载内容才能在合作模式中游玩此活动。"
"UNL_DESC_COMMUNITY_ASSET06": "天线现已可穿戴"
"DLC_STORE_HINT_PURCHASE": "购买"
"UNL_COMMUNITY_ASSET06": "物品 - 天线"
"PLT_TITLE_COMPATIBILITY_XBOX": "进行系统链接时，你必须与房主使用相同版本的《黑道圣徒3》。请确保所有人都已从 Xbox Live 下载最新标题更新。"
"UNL_DESC_COMMUNITY_ASSET04": "第三街圣徒连帽衫现已可穿戴"
"CHEAT_DISABLED_IN_COOP": "在合作模式中此作弊不可用。  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "该下载内容已安装且可用。仍要继续下载？"
"UNL_COMMUNITY_ASSET04": "物品 - 第三街圣徒连帽衫"
"DLC_STORE_HINT_DOWNLOAD": "下载"
"COOP_DLC_MISMATCH": "你的部分下载内容对搭档不可用，将暂时禁用。"

"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "这份可下载内容已安装并可使用。仍要继续购买吗？"
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] 季票内容"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "这份可下载内容需安装季票后才可使用。仍要继续下载吗？"
"UNL_DESC_COMMUNITY_ASSET02": "Volition 衬衫现已可以穿戴"
"UNL_COMMUNITY_ASSET02": "道具 - Volition 衬衫"
"UNL_COMMUNITY_ASSET01": "道具 - 圣徒成员衬衫"
"UNL_DESC_COMMUNITY_ASSET01": "圣徒成员衬衫现已可以穿戴"
"UNL_COMMUNITY_ASSET03": "道具 - 圣徒鸢尾花连帽衫"
"UNL_DESC_COMMUNITY_ASSET03": "圣徒鸢尾花连帽衫现已可以穿戴"

