# TODO: Translate to Simplified Chinese
# Source: dlc5_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 51

"HASH_947D0AA0": "增益元素 - 爆炸"
"HASH_0DAFAC01": "安东尼·伯奇"
"HASH_D88A3D23": "齐尼亚克突袭包"
"HASH_79137EE4": "发射能电击附近敌人的地雷。"
"HASH_987FD304": "压制者布雷器"
"HASH_E9C6D0C4": "爆炸冲击会使人类目标爆炸，进而引发连锁爆炸。你能制造多大的连锁反应？\n\n双击 {SUPER_QUICK_FREEZE_IMG} 快速切换冲击元素。或在超能力菜单中切换。"
"HASH_07A4A8C5": "感谢包"
"HASH_6AE664C5": "伙伴 - 安东尼·伯奇"
"HASH_D5FE2F05": "阿什莉·伯奇"
"HASH_774B0407": "压制者机枪"
"HASH_E96DF307": "伙伴 - 老伯奇"
"HASH_5E3717E7": "伙伴 - 阿什莉·伯奇"
"HASH_25065AC8": "\"嘿，阿什莉，你在玩什么？\"包"
"HASH_45347C89": "毁灭元素包"
"HASH_7CA9FA49": "让老伯奇在你的冒险中客串一把。"
"HASH_E31674CA": "\"嘿阿什莉！愿意做我的伙伴吗？\""
"cm_suit_zynyak": "齐尼亚克套装"
"HASH_1F33EE8C": "高射炮"
"HASH_8F486DCC": "践踏现在会把部分人类目标像火箭一样弹飞……高度爆炸的多弹头火箭。\n\n双击 {SUPER_QUICK_STOMP_IMG} 快速切换元素。或在超能力菜单中切换。"
"cm_suit_papoc": "公路野蛮人"
"HASH_D43A008E": "弧光布雷器"
"HASH_5E6628EE": "被拾起和投掷的人和车辆会变成炸弹。别抓太久！\n\n双击 {SUPER_QUICK_TELEKINESIS_IMG} 快速切换元素。或在超能力菜单中切换。"
"HASH_252B616F": "爆炸"
"HASH_CDE5C04F": "让安东尼帮你拯救世界。或者不帮。随便。"
"cf_suit_alienfsol": "外星女兵"
"HASH_8D1CEF71": "穿上外星服装，感受齐尼亚克风情，现已放入你的衣柜！"
"HASH_C1EBD8F2": "靠近的敌人会变成人体定时炸弹，你的射击还会获得额外爆炸力！\n\n双击 {SUPER_QUICK_SHIELD_IMG} 快速切换增益元素。或在超能力菜单中切换。"
"HASH_FAFFDE53": "爆炸"
"HASH_3F1684D3": "老伯奇"
"HASH_22DDD655": "真正的重金属。"
"HASH_BCFB2155": "老伯奇可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_0BA1C5B5": "阿什莉可以从HUB \"手机\"菜单中召唤到模拟世界中。她会帮助圣徒战斗。"
"cf_hat_fpopstar": "流行帽"
"HASH_CDE90156": "给喜欢大场面的人。"
"HASH_BC500296": "冲击元素 - 爆炸"
"cm_suit_aliensoldier": "外星大兵"
"cm_suit_agenttux": "特工西装"
"HASH_52327A97": "感谢游玩。新服装已放入你的衣柜！"
"HASH_3F70B697": "安东尼可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_ABB35DB7": "爆炸"
"cm_suit_warden": "典狱长"
"cm_ubdy_apologyt": "我只得到了这件破T恤"
"HASH_7090889A": "伯奇家族加入了圣徒，你现在可以把他们当作伙伴从手机中召唤。"
"HASH_10A2AEDB": "一套高度爆炸的超能力元素……简直就是炸弹！"
"cm_hat_postapocman": "末世护目镜"
"HASH_0BF0FABC": "念力元素 - 爆炸"
"cm_mask_zynyak": "齐尼亚克面具"
"HASH_4AA53CDE": "向空中倾泻弹幕。"
"HASH_DADEBF9E": "践踏元素 - 爆炸"
"cf_suit_popstar": "流行明星"
"HASH_362A7B7F": "爆炸"
