# TODO: Translate to Simplified Chinese
# Source: dlc3_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 48

"HASH_5F2DD4E1": "粉红佳人"
"HASH_5A551C21": "皮搋枪"
"cm_suit_hillb": "乡巴佬"
"cm_mask_dubya": "小布什面具"
"cf_suit_prairiedress": "草原长裙"
"HASH_48865403": "摇摆时光"
"HASH_D5B2F924": "Dubstep枪（混音）包"
"HASH_AF3E7904": "啤酒节"
"HASH_09C154A5": "爆炸皮搋释放的气体现在可以直接杀死大部分目标。"
"HASH_DC2AA845": "配你的长矛和魔法头盔刚好。"
"HASH_80522966": "可爱又致命"
"HASH_C7B961C6": "你要的答案全在这里。"
"cm_mask_washington": "开国总统面具"
"HASH_6372B927": "总统包"
"HASH_B02C3DA8": "这动感的节拍太棒了！"
"HASH_C338ECE9": "古典乐"
"HASH_D8AB256A": "BG-40"
"HASH_7F1FE20B": "给你的屠杀添点格调……还是说那叫痢疾？"
"cm_hair_benfranklin": "富兰克林头"
"HASH_B7E7030C": "来体验乡村风情吧，服装、武器和一辆土味十足的卡车，彰显不那么讲究的生活方式。"
"cf_hat_daisy": "乡村草帽"
"HASH_786A09ED": "Dubstep枪（DLC混音）"
"HASH_579410AF": "大乐团遇上大爆炸"
"HASH_7EFE69B0": "把攻略上的技巧用到实战中吧，这把冲锋枪方便又致命。"
"HASH_F75519F0": "挑个颜色，什么颜色都行。管他呢，全都要！"
"cm_mask_lincoln": "诚实林肯面具"
"HASH_B511F332": "当过总统了，现在可以穿得像总统一样——服装、假发和橡胶面具不只是有钱，看起来就像钞票上的人。"
"HASH_D8394992": "死亡金属"
"HASH_4AC64F13": "发射吸附式爆炸皮搋，粘在敌人身上后在恶臭中爆炸。"
"HASH_C32FB734": "用来打各种小动物的好帮手。害虫也行。"
"cf_hat_prairiebonnet": "草原遮阳帽"
"HASH_5C5786F7": "静默致命"
"HASH_282AE477": "油漆枪"
"HASH_47E63D98": "新曲子，一样的爽快。"
"cf_suit_daisy": "性感乡妞"
"HASH_61844919": "草根包"
"HASH_EC806899": "用金属碾压，用爵士摆平，用歌剧毁灭，或者直接上波尔卡的终极力量。"
"HASH_6F8CB139": "茅屋复仇者"
"HASH_9D32667A": "乡巴佬"
"cm_suit_washington": "爱国者"
"cm_mask_obama": "奥巴马面具"
"HASH_4A9C0CDB": "乡巴佬"
"HASH_C624855B": "镀金版"
"HASH_195B78DC": "金色永不过时。"
"HASH_18E098FD": "\"这玩意不需要你那城里人的什么'瞄准'。\""
"HASH_320F651E": "攻略包"
"HASH_C72B0D3E": "说到破坏力，这是硬核中的硬核。"
"cm_hat_hillbilly": "脏兮兮卡车司机帽"
