"COMMUNITY_SUCCESS_LINK_EXT": "現在のゲーマー プロフィールがTHQ IDにリンクされました"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "このゲーマータグは別のTHQ IDとリンクされています"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "このデータ保存機器には空き容量がありません。\n別のデータ保存機器を選択してセーブしてください"
"MULTI_MENU_SYSLINK_SIGN_IN_FULL": "システムリンクで遊ぶにはゲーマー プロフィールに\nサインインする必要があります"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "保存しています。\n本体の電源を切らないでください "
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"MAINMENU_ONLINE_GAME": "XBOX LIVE"
"SAVELOAD_IMPORT_LOADING": "コンテンツをインポートしています。\n本体の電源を切らないでください"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"STATS_CORRUPT_TITLE": "破損したゲーマー プロフィールのプレイデータ"
"COMMUNITY_SITE_BLURB": "初めてのキャラクターをアップロードして実績を獲得しよう。\nコミュニティで気に入ったキャラクターを見つけたら、ダウンロードして実際にゲーム内で使ってみよう。\nコミュニティチャレンジに参加してゲームアイテムを獲得したり、リアルタイムのコミュニティマップと、自分で作り上げたマップを見比べたりすることもできる。\nコミュニティ限定のセインツロウグッズやゲームコンテンツも見逃すな。"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"DPAD_UP_TXT": "A ボタン"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Xbox Live との接続が切断されました"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "仲間と別れる"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"SAVE_WARNING_BOOT": "下記が表示されている間は\n本体の電源を切ったりデータ保存機器を外したりしないでください"
"XBOX_NOT_SIGNED_IN": "サインインしていません"
"COOP_JOIN_CHEAT": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上実績を獲得することはできません"
"SYSTEM_LOGGING_IN": "サインインしています。お待ちください... "
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "このゲーマータグは既にTHQ IDとリンクされています"
