# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"HASH_5B40A480": "小绵羊"
"HASH_25827D80": "慢动作"
"HASH_474BE000": "合作"
"HASH_97757E01": "病毒注入"
"HASH_21F1FD81": "我需要夜刃"
"HASH_C72C3981": "任务"
"HASH_3F7BC882": "冲锋枪"
"HASH_63354982": "武器升级 - 3 级"
"HASH_6976C602": "圣詹姆斯"
"HASH_F1F76702": "超级 CID"
"HASH_864E2982": "音频"
"HASH_EB715802": "混蛋"
"HASH_57512B03": "投掷"
"HASH_ACAFC683": "你无法脱下身上正穿着的那件内衣。"
"HASH_2B910703": "警告"
"HASH_03AE2803": "第三颜色"
"HASH_ACD3D883": "载具选项"
"HASH_CDCE7D83": "改装前你需要先把车修好。"
"HASH_FE9C7F03": "我需要阿莎·奥德卡"
"HASH_8F9C3603": "召唤 C.I.D."
"HASH_77339E84": "穿戴物品"
"HASH_3F2C6184": "泥石流"
"HASH_C98EFB04": "[format][scale:1.0][image:map_store_clothing][/format]"
"HASH_A0AA6904": "语音指令"
"HASH_96BBA485": "病毒注入"
"HASH_064F0105": "性能"
"HASH_C683E305": "无人能向你描述这个秘籍，你得亲眼见识。"
"HASH_602DB705": "坦克大乱斗"
"HASH_FF056705": "切换至 践踏"
"HASH_F1DDDD05": "困难"
"HASH_BDC11985": "在线"
"HASH_6663FC06": "原厂"
"HASH_1C2F4306": "已解锁"
"HASH_DB06A306": "边缘工坊"
"HASH_0D1A0306": "洞穴探险家"
"HASH_E5524686": "妈咪与女孩"
"HASH_B5924B86": "现实世界"
"HASH_10D3D806": "黄金枪"
"HASH_B7D11C86": "给予经验值"
"pause_voice_tut": "语音指令"
"HASH_0B8D8E87": "颜色"
"HASH_5EA21107": "这将移除你当前的所有衣物。\n确定吗？"
"HASH_76966487": "超级念力"
"HASH_048D0B87": "我需要本·金"
"HASH_E0471F87": "夜刃"
"HASH_9327FC07": "选项菜单"
"STAT_ENEMY_GANG_KILLED": "外星击杀"
"STAT_DIVERSION_RESPECT_EARNED": "活动中赚取的经验值"
"HASH_68F44108": "轮毂尺寸"
"HASH_B243FC88": "时间放缓。"
"HASH_A5E5E088": "大头模式"
"HASH_F218A488": "切换至 电属性念力"
"HASH_22E35D88": "设置"
"HASH_A7E75A09": "烈焰"
"HASH_7950D789": "载具碾压"
"STAT_HUMAN_SHIELD_KILLS": "人盾击杀数"
"HASH_DAC97D0A": "进入你的车库"
"HASH_889FE08A": "吉祥物"
"HASH_E77B6B8A": "立即生成一个典狱长。"
"HASH_7CA3818A": "狗娘养的"
"HASH_F6A2E20B": "确定要以 {GAME_CASH}{1} 购买 {0} 吗？"
"HASH_2981FA8B": "旋叶"
"HASH_BC96BD0B": "槽位 2"
"HASH_E93B040B": "退出根据地"
"HASH_95D1388B": "猩红"
"HASH_6866E00B": "取消"
"HASH_B4397D0B": "切换至 爆裂践踏"
"HASH_A1C9E40B": "指令 CID 击杀"
"HASH_CDC9FB8C": "武器库"
"HASH_AE33300C": "你的载具已修复"
"HASH_109FFF8C": "要把这件物品从衣柜中丢弃吗？"
"HASH_9403B98C": "购买"
"HASH_714B408C": "病毒注入"
"HASH_5434B08C": "病毒注入"
"HASH_F7F5EB8C": "双倍夹心"
"HASH_09772A8C": "叫车"
"HASH_BC512B0C": "TNA 的士"
"HASH_5D830B0C": "我需要坦尼娅"
"HASH_5FB3328C": "新游戏"
"HASH_C38B9F0D": "希腊佬"
"HASH_3F97CE0D": "生命全满"
"HASH_6861D88D": "给予怪兽卡车"
"HASH_0CD5F68D": "切换至 爆破"
"HASH_9B1BAC8D": "该死的"
"HASH_F6E1DC8E": "确定要离开车库吗？"
"HASH_3439478E": "你的数据簇不足"
"HASH_800F228E": "警告"
