"TOUCH DOWN": "达阵";
"Tank Mayhem": "坦克大破坏";
"TANK MAYHEM": "坦克大破坏";
"Ball Mayhem": "球类大破坏";
"Horde Mode": "尸潮模式";
"HORDE MODE": "尸潮模式";
"Snatch": "抢人";
"SNATCH": "抢人";
"Mayhem": "大破坏";
"MAYHEM": "大破坏";
"Streaking": "裸奔";
"STREAKING": "裸奔";
"Human Torch": "人体火炬";
"HUMAN TORCH": "人体火炬";
"PANDA BLAZING": "熊猫烈焰";
"ZOMBIE": "僵尸";
"Zombie": "僵尸";
"Start Tank Mayhem": "开始坦克大破坏";
"Start Ball Mayhem": "开始球类大破坏";
"Start Mayhem": "开始大破坏";
"Start Snatch": "开始抢人";
"start Human Torch": "开始人体火炬";
"start Panda Blazing": "开始熊猫烈焰";
"start Zombie": "开始僵尸";
"Human Torch Level Selection": "人体火炬关卡选择";
"Zombie Level Selection": "僵尸关卡选择";
"START 3RD STREET SAINTS MISSION": "开始第三街圣徒任务";
"START DECKER STRONGHOLD": "开始骇客据点";
"START DECKERS MISSION": "开始骇客任务";
"START LUCHADORE MISSION": "开始摔角手任务";
"START LUCHADORE STRONGHOLD": "开始摔角手据点";
"START MORNINGSTAR STRONGHOLD": "开始晨星帮据点";
"START MORNINSTAR MISSION": "开始晨星帮任务";
"START STAG MISSION": "开始STAG任务";
"START STAG STRONGHOLD": "开始STAG据点";
"START STRONGHOLD": "开始据点";
"##Destroy the Vehicles": "##摧毁载具";
"##Destroy the airplane.": "##摧毁飞机。";
"##Drive the dealer to the clients": "##开车送毒贩去见买家";
"##Gang fight is in process, go help the saints": "##帮派火拼正在进行，去支援圣徒";
"##Protect the dealer while they meet with clients": "##在毒贩与买家交易时保护他";
"##The buyer got away.": "##买家跑了。";
"##The buyer is getting away!": "##买家要跑了！";
"##The buyer was killed.": "##买家被杀了。";
"##The cops are tailing you!": "##条子在跟踪你！";
"##The dealer was killed.": "##毒贩被杀了。";
"##D##The dealer was abandoned.": "##毒贩被抛弃了。";
"##The news helicoper is raising your police notoriety!": "##新闻直升机正在提升你的通缉度！";
"##You ran out of time.": "##时间用完了。";
"##You washed off the fuel.": "##你冲掉了身上的燃料。";
"##You've picked up a news helicopter!": "##你引来了一架新闻直升机！";
"##Your homie is ready to go, get over there to protect him.": "##你的兄弟准备好了，过去保护他。";
"##Buyer has run away without paying.  Get him!": "##买家没付钱就跑了。抓住他！";
"##Good job!  The cops lost their lead.": "##干得好！条子跟丢了。";
"##Objectives killed": "##击杀目标数";
"##BONUS": "##奖励";
"##TIME": "##时间";
"##Stops_made": "##完成交易数";
"##Rescue the dealer from the cops!": "##从条子手里救出毒贩！";
"##E##Rescue the dealer from the cops!": "##从条子手里救出毒贩！";
"##start Human Torch": "##开始人体火炬";
"!!Maybe you should stick to tricycles - you suck with a tank.": "!!你还是骑三轮车吧——你开坦克太烂了。";
"!!Streak closely to as many people as possible!": "!!尽量靠近更多的人裸奔！";
"!!SHOCKS LEFT": "!!剩余电击数";
"!!Time's up!": "!!时间到！";
"!!You're out of time.": "!!你的时间用完了。";
"!!DOWNLOAD A CHARACTER FROM THE SAINTS ROW WEBSITE.": "!!从圣徒网站下载角色。";
"!!DOWNLOAD CHARACTER": "!!下载角色";
"!!NEW MISSION AVAILABLE": "!!新任务可用";
"!!RESPECT": "!!声望";
"!!LEVEL!": "!!等级！";
"!!YOU ARE RUNNING OUT OF TIME": "!!时间快到了";
"!!Press %s again to start streaking.": "!!再按%s开始裸奔。";
"!!Streaking level %d complete!  Earned $%.0f": "!!裸奔第%d关完成！获得$%.0f";
"!!Streaking level %d complete!  Earned %d respect.": "!!裸奔第%d关完成！获得%d声望。";
"#Accept": "#接受";
"#Deny": "#拒绝";
"#Create new": "#创建新游戏";
"#Load": "#加载";
"#Multiplayer": "#多人模式";
"#FINDING SERVER": "#寻找服务器";
"#JOIN REQUEST": "#加入请求";
"#JOINING NEW GAME": "#加入新游戏";
"#JOINING SERVER": "#加入服务器";
"#LOAD CHARACTER": "#加载角色";
"#CANT_JOIN_YET_ACTIVITY": "#当前活动中无法加入";
"#CANT_JOIN_YET_CUTSCENE": "#过场动画中无法加入";
"#CANT_JOIN_YET_MISSION": "#任务中无法加入";
"#CANT_JOIN_YET_STRONGHOLD": "#据点战中无法加入";
"#Searching for game.": "#正在搜索游戏。";
"#Waiting on host to accept connection.": "#等待主机接受连接。";
"#Joining a new game will cause you to leave the current one.": "#加入新游戏将导致你离开当前游戏。";
"#Will load character, clothes, and vehicles from another game.": "#将加载其他游戏的角色、服装和载具。";
"#Waiting for %s to finish creating their player.": "#等待%s完成角色创建。";
"You died.": "你死了。";
"A survivor has died": "一名幸存者死了";
"Your homies have died": "你的兄弟死了";
"Your partner was busted!": "你的搭档被逮捕了！";
"Your partner was killed!": "你的搭档被杀了！";
"Your vehicle was destroyed.": "你的载具被摧毁了。";
"Your stats were damaged and must be reset.": "你的数据已损坏，必须重置。";
"Adrenaline mode ready!": "肾上腺素模式就绪！";
"Friendly fire turned on!": "友军伤害已开启！";
"Friendly fire turned off!": "友军伤害已关闭！";
"Friendly fire light turned on!": "轻度友军伤害已开启！";
"You can no longer damage your partner.": "你不能再伤害搭档了。";
"You can now damage your partner.": "你现在可以伤害搭档了。";
"You can now deal some damage to your partner.": "你现在可以对搭档造成一些伤害了。";
"Return to the area!": "返回该区域！";
"Entering restricted zone": "进入限制区域";
"Leaving restricted zone": "离开限制区域";
"Level Shutdown": "关卡关闭";
"OMG, speed up!  You're going to explode!": "天哪，快点！你要爆炸了！";
"You have completed streaking!": "你完成了裸奔！";
"You failed to stop the zombie assault": "你未能阻止僵尸进攻";
"Stop the zombie assault by wiping out the remaining zombies.": "消灭剩余僵尸以阻止僵尸进攻。";
"If you leave, you'll unleash the zombie assault into the world!": "如果你离开，僵尸将涌向世界！";
"You can access the pause menu with the %s button.": "按%s键打开暂停菜单。";
"You have %d seconds to revive a survivor!": "你有%d秒时间复活一名幸存者！";
"You need $%d to repair your vehicle.": "你需要$%d修理载具。";
"You can't customize a towing tow truck!": "无法自定义拖吊车！";
"You can't customize your partner's car.": "无法自定义搭档的车。";
"EYou can't customize your partner's car.": "无法自定义搭档的车。";
"You can't enter while your co-op partner is using it.": "搭档正在使用时无法进入。";
"You can't store your partner's vehicles.": "无法存放搭档的载具。";
"You can't visit here during this activity.": "活动期间无法前往此处。";
"You can't visit here during this mission.": "任务期间无法前往此处。";
"You can't visit here during this stronghold.": "据点战期间无法前往此处。";
"You can't visit here right now.": "现在无法前往此处。";
"You can't visit here until you've unlocked it": "解锁后才能前往此处";
"Drive the dealer to the clients": "开车送毒贩去见买家";
"The dealer must successfully complete %d deals": "毒贩必须成功完成%d次交易";
"The driver won't deliver drugs in that!": "司机不会开那个去送货！";
"I DON'T GAMBLE. JUST GIVE ME MY %ls.": "我不赌博。把我的%ls给我。";
"WAGER %ls FOR THE CHANCE AT %ls!": "用%ls下注，赢取%ls！";
