"DROP_SPHERE": "GEEF BOL"
"POC2_STRONHOLD_UPRGADE": "STRONGHOLD-UPGRADE"
"ALL_VARIANTS_ALREADY_OWNED": "Je hebt dit voorwerp al in alle stijlen."
"STAT_COOP_POLICE_NOTORIETY_TIME": "SAMENWERKING: TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ DE POLITIE"
"STAT_DRIVING_TWOWHEELS": "TWEE WIELEN"
"STAT_MAX_STUNT_JUMP_HEIGHT": "MAXIMALE HOOGTE GESPRONGEN"
"ESCORT_NAME_24B": "SCOOTER"
"HASH_01D23301": "DODENLABEL: GEWONNEN"
"DROP_GATMOBILE": "GEEF GAT MOBILE"
"BUSHWICK_BILL_DESC": "Alle mensen over de hele wereld worden kleiner gemaakt."
"HUD_CRIB_WALKING_STYLE": "PAS JE BEWEGINGEN AAN"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "Er is niets meer over om nog te kopen!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: VOLTOOID"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "TANKCHAOS: VOLTOOID"
"STAT_SECRET_AREAS_FOUND": "GEHEIME PLEKJES GEVONDEN"
"Coop Col2_NAME": "SAMENWERKINGSMISSIE LEADERBOARD"
"MAP_ICON_DRUG_TRAFFICKING": "DRUGSHANDEL"
"COMERCIAL_6": "25% KORTING BIJ FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "WAPENUPGRADE - NIVEAU 3"
"WPN_STORE_SMG_TITLE": "SMG'S"
"TAT_REG_R_LEG": "RECHTERBEEN"
"HORDE_MODE_TITLE_COMPLETE": "GOLF {0} VOLTOOID"
"ESCORT_NAME_26B": "St. James"
"EVIL_CARS_2_DESC": "Iedereen bestuurt een auto en iedereen zal over je heen proberen te rijden."
"STORE_TERTIARY_COLOR": "TERTIAIRE KLEUR"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "WAARSCHUWING"
"STORE_UNDERWEAR_SUB_WARNING": "Je kunt geen ondergoed uittrekken dat je op dit moment draagt."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Je moet dit voertuig repareren voordat het aangepast kan worden."
"GARAGE_VEHICLE_OPTION": "OPTIES VOOR VOERTUIGEN"
"WPN_STORE_THROWN_TITLE": "WERPWAPENS"
"STAT_MONEY_PALLETS_FOUND": "GEVONDEN GELDBUIDELS"
"STAT_UNIQUE_VEHICLES_DRIVEN": "UNIEKE VOERTUIGEN BESTUURD"
"STAT_SPECIAL_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET SPECIAAL WAPEN"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPECT VERDIEND DOOR TE STUREN VANAF DE ACHTERBANK"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPECT VERDIEND MET STOPPIES"
