"DLC_STORE_SEASON_PASS_CATEGORY": "ZAWARTOŚĆ SEASON PASS"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] Zainstalowane"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "Ta zawartość do pobrania jest już zainstalowana i dostępna. Kontynuować zakup?"
"TUT_DLC_WIN": "Jeżeli zechcesz zagrać w te misje ponownie, wczytaj zapisaną grę, a pojawią się znów w twoim telefonie. Wszelkie nagrody zdobyte za poprzednio ukończone misje będą dalej dostępne."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Zawartość Season Pass"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} PRZYŚPIESZENIE \n{PLANE_BRAKE_REVERSE_IMG} HAMOWANIE/WSTECZNY \n{PLANE_PITCH_UP_DOWN_IMG} WYSOKOŚĆ\n{PLANE_LEFT_RIGHT_IMG} OBRÓT\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "Ta zawartość do pobrania nie będzie dostępna do momentu zainstalowania Season Pass. Kontynuować pobieranie?"
"PLT_TITLE_COMPATIBILITY_PS3": "Musisz mieć tę samą wersję Saints Row: The Third co gospodarz, aby móc grać poprzez LAN. Upewnij się, że wszyscy pobrali odpowiednie aktualizacje."
"UNL_COMMUNITY_ASSET05": "PRZEDMIOT - KOSZULKI RZUT WOLNY"
"UNL_DESC_COMMUNITY_ASSET02": "Możesz teraz nosić koszulkę Volition"
"UNL_DESC_COMMUNITY_ASSET05": "Możesz teraz nosić koszulki rzut wolny"
"UNL_COMMUNITY_ASSET02": "PRZEDMIOT - KOSZULKA VOLITION"
"PLT_TITLE_COMPATIBILITY_PC": "Musicie mieć tę samą wersję Saints Row: The Third, aby móc grać razem."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Twój partner w trybie współpracy nie posiada zawartości do pobrania wymaganej do tej akcji. Obu graczy musi posiadać tą zawartość do pobrania, aby móc rozegrać tę akcję w trybie współpracy."
"UNL_DESC_COMMUNITY_ASSET06": "Możesz teraz nosić antenę"
"UNL_COMMUNITY_ASSET01": "PRZEDMIOT - KOSZULKA CZŁONKA GANGU"
"DLC_STORE_HINT_PURCHASE": "KUP"
"UNL_COMMUNITY_ASSET06": "PRZEDMIOT - ANTENA"
"UNL_DESC_COMMUNITY_ASSET01": "Możesz teraz nosić koszulkę członka gangu"
"PLT_TITLE_COMPATIBILITY_XBOX": "Musisz mieć tę samą wersję Saints Row: The Third co gospodarz, aby móc grać poprzez System Link. Upewnij się, że wszyscy pobrali odpowiednie aktualizacje z usługi Xbox Live."
"UNL_DESC_COMMUNITY_ASSET04": "Możesz teraz nosić bluzę z kapturem Święci z Trzeciej Ulicy"
"UNL_COMMUNITY_ASSET03": "PRZEDMIOT - BLUZA Z KAPTUREM LILA"
"CHEAT_DISABLED_IN_COOP": "To oszustwo nie jest dostępne podczas gry w trybie współpracy.  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "Ta zawartość do pobrania jest już zainstalowana i dostępna. Kontynuować pobieranie?"
"UNL_COMMUNITY_ASSET04": "PRZEDMIOT - BLUZA Z KAPTUREM 3-CIA ULICA"
"UNL_DESC_COMMUNITY_ASSET03": "Możesz teraz nosić bluzę z kapturem lila"
"DLC_STORE_HINT_DOWNLOAD": "POBIERZ"
"COOP_DLC_MISMATCH": "Część zawartości do pobrania nie jest dostępna dla twojego partnera i zostanie tymczasowo wyłączona."
