"MENU_LEFT_MOUSE": "ЛКМ"
"MENU_CATEGORY_GENERAL": "ОБЩЕЕ"
"PLT_MENU_ANTI_ALIASING": "    СГЛАЖИВАНИЕ"
"PLT_MENU_AUTO_DETECT": "АВТООБНАРУЖЕНИЕ"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Идет сохранение контента. Пожалуйста, подождите."
"PC_ZONE_TYPE_HINT": "ПЕРЕСКОЧИТЬ НА НОВУЮ КАМЕРУ ИЛИ ПЕРЕЙТИ ИЗ ПРЕДЫДУЩЕЙ ЗОНЫ"
"PC_EXPORT_LOCK_HINT": "ОСТАНОВИТЬ ДВИЖЕНИЕ КАМЕРЫ В ЭТОЙ ЗОНЕ"
"PC_CHARACTER_MODEL": "МОДЕЛЬ ПЕРСОНАЖА"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "ПОКАЗАТЬ КАРТУ"
"PCACTION_SPRINT": "БЕГ"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "ВЫБРАТЬ, БУДЕТ ЛИ В МАШИНЕ ВКЛЮЧАТЬСЯ РАДИО, КОГДА ВЫ В НЕЕ САДИТЕСЬ"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} НАСМЕШКА \n{TAUNT_THREE_IMG} КОМПЛИМЕНТ \nОбщайтесь с людьми и зарабатывайте престиж, насмехаясь и убивая членов вражеских банд."
"CBA_VDC_HELI_DOWN": "   ДВИЖЕНИЕ ВНИЗ"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "ИСПОЛЬЗОВАТЬ ПРИ НАЖАТИИ \"ВВЕРХ\""
"PC_ENABLE": "ВКЛЮЧИТЬ"
"MENU_CATEGORY_PLANE": "САМОЛЕТ"
"MAINMENU_ONLINE_GAME": "ОНЛАЙН"
"CBA_GAC_WEAPON_SELECT_4": "   ЯЧЕЙКА ОРУЖИЯ 4"
