"MENU_LEFT_MOUSE": "鼠标左键"
"MENU_CATEGORY_GENERAL": "通用"
"PLT_MENU_ANTI_ALIASING": "    抗锯齿"
"PLT_MENU_AUTO_DETECT": "自动检测"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "正在保存内容，请稍候。"
"PC_ZONE_TYPE_HINT": "切换到新镜头，或与上一区域平滑过渡"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "设置进入载具时是否自动开启电台"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} 嘲讽 \n{TAUNT_THREE_IMG} 赞美 \n与路人互动，靠嘲讽和干掉帮派成员来获取声望。"
"CBA_VDC_HELI_DOWN": "   向下移动"
"PC_ENABLE": "启用"
"MENU_CATEGORY_PLANE": "飞机"
"CBA_GAC_WEAPON_SELECT_4": "   武器槽 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   向右滚转"
"MENU_MEDIUM": "中"
"PLT_MENU_WIDESCREEN": "宽屏"
"PC_CA_CANCEL": "取消"
"PC_TOD_AFTERNOON": "下午"
"M14_FAILURE_VAN_DESTROYED_PC": "采访车已被摧毁！\n靠近并用镜头锁定采访车。"
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   向左移动"
"PLT_MENU_PAUSE_FOCUS": "失焦时暂停"
"PC_DOF_NORMAL": "常规"
"HASH_AEB9EE85": "GOG 匹配未能找到任何可连接的游戏。"
"MENU_CAMERA_SMART": "智能"
"PC_RECORD_VIDEO": "录制视频"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "你已失去在线连接。"
"MENU_MOUSE_WHEEL_DOWN": "滚轮向下"
"HASH_BFE61146": "打开 HDR 菜单"
"PC_RECORD_MODE_PROGRESS": "视频保存中：%d%%%% 完成"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "这与以下操作冲突，它们将被自动解除绑定："
"MENU_STEAM_STORE": "STEAM 商店"
"PLT_MENU_APPLY": "应用"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} 加速 \n{BRAKE_REVERSE_IMG} 刹车 + 倒车 \n用 {LEAN_BACK_IMG} 后仰重心翘前轮，用 {LEAN_FORWARD_IMG} 前倾做翘尾。"
"CBA_MENU_PC_PUSH_TO_TALK": "   按键通话"
"CBA_OFC_WALK": "   行走（按住）"
"CBA_OFC_TAUNT_THREE": "   赞美"
"GAME_PROFILE_SAVING": "保存中。 "
"CBA_VDC_HELI_FIRE_SECONDARY": "   开火（武器 2）"
"MULTI_LOBBY_TITLE_SYSLINK": "局域网大厅"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "正在加载内容，请稍候。"
"HASH_70DB6EC9": "在线"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} 布娃娃 \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} 空中微调"
"CONTROL_L_STICK": "左摇杆"
"CBA_OFC_SHOULDER_CAMERA": "   瞄准镜放大（按住）"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   向右移动"
"PC_CLIP_ACTIONS": "选择要对这段剪辑执行的操作"
"PC_CA_CLONE": "创建副本"
"PC_RECORD_MODE_QUALITY_MED": "720p（中）"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "视频已保存。部分内容可能丢失。请降低录制质量设置以防止数据丢失。"
"CBA_OFC_ATTACK_SECONDARY": "   投掷手雷"
"HASH_342C548B": "邀请"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}使用作弊会让你无法获得成就，且自动保存将被禁用。\n\n仍要启用此作弊吗？"
"CBA_VDC_PLANE_TURN_LEFT2": "   偏航向左"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "单帧或累积"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "选择你的机器性能等级"
"SAVE_CLIP_NAME": "为这段剪辑输入名称"
"PLT_MENU_VIEW_GAMERCARD": "查看 STEAM 资料"
"CBA_GAC_WEAPON_SELECT_1": "   武器槽 1"
"CBA_OFC_WALK_TOGGLE": "   行走（切换）"
"CBA_OFC_CROUCH": "   蹲伏（按住）"
"CBA_VDC_BRAKE_REVERSE": "   刹车 / 倒车"
"PLT_MENU_VSYNC": "垂直同步"
"MENU_VIDEO_RECORD_MODE": "视频录制模式"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "无法启用视频录制模式，需要更多内存。"
"COMMUNITY_BLURB_HEADER": "加入黑道圣徒社区，网址 SaintsRow.com "
"SAVING_CONTENT_TITLE": "正在保存内容。"
"MENU_CONTROLS_STICK": "左摇杆 加速/刹车"
"PLT_MENU_REFLECTIONS_TOOLTIP": "开启常规或几何着色器反射"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "控制场景元素的数量与细节"
"PC_RECORD_MODE_ERROR_NO_CODEC": "当前缺少此模式所需的视频编解码器，请参阅说明文档了解安装方法。"
"MENU_PRIMARY_ASSIGNMENT": "主按键分配"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   刹车 / 倒车"
"PLT_MENU_SCENE_DETAIL": "    场景细节"
"MENU_CHANGES_MADE_TITLE": "应用更改？"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   更急转弯"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   抬头"
"PLT_PRESS_START": "按开始键"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "开启或关闭字幕"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} 移动\n移动鼠标查看四周\n{SKYDIVE_FLIP_IMG} 上下翻滚"
"MENU_RESTORE_ALL_DEFAULTS": "恢复所有分类的默认设置"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   向左移动"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "硬盘空间不足。\n若继续将无法保存。\n继续吗？"
"MENU_GAMEPLAY": "游戏性"
"MENU_MOUSE_CONTROLS_VERT_SENS": "垂直灵敏度"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "你想保留这些设置吗？\n15 秒后将自动还原。"
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "全屏使用的显示器"
"TUT_TITLE_SPRINT": "超爽按钮"
"PC_COMMUNITY_AGE_FIELD": "年龄（月.日.年）"
"MENU_OPTIONS_REMAP": "设置按键与按钮"
"CBA_OFC_ZOOM_OUT": "   瞄准镜缩小"
"PLT_MENU_RESOLUTIONS": "分辨率"
"HUD_ZOMBIE_BITE_ESCAPE": "狂按任意按钮挣脱！"
"MENU_AIRPLANE_HANDLING": "飞机操控"
"MENU_MOUSE_BUTTON_4": "鼠标 4 键"
"CBA_GAC_GRENADE_SELECT_1": "   手雷槽 1"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "切换不同的操控分类"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "查看玩家 STEAM 资料"
"MENU_CONTROLLER_OPTIONS": "手柄选项"
"MENU_OPTIONS_MOUSE": "操控"
"CBA_GAC_WEAPON_SELECT_5": "   武器槽 5"
"CBA_VDC_PLANE_ACCELERATE": "   加速"
"MENU_CATEGORY": "分类"
"COMMUNITY_EXISTING_FOUND_TEXT": "我们发现你的 STEAM 账号关联着一个 THQ ID，请登录你已有的账号。"
"CBA_VDC_PREV_RADIO": "   上一个电台"
"PLT_MENU_POST_PROCESSING_DETAIL": "    后处理细节"
"HASH_0AEDCF17": "发生网络错误。\n正在返回主菜单。"
"PC_VIDEO_QUALITY": "视频质量"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "好戏现在才开场 >:) \n\n按任意键继续"
"CBA_VDC_LOOK_BEHIND": "   后方视角"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   转向覆盖"
"TUT_SPRINT": "{SPRINT_IMG} 冲刺\n冲刺会以超爽的方式改变动作；试着把冲刺和其他按键组合，找全所有花样！"
"NOT_LOGGED_IN": "你必须通过 STEAM 上线，或重新连接互联网才能使用此功能。"
"CBA_GAC_GRENADE_SWITCH": "   下一个手雷"
"CBA_GAC_MAP_MENU": "   手机"
"PLT_MENU_VSYNC_TOOLTIP": "垂直同步，消除全屏画面撕裂"
"MENU_OFF": "关"
"PLT_MENU_VOICE_ALWAYS_ON": "始终开启"
"CONTROLS_FORCE_FEED": "震动"
"STATS_CORRUPT_BODY": "你的统计数据已损坏，必须重置。\n这不会影响你已经获得的任何成就。"
"HASH_C407C71A": "与 GOG 的连接已断开。\n正在返回主菜单。"
"TUT_COMBAT_MELEE_2": "在重攻击时按下提示按键，可造成更高伤害并获取更多声望。"
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "设置小地图是否随镜头旋转"
"CONTROL_R_STICK": "右摇杆"
"MENU_CHANGES_MADE_BODY": "已做出更改，要应用当前修改吗？"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "阴影贴图分辨率"
"MENU_DISCARD": "放弃"
"PC_CM_STATIC": "静态"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls（右）"
"CBA_GAC_GRENADE_SELECT_4": "   手雷槽 4"
"CBA_VDC_FIREARM": "   开火"
"MENU_PC_CHAT": "聊天"
"PC_RECORD_MODE_ERROR_NO_SPACE": "无法保存视频，需要更多磁盘空间。"
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   向右移动"
"MENU_CATEGORY_ONFOOT": "步行"
"PLT_MENU_DISPLAY_INDEX": "显示器"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "设置镜头回到默认视角的速度"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "你的 STEAM 账号未关联 THQ ID。"
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} 移动 \n{ATTACK_PRIMARY_IMG} 出拳 \n不断揍杀霸，让他朝你操控的方向移动。"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "接受设置？"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "游戏中的垂直同步"
"PLT_MENU_WINDOWED": "窗口化"
"PLT_MENU_REMAP_X_UNDER_Y": "下方"
"CBA_VDC_BIKE_LEAN_BACK": "   摩托后仰"
"CBA_VDC_PLANE_TURN_RIGHT": "   向右滚转"
"MENU_CATEGORY_CAR": "汽车 / 摩托 / 船只"
"COMMUNITY_SUCCESS_LINK_EXT": "你当前的 STEAM 账号已成功关联 THQ ID。"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "你正在使用的 STEAM 账号关联的是另一个 THQ ID。"
"CBA_GAC_WEAPON_SELECT_3": "   武器槽 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   开火（武器 2）"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   上升"
"CBA_MENU_PC_TEXT_CHAT": "   文字聊天"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "光照分辨率"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "更改视频设置失败，你的修改已还原。"
"PLT_MENU_VOICE_DISABLED": "已禁用"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "存档槽位已满。要保存的话，你需要覆盖之前的存档槽，或存到新位置。"
"PC_CLIP_DELETE_CONFIRM": "确定要删除这段剪辑吗？此操作无法撤销。"
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} 切换至下一把武器\n{PREV_WEAPON_IMG} 切换至上一把武器"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   瞄准镜（切换）"
"CBA_VDC_PLANE_TURN_LEFT": "   向左滚转"
"PLT_ANISOTROPIC_TWO": "各向异性 2X"
"PLT_MENU_MED_DX10_ONLY": "中（DX10 或以上）"
"PC_WATERMARK": "水印"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "若游戏窗口失焦则自动暂停"
"CBA_OFC_SPRINT": "   冲刺（按住）"
"PLT_ANISOTROPIC_FOUR": "各向异性 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "按键通话"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p（高）"
"PC_RECORD_MODE_CANCELLED_EXPORT": "保存已取消。"
"STATS_CORRUPT_TITLE": "统计数据损坏"
