"DLC_STORE_SEASON_PASS_CATEGORY": "SEASON PASS INHALT"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] Installiert"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "Dieser Inhalt zum Herunterladen ist bereits installiert und verfügbar. Mit dem Kauf fortfahren?"
"TUT_DLC_WIN": "Wenn du diese Aufträge erneut spielen möchtest, kannst du eine Speicherdatei laden, damit sie wieder in deinem Handy-Menü erscheinen. Die Belohnungen, die du zuvor schon durch das Beenden dieser Aufträge erhalten hast, gehen dadurch nicht verloren."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Season Pass Inhalt"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} BESCHLEUNIGEN\n{PLANE_BRAKE_REVERSE_IMG} BREMSEN UND RÜCKWÄRTS \n{PLANE_PITCH_UP_DOWN_IMG} STEIGUNG\n{PLANE_LEFT_RIGHT_IMG} NEIGUNG\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "Auf diesen Inhalt zum Herunterladen kann nicht zugegriffen werden, bis der Season Pass installiert ist. Mit dem Herunterladen fortfahren?"
"PLT_TITLE_COMPATIBILITY_PS3": "Du musst die gleiche Version von Saints Row: The Third nutzen wie der Host, um ein LAN-Spiel spielen zu können. Bitte stelle sicher, dass alle die neuesten Titel-Updates heruntergeladen haben."
"UNL_COMMUNITY_ASSET05": "GEGENSTAND - FREIWURF-JERSEYS"
"UNL_DESC_COMMUNITY_ASSET02": "Das Volition-Shirt steht dir nun zum Tragen zur Verfügung."
"UNL_DESC_COMMUNITY_ASSET05": "Die Freiwurf-Jerseys stehen dir nun zum Tragen zur Verfügung."
"UNL_COMMUNITY_ASSET02": "GEGENSTAND - VOLITION-SHIRT"
"PLT_TITLE_COMPATIBILITY_PC": "Ihr müsst die gleiche Version von Saints Row: The Third nutzen, um gemeinsam spielen zu können."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Dein Koop-Partner besitzt nicht die erforderlichen Inhalte zum Herunterladen, um diese Aktivität zu spielen. Beide Spieler müssen diese Inhalte zum Herunterladen haben, um diese Aktivität im Koopmodus spielen zu können."
"UNL_DESC_COMMUNITY_ASSET06": "Die Antenne steht dir nun zum Tragen zur Verfügung."
"UNL_COMMUNITY_ASSET01": "GEGENSTAND - \"MEMBER OF THE ROW\" SHIRT"
"DLC_STORE_HINT_PURCHASE": "KAUFEN"
"UNL_COMMUNITY_ASSET06": "GEGENSTAND - ANTENNE"
"UNL_DESC_COMMUNITY_ASSET01": "Das \"Member of the Row\" Shirt steht dir nun zum Tragen zur Verfügung."
"PLT_TITLE_COMPATIBILITY_XBOX": "Du musst die gleiche Version von Saints Row: The Third nutzen wie der Host, um per System Link spielen zu können. Bitte stelle sicher, dass alle die neuesten Titel-Updates von Xbox Live heruntergeladen haben."
"UNL_DESC_COMMUNITY_ASSET04": "Der Third Street Kapuzenpulli steht dir nun zum Tragen zur Verfügung."
"UNL_COMMUNITY_ASSET03": "GEGENSTAND - FLEUR DE SAINTS KAPUZENPULLI"
"CHEAT_DISABLED_IN_COOP": "Dieser Cheat ist nicht verfügbar, während im Koopmodus gespielt wird.  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "Dieser Inhalt zum Herunterladen ist bereits installiert und verfügbar. Mit dem Herunterladen fortfahren?"
"UNL_COMMUNITY_ASSET04": "GEGENSTAND - THIRD STREET KAPUZENPULLI"
"UNL_DESC_COMMUNITY_ASSET03": "Der Fleur de Saints Kapuzenpulli steht dir nun zum Tragen zur Verfügung."
"DLC_STORE_HINT_DOWNLOAD": "HERUNTERLADEN"
"COOP_DLC_MISMATCH": "Einige deiner Inhalte zum Herunterladen sind deinen Partnern nicht verfügbar und werden daher vorübergehend deaktiviert."
