"MP_CANCEL_JOIN": "ANNULEREN"
"MULTI_ERROR_JOIN_REJECTED": "De host accepteert op dit moment geen spelers."
"MULTI_ERROR_HOST_LEFT": "De host heeft het spel verlaten."
"COOP_REMOTE_CHEAT_QUIT": "STOPPEN"
"MULTI_JOIN_LOAD_TITLE": "SAMENWERKEN"
"COOP_LOAD_EXPLANATION_TEXT": "LAAD PERSONAGE, KLEDING EN VOERTUIGEN UIT EEN ANDER SPEL"
"COOP_CANT_JOIN_YET_MISSION": "%ls kan niet meedoen als je in een Opdracht bent.\nZe zullen meedoen als je weer terug bent in de normale gamemodus."
"COOP_FREINDLY_FIRE_LIGHT": "Vriendschappelijk vuur licht is geactiveerd!\nJe kunt je partner nu lichte schade toedienen."
"COOP_DISCONNECTED": "De verbinding werd verbroken!"
"MULTI_NO_PRIVILEGE_PS3": "Dit profiel kan niet online spelen."
"MP_INVITE_SENT_TITLE": "GAME-UITNODIGING VERZONDEN"
"COOP_FREINDLY_FIRE_ON": "Vriendschappelijk vuur is geactiveerd!\nJe kunt je partner nu schade toedienen."
"COOP_JOIN_REQUEST_MESSAGE": "%ls wil meedoen met je spel."
"CONTROL_KICK_PLAYER": "SPELER VERWIJDEREN  "
"MP_FIND_SERVER_TITLE": "SERVER ZOEKEN"
"MULTI_ONLINE_RESTRICTED": "GEEN ONLINE"
"COOP_REMOTE_CHEAT_CONTINUE": "DOORGAAN"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Een speler heeft een id met niet-ondersteunde tekens. Deze tekens worden weergegeven als \"_\"."
"MP_JOIN_SERVER_BODY": "Wachten op de host totdat de verbinding wordt gemaakt."
"QUIT_TO_MAIN_MENU": "SPEL VERLATEN"
"MULTI_ERROR_NETWORK_TROUBLE": "De host heeft het spel verlaten."
"COOP_PARTNER_PAUSED": "%s HEEFT HET SPEL GEPAUZEERD"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls kan niet meedoen als je in een stronghold bent.\nZe zullen meedoen als je weer terug bent in de normale gamemodus."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls kan niet meedoen als je in een Activiteit bent.\nZe zullen meedoen als je weer terug bent in de normale gamemodus."
"HASH_26F67AA8": "De server is momenteel niet beschikbaar. Probeer het later nog eens."
"MP_WINNERS_TIE": "GELIJKSPEL"
"MULTI_ERROR_CANT_FIND_MATCH": "Kan geen games vinden."
"COOP_JOIN_IS_WAITING": "%ls wacht om mee te doen"
"COOP_LOAD_TITLE_TEXT": "PERSONAGE LADEN"
"MULTI_ERROR_INTERNAL_ERROR": "Je verbinding met het spel is verbroken."
"COOP_JOIN_IN_PROGRESS": "%ls DOET MEE AAN DE SPEL"
"COOP_INCORRECT_MODE": "ONJUISTE MODUS"
"MULTI_JOIN_FRIEND": "MET VRIEND MEESPELEN"
"MULTI_CONNECTION_LOST_PS3": "Er is een verbindingsfout opgetreden.\nJe gaat terug naar het hoofdmenu."
"MULTI_CHAT_DISABLED_TITLE": "GEEN ONLINE"
"MP_WINNERS_YOU_WIN": "JE HEBT GEWONNEN"
"MULTI_FIND_GAMES": "SPEL ZOEKEN"
"MULTI_MENU_TITLE": "MEERDERE SPELERS"
"COOP_TITLE": "SAMENWERKEN"
"COOP_JOIN_REQUEST_TITLE": "DOE MEE AAN DE REQUEST"
"COOP_FREINDLY_FIRE_OFF": "Vriendschappelijk vuur is uitgeschakeld!\nJe kunt je partner geen schade meer toedienen."
"COOP_PARTNER_DISCONNECTED": "DE VERBINDING MET %ls IS VERBROKEN"
"MP_JOIN_SERVER_TITLE": "VERBINDING MAKEN MET SERVER"
"COOP_JOIN_REQUEST_MSG": "%ls wil graag met je spel meedoen.\nSta je dat toe?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls kan niet meedoen als je in een cutscene bent.\nZe zullen meedoen als je weer terug bent in de normale gamemodus."
"COOP_REMOTE_CHEAT_KICK": "SPELER WEGSTUREN EN DOORGAAN MET HET SPEL"
"COOP_WAIT_FOR_ANYONE": "WACHTEN OP EEN SPELER"
"COOP_LOAD_OLD_TEXT": "LADEN"
"COOP_CANT_JOIN_YET_PROLOGUE": "De missie moet opnieuw gestart worden om %ls nu in je spel te krijgen. Door opnieuw te starten verlies je je huidige controlepunt voortgang.\nWil je doorgaan?"
"MULTI_ERROR_SESSION_ERROR": "Je kon niet aan het spel meedoen."
"HASH_59B4B8D2": "%ls heeft de spelsessie verlaten"
"INVITE_FAILED_TITLE": "GAME-UITNODIGING MISLUKT"
"MULTI_NO_ETHERNET": "Er is een verbindingsfout opgetreden.\nJe gaat terug naar het hoofdmenu."
"COOP_DISCONNECTED_FROM_SERVER": "Je verbinding met de host is verbroken, dus je moet terug naar het hoofdmenu.\nWil je opslaan voordat je het niveau verlaat?"
"MULTI_ERROR_NO_JOIN_INFO": "Je kon niet aan het spel meedoen."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "OPSLAAN EN STOPPEN MET HET SPEL"
"COOP_KICKED": "Je bent uit het spel gezet!"
"MP_JOIN_DENY": "ONTKENNEN"
"MP_JOIN_ACCEPT": "ACCEPTEREN"
"LIVE_PLAYER_LEFT": "%ls HEEFT DE SPELSESSIE VERLATEN"
"COOP_HOST_BUSY": "De host is bezet en heeft je gevraagd te wachten..."
"COOP_WAIT": "Wacht a.u.b."
"COOP_CREATE_NEW_TEXT": "NIEUW CREËREN"
"MULTI_JOIN_DELAY_MSG": "Het spel waaraan je wilt meedoen, is een activiteit, opdracht of stronghold.\nJe doet mee aan het spel zodra de andere spelers deze modus hebben verlaten."
"MP_FIND_SERVER_BODY": "Bezig met zoeken naar een spel."
