# TODO: Translate to Simplified Chinese
# Source: dlc2_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 602

"HASH_8AC9CA00": "嗯，没打算去。"
"HASH_1DD4C580": "爪子占领了圣诞老人的工坊。他打算给孩子们送炸弹和枪，而不是……你知道的，娃娃、卡车之类的你们那个年代的小孩喜欢的东西。"
"HASH_80166980": "圣诞爪子"
"HASH_0A53FC80": "送达 [format][color:location]金吉的礼物[/format]"
"HASH_D858AC40": "前往 [format][color:location]工坊大门[/format]"
"HASH_E631F9C0": "圣诞老人死了"
"HASH_5030CB00": "我设定好坐标，走进机器，按下按钮。然后，我就消失了。"
"HASH_E7C4D340": "圣诞文字冒险"
"cm_suit_anime": "热血少年"
"HASH_36B97681": "服装 - 圣诞老人套装"
"HASH_6250EB01": "圣诞老人去死。"
"HASH_49E23E81": "但没有人——不管是玛丽、圣诞老人，还是一头扎进酒壶的闪电——敢释放它的力量。如果北极落入闪亮之手——落入爪子之手——那就全完了。爪子发动了全面进攻。他的军队势不可挡。第一批倒下的是："
"HASH_83369FC1": "- 一个血腥修女抱枕、一个玛丽抱枕和一个暗夜之刃抱枕\n- 外加金吉想要的所有东西\n\n你的粉丝，\n马特·米勒"
"HASH_B8DB53C2": "圣徒如何拯救圣诞节包"
"HASH_72C0A502": "伙伴 - 圣诞夫人"
"HASH_FA24B0C2": "时间不多了。爪子来了。"
"HASH_5B4028C2": "送达 [format][color:location]圣诞夫人的礼物[/format]"
"HASH_2F103002": "脱下 [format][color:use]伪装[/format]"
"HASH_F19CEA42": "连圣诞老人都看不下去了"
"HASH_B6D50D42": "摇响 [format][color:use]最后一口钟[/format] 或 射掉所有 [format][color:kill]铃铛[/format]"
"HASH_6206A982": "圣徒们输了。一切希望都破灭了。世界落入了爪子的统治，就连我们圣徒也无能为力。约翰尼这次真的没了。我丢了一条胳膊（虽然闪亮坚持给我换了一个，说我\"还有用。\"）年复一年。老大被关在爪子的办公室里，而我们其他人（包括重新团聚的圣徒们）被送去矿场做工。"
"HASH_34093642": "圣徒不接受\"平局。\""
"HASH_BCB13182": "叛逃精灵"
"HASH_98DFCD02": "随着我长大，这个节日越来越不特别了。我的兄弟姐妹离开了，父母分手了，但我始终把圣诞节放在心里。我相信圣诞老人。我需要圣诞老人。万万没想到圣诞老人……"
"HASH_E19BC1C2": "亲爱的圣诞老人，\n\n我知道我以前不算\"乖女孩\"，但我觉得我今年已经改好了。真希望自己上了乖孩子名单，因为如果皮尔斯上了而我没上，他肯定唠叨个没完。而且我觉得我的愿望清单很短，完全符合节日精神，所以这就来了！"
"HASH_7C9C8F82": "亲爱的圣诞老人，\n\n你知道我不爱说话，喜好也简单，所以我就直说了。\n\n1. 几箱圣徒饮料。我不挑口味，都喜欢。嗯，来个混合装吧！\n2. 我在地球上拍过的所有广告的合集。我想留着做作品集，万一遇到什么星际经纪公司在找新人演员呢。我知道我在太空一定能火！"
"HASH_CA2CE242": "他还在淘气名单上"
"HASH_D00EFA03": "现在带反弹功能了！别射到自己的眼睛。"
"HASH_9DB2DE43": "不。"
"HASH_CA3ADE03": "欢迎来到根基博士的意念谋杀：假日版！"
"HASH_F6E37E83": "精灵们组织了抵抗，但如果没有你的帮助他们注定失败。如果爪子得逞了，节日就完蛋了。你必须阻止他！"
"HASH_F84691C3": "提升节日气氛"
"HASH_B2641A43": "禁用 [format][color:use]驯鹿[/format]"
"HASH_43420043": "击杀 [format][color:kill]守卫[/format]"
"HASH_7B1D98C3": "结果证明，机械驯鹿是我们计划中不可或缺的一部分。"
"HASH_2D120703": "嗯，你觉得斯蒂尔波特竞技场有多大？"
