"MENU_LEFT_MOUSE": "Linke Maustaste"
"MENU_CATEGORY_GENERAL": "GENERELL"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "AUTOMATISCHE SUCHE"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Inhalt wird gespeichert. Bitte warten."
"PC_ZONE_TYPE_HINT": "SCHNITT ZU EINER NEUEN KAMERA ODER ÜBERBLENDUNG VON DER VORIGEN ZONE"
"PC_EXPORT_LOCK_HINT": "DIE BEWEGUNG DER KAMERA IN DIESER KAMERAZONE SPERREN"
"PC_CHARACTER_MODEL": "CHARAKTERMODELL"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "KARTE ZEIGEN"
"PCACTION_SPRINT": "SPRINTEN"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "STELLE EIN, OB SICH DAS RADIO EINSCHALTET SOBALD DU IN EIN FAHRZEUG EINSTEIGST"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} TAUNT \n{TAUNT_THREE_IMG} COMPLIMENT \nInteragiere mit Menschen und verdiene Respekt durch das Verspotten und Töten von Gangmitgliedern. "
"CBA_VDC_HELI_DOWN": "   BEWEGUNG NACH UNTEN"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "OBEN BENUTZEN"
"PC_ENABLE": "AKTIVIERE"
"MENU_CATEGORY_PLANE": "FLUGZEUG"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   WAFFENPLATZ 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   ROLLE RECHTS"
"MENU_MEDIUM": "MITTEL"
"PLT_MENU_WIDESCREEN": "BREITBILD"
"PC_CA_CANCEL": "ABBRECHEN"
"PC_TOD_AFTERNOON": "NACHMITTAG"
"PC_W_RAINY": "REGNERISCH"
"PC_WEATHER": "WETTER"
"PC_CM_TRACKING": "VERFOLGUNG"
"PC_CM_FOLLOW_WATCH": "BEOBACHTER FOLGEN"
"PC_REWIND_HINT": "NEU LADEN UND ZUM ANFANG ZURÜCKSPULEN"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "ÜBERTRAGUNGSWAGEN ZERSTÖRT!\nNÄHERE DICH UND ZIELE MIT DER KAMERA AUF DEN WAGEN."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   BEWEGUNG NACH LINKS"
"PLT_MENU_PAUSE_FOCUS": "PAUSE BEI FOKUSVERLUST"
"PC_DOF_NORMAL": "NORMAL"
"PC_CAMERA_UNLOCKED": "KAMERA FREIGESCHALTET"
"DPAD_UP_TXT": "A-TASTE"
"PCACTION_WEAPON_4": "WAFFE 4"
"HASH_AEB9EE85": "GOG-Spielersuche hat keine Spiele zum Verbinden gefunden. "
"MENU_CAMERA_SMART": "SMART"
