# TODO: Translate to Simplified Chinese
# Source: diversion_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 265

"HASH_B4A2E1C0": "合作死亡标记"
"HASH_6656A5E0": "合作猫鼠游戏"
"HASH_87743980": "正在离开[format][color:kill]热点[/format]区域"
"HASH_4B0972E0": "清除子程序"
"HASH_EB0A72C0": "灰木区"
"HASH_A2558760": "击杀[format][color:kill]目标[/format]"
"HASH_3400EA80": "车顶冲浪纪录"
"HASH_03E81A00": "时间到！"
"HASH_957D29E0": "合作生存"
"HASH_CA1F59A0": "你赢得了 {GAME_CASH}%.0f！按 {PICKUP_RELOAD_IMG} 继续。"
"HASH_5FE74040": "爆头"
"HASH_579680E0": "摧毁晨星帮载具"
"HASH_1C306B20": "前往指定地点，偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_3F53A501": "已收集碎片"
"HASH_6F39F481": "前往该地点，然后等待目标出现。\n摧毁测试画面以制造渲染故障。"
"HASH_7A4CF4A1": "天体即时挑战全部关卡完成！"
"HASH_5E3B7BC1": "已完成"
"HASH_013B8361": "%s的分数："
"HASH_0E8F3C41": "坦克击杀"
"HASH_DEDC6AA1": "本·金音频日志"
"HASH_88F04B22": "前往该地点，然后等待目标出现。\n摧毁这个安全程序以破坏系统。"
"Hitman_Targets": "目标"
"HASH_76DF20E2": "一名对家杀手已出动，抢在他之前干掉目标！"
"HASH_E896FC62": "挑衅"
"HASH_4612CB62": "杜克兄弟！"
"HASH_A5767562": "你赢得了 {GAME_CASH}%.0f！按 {PICKUP_RELOAD_IMG} 再玩一轮，或按 {ACTION_IMG} 退出。"
"HASH_2826B762": "猫鼠游戏"
"HASH_D56DE743": "马罗"
"HASH_5E00F4C3": "%ls"
"HASH_8720B9A3": "战斗技巧"
"HASH_1EEE7A23": "特技跳跃 "
"HASH_A5C43C43": "继续挟持店员以取得现金"
"HASH_7BBA2CC3": "拆车坊"
"HASH_877F84C3": "前往指定街区，找到并偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_B4AEB924": "迪利警官"
"HASH_B2AF2D04": "前往该地点，然后等待目标出现。\n摧毁无效网格。"
"HASH_8479E2C4": "萨兰德"
"HASH_35732044": "大腾空"
"HASH_ED77CA64": "商店抢劫"
"HASH_2517B884": "杜克兄弟！"
"HASH_D7FFAAA4": "老鼠，快到达检查点！"
"HASH_2CE98C05": "{SHOULDER_CAMERA_IMG} 抢劫\n持续将武器对准目标以迫使其交出赃物。"
"HASH_87BC5E05": "集群"
"HASH_55A38AC5": "目标已消灭"
"HASH_B8F97765": "章节"
"HASH_27E6F2A5": "击杀："
"HASH_80735845": "天体关卡 %d 完成！获得 {GAME_CASH}%.0f"
"HASH_29D130C5": "人肉鱼雷伤害纪录"
"HASH_173E8BE5": "痛扁"
"HASH_8560A245": "病毒收集"
"HASH_E5D357C5": "退出合作支线"
"HASH_DA807365": "阿莎音频日志"
"HASH_B040EB26": "双轮"
"HASH_08711C46": "完成！"
"HASH_FE8DE0A6": "特技跳跃"
"HASH_09BEFC86": "加快速度，别让人质逃走"
"HASH_E23823E6": "你输了。按 {PICKUP_RELOAD_IMG} 再玩一局，或按 {ACTION_IMG} 退出。"
"HASH_DB70C446": "最远投掷"
"HASH_5F8EAAE6": "打蛋"
"HASH_E9F0FCA6": "回到[format][color:location]载具[/format]中"
"HASH_3BBFC407": "已接受拆车坊委托。完成当前任务或活动后，GPS 将启用。"
"HASH_556692A7": "前往该地点，然后等待目标出现。\n摧毁这个安全程序以破坏系统。"
"HASH_D795C787": "来一套 %ls %ls"
"HASH_550E96E7": "天体关卡 %d 完成！获得 %d [format][color:purple]XP[/format]。"
"HASH_E6616167": "即时挑战失败"
"HASH_0BC874E7": "他们的得分："
"HASH_42363FC7": " {ATTACK_PRIMARY_IMG} 在猫鼠游戏娱乐活动中复活"
"HASH_FE294E67": "投掷"
"HASH_86395E07": "双轮纪录"
"HASH_0DBC27E7": "发现的地点"
"HASH_9EB7ACE7": "你击杀了 %ls！"
"HASH_68EA1707": "病毒收集"
"HASH_DA3E50A7": "马罗音频日志"
"HASH_DCDBAB68": "齐宁达"
"HASH_B0423168": "{ANALOG_LS_IMG} 在载具上保持平衡"
"HASH_A5B3DBA8": "人质逃脱"
"HASH_B0847228": "人盾击杀"
"HASH_1DAB99C8": "病毒收集"
"HASH_D566F3C8": "金吉音频日志"
"HASH_F71C8D89": "前往[format][color:location]地点[/format]"
"HASH_90730409": "双轮"
"HASH_5C755769": "波次完成！"
"HASH_E8870CC9": "时间："
"HASH_FEC9D649": "逆行纪录"
"HASH_89133BA9": "擦身而过"
"HASH_AB296C89": "人质"
"HASH_EDCFD029": "已发现"
"HASH_0C549FC9": "你的搭档接下了这个拆车坊目标的合同！"
"HASH_07AA0D49": "{0}/{1} {2:text_tag_crc}"
"HASH_CB7D2D49": "烧胎时长纪录"
"HASH_6B6EC369": "病毒收集"
"HASH_7BA67589": "赛勒斯音频日志"
"HASH_8507110A": "文字冒险"
"HASH_03E0D40A": "翘头/翘尾"
"HASH_E055B64A": "连续险过纪录"
"HASH_861B33CA": "加快速度，别让人质逃走"
"HASH_65E0A08A": "你的得分："
"HASH_9696E60A": "皮尔斯音频日志"
"HASH_208BFB2A": "让准星保持对准店主"
"HASH_F1386C0B": "布里斯顿区"
"HASH_5E1CC2EB": "正在离开闪点区域"
"HASH_180D202B": "人肉鱼雷"
"HASH_86E4762B": "病毒收集"
"HASH_E538D64C": "安全删除"
"HASH_D89252EC": "等待[format][color:kill]目标[/format]"
"HASH_A50713CC": "渲染CPU"
"HASH_D4F3B9CC": "人质任务完成"
"HASH_8BF36BCC": "人肉鱼雷距离纪录"
"HASH_CF609EEC": "击杀"
"HASH_A8DD3CEC": "爆炸击杀"
"HASH_2CB8926C": "高空高度纪录"
"HASH_6CB0F36C": "低空穿越"
"HASH_F23E0A0C": "前往指定街区，找到并偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_0ED8B6AC": "副总统音频日志"
"HASH_2C03E82C": "塔尼娅音频日志"
"HASH_CFE8E12D": "挡风玻璃炮"
"HASH_B8A249ED": "天体"
"HASH_B7B721ED": "纪录：近撞距离"
"HASH_74F49B6D": "所有人质都逃走了。"
"HASH_B1AEBB6D": "烧胎"
"HASH_0BC5D0CD": "高空空翻纪录"
"HASH_84FB50AD": "前往指定地点，偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_DC43696D": "肖恩蒂音频日志"
"HASH_1DCDB6AD": "趣肖恩蒂音频日志"
"HASH_5339DC4D": "约翰尼·盖特音频日志"
"HASH_7E88DD2E": "将载具[image: ui_saintsbook_vehicle]完好无损地开回指定地点，以从中获取病毒代码。"
"HASH_263DD2EE": "S.T.A.G."
"HASH_A63EE0AE": "载具冲浪"
"HASH_1306134E": "尽可能贴着更多人天体！"
"HASH_B0FB28CE": "目标车辆被摧毁了！"
"HASH_63FD68CE": "病毒已收集！"
"HASH_27EA0C4E": "载具改装花费"
"HASH_0E30046E": "碾杀距离纪录"
"HASH_6450DA4F": "在他们的子弹落到你身上之前先干掉你的搭档。\n\n每回合武器都会更换。"
"HASH_3B63866F": "朱利叶斯·利特尔"
"HASH_D2F3984F": "前往该地点，然后等待目标出现。\n摧毁渲染CPU以停止角色视觉安保。"
"HASH_3A4C308F": "贴地险飞"
"HASH_B036D8AF": "按照联络人的指示引出目标"
"HASH_68CABB2F": "%ls 击杀了你！"
"HASH_E79A49AF": "再玩一次"
"HASH_69A50150": "已探索"
"HASH_5C39C5B0": "司机弃车"
"HASH_E0DA3030": "拆车坊"
"HASH_DCE94FF0": "加速才能活命！"
"HASH_DDFA8D70": "高空距离纪录"
"HASH_576410D0": "开始合作死亡标记活动"
"HASH_F2173A30": "等待[format][color:use]载具[/format]"
"HASH_B982AA90": "你开始了抢劫"
"HASH_C204D951": "禁用热点"
"HASH_5F8B3E71": "平局。按 {PICKUP_RELOAD_IMG} 继续。"
"HASH_C1E79C31": "死亡标记"
"HASH_2F786D11": "人肉鱼雷总伤害"
"HASH_1FED2791": "病毒收集"
"HASH_8AE40251": "250 分！"
"HASH_B3321771": "DJ 老孩音频日志"
"HASH_72164792": "前往该地点，然后等待目标出现。\n摧毁这个安全程序以破坏系统。"
"HASH_2741A712": "碾杀"
"HASH_84A2C872": "病毒收集"
"HASH_36E72452": "马特·米勒音频日志"
"HASH_1004F673": "逆向车道"
"HASH_3F2CC8B3": "已收取人质赎金"
"HASH_0ECB4EF3": "动力漂移纪录"
"HASH_30E212B3": "平局。按 {PICKUP_RELOAD_IMG} 进入下一轮，或按 {ACTION_IMG} 退出。"
"HASH_A3D3E854": "目标[image: ui_saintsbook_hitman]已出现，消灭他们！"
"HASH_925E2B34": "已接受职业杀手委托。完成当前任务或活动后，GPS 将启用。"
"HASH_6A43F2D4": "载具冲浪"
"HASH_BAFDCEF4": "痛扁"
"HASH_22EB42B4": "擦身而过"
"HASH_96777334": "探索"
"HASH_2935E714": "切片斩"
"HASH_604E9BD4": "动力漂移时间"
"HASH_6A6BEB94": "高空坠落纪录"
"HASH_88532935": "总计"
"HASH_DF8C0BF5": "目标在你动手前就死了！"
"HASH_A26AD7D5": "老玩家"
"HASH_FAF171D5": "逆向车道"
"HASH_C2867655": "禁用发电机"
"HASH_2B3A27B5": "人质"
"HASH_0CBD1C55": "拆车坊"
"HASH_80912B95": "翘尾纪录"
"HASH_F078B455": "前往指定地点，偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_DD99E555": "前往[format][color:location]地点[/format]"
"HASH_3C0E4276": "测试画面"
"HASH_9509DC36": "你死了。"
"HASH_0AC921B6": "翘头"
"HASH_FE3ED556": "{0:text_tag_crc} {1}"
"HASH_D73A85D6": "痛扁"
"HASH_492604D6": "押着店员走向收银台"
"HASH_973DE956": "你输了。按 {PICKUP_RELOAD_IMG} 继续。"
"HASH_89EEB4B6": "把车送回拆车坊。"
"HASH_BF8E0656": "高空翻滚纪录"
"HASH_ADADA216": "你是猫。狩猎愉快！"
"HASH_483A21B7": "已摧毁雕像"
"HASH_5B0B5817": "猫需要在老鼠到达所有检查点之前抓住他。"
"HASH_AF809E17": "前往该地点，然后等待目标出现。\n击杀朱利叶斯，即可将其作为圣徒兄弟生成。"
"HASH_34027E77": "领取暗杀目标名单"
"HASH_EAC818F7": "亨利米尔斯钢铁厂区"
"HASH_68C31897": "车轮"
"HASH_A3416ED7": "倒立"
"HASH_E56BCC17": "[format][color:use]禁用[/format]控制器"
"HASH_79FCE517": "发现的地点"
"HASH_83311017": "高空旋转纪录"
"HASH_1DF20117": "前往指定街区，找到并偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_7CD401D8": " [format][color:use]禁用[/format]发电机"
"HASH_325829D8": "开始人质即时挑战"
"HASH_DEAE7558": "爆蛋击杀"
"HASH_6F02D778": "你因帮助合作搭档而获得了 {GAME_CASH}%d 和 %d [format][color:purple]XP[/format]。"
"HASH_CFC5FC98": "逆向车道距离"
"HASH_91E36BD8": "音频日志"
"HASH_CEC714F8": "偷取[format][color:use]载具[/format]"
"HASH_4C64B6F9": "津萨瑟"
"HASH_124AF2D9": "前往该地点，然后等待目标出现。\n摧毁你自己的旧版本以阻止他的疯狂计划。"
"HASH_E94CCC99": "落日公园"
"HASH_37727579": "挡风玻璃炮"
"HASH_A56A99F9": "倒立纪录"
"HASH_E7D4B839": "按住 %ls 开始天体"
"HASH_3B40AE79": "动力漂移"
"HASH_E2B37D79": "拆车坊"
"HASH_9BFA88D9": "即时挑战已取消"
"HASH_1E76D579": "前往指定街区，找到并偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_FC09DC1A": "辛迪加在钢埠警局的金童是戈尔申中尉，盘踞在[format][color:em]新科尔文……也就是东北钢埠的叫法。[/format]总之，[format][color:em]在那儿闹出点动静[/format]，他多半会自己送上门来。然后干掉那混蛋，我们就高枕无忧了。"
"HASH_EC3E721A": "病毒注入"
"HASH_0C208E3A": "一击必杀"
"HASH_96B571DA": "多重击杀"
"HASH_85393A9A": "前往指定地点，偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_CB271C9B": "参与拍照活动"
"HASH_1809FBBB": "目标被另一名杀手干掉了！"
"HASH_0BB8BBBB": "挡风玻璃炮弹纪录"
"HASH_867FC23B": "动力漂移"
"HASH_AB55CE3B": " {ATTACK_SECONDARY_IMG} 在死亡标记娱乐活动中复活"
"HASH_A8B5987B": "[format][color:location]归还[/format]载具"
"HASH_F3FC603B": "前往指定街区，找到并偷取目标载具[image: ui_saintsbook_vehicle]，然后将其开回起点"
"HASH_CFDC2B5C": "前往该地点，然后等待目标出现。\n击杀马罗，即可将其作为圣徒兄弟生成。"
"HASH_AF95993C": "开始安全删除"
"HASH_F0FA063C": "机场"
"HASH_A635AC1C": "贴地险飞"
"HASH_1A6633FC": "飞行器击杀"
"HASH_578CCBBC": "跟着店主去保险箱"
"HASH_5A48FC1D": "病毒收集"
"HASH_D633DF1D": "违禁包裹"
"HASH_B2D9225D": "翘尾"
"HASH_76BB6F1E": "齐尼亚克雕像"
"HASH_F5933F7E": "是否响应生存战呼叫随你……置之不理它很快会消失。想帮圣徒的，就把 GPS 设到地点，速速赶去！"
"HASH_ABDC9BFE": "齐特罗扬"
"HASH_1D70B37E": "新科尔文"
"HASH_46DA75DE": "双轮"
"HASH_20D6AA5E": "剩余惊吓"
"HASH_608C98DE": "即时挑战已完成"
"HASH_9D39155E": "冲刺击倒"
"HASH_9A80501E": "搜寻目标载具"
"HASH_3881287E": "翘头纪录"
"HASH_6AACA95E": "病毒收集"
"HASH_DD6BF4BE": "朱利叶斯音频日志"
"HASH_B35393DF": "接管协助"
"HASH_8E7E1C5F": "（开始一场合作游戏以游玩此活动）"
"HASH_826CE7DF": "这是个陷阱，那只是诱饵。去干掉真正的目标！"
"HASH_533FDC3F": "波次："
"HASH_B197FFBF": "抢劫"
"HASH_D55AC5DF": "秘密地点"
"HASH_0B278CFF": "烧胎"
"HASH_827FBA7F": "碾杀"
"HASH_90B0453F": "等待敌人重生……"
"HASH_8F166C7F": "开始病毒收集"
"HASH_1C69F3FF": "病毒收集"
"HASH_4D68983F": "开始合作猫鼠游戏活动"
