// SR4R le_string_keys.txt (zh) —— 本地化 KEY -> 中文
// 生成: Tools/gen_keydict.py（勿手改，重新生成即可；兜底键改脚本里的 EXTRA_KEYS）
// 用途: 引擎语言服务解析失败时, 文本对象会回退到原始 KEY 模板
//       (屏幕上直接显示 MENU_BACK / PLT_xxx)。本表把这类可读 KEY 直接映射为译文。
// 约束: 键为裸 KEY, 引擎送裸 KEY 时不带格式化参数 -> 译文一律不含 % 转换符 [S1]
// 来源: resource/le_string/zh/*.txt + 手工兜底 EXTRA_KEYS

// ---- 手工兜底: PC 版 le_string 中不存在的 UI 键 ----
// 取消按钮（配对兜底）
"CONTROL_NO": "否";
// 确认按钮
"CONTROL_YES": "是";
// 返回按钮（高频）
"MENU_BACK": "返回";
// 恢复默认设置
"MENU_RESTORE_DEFAULTS": "恢复默认设置";
// [推断] 开始提示
"PLT_PRESS_START": "按开始键";

// ---- le_string 可读键 (自动生成) ----
"50s Lady": "50年代淑女";
"ACTIVITY_FAILURE_CANCEL_TEXT": "活动已取消";
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "你把车开沉了";
"AMFRAT_SOS08_CUT02_1": "我需要那个！";
"ANAL_PROBE": "矫正探针";
"Auburn": "红棕发";
"BASEBALL_BAT": "棒球棒";
"BOUNTY HUNTER": "赎金收缴者";
"Ben King Outfit": "金式风格";
"Blonde": "金发";
"Bloody_Mess": "猩红场面";
"Brunette": "深棕发";
"CAA_DRIVE_STEER_NEG": "   向左转";
"CAA_DRIVE_STEER_POS": "   向右转";
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   向后移动";
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   向前移动";
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   向左移动";
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   向右移动";
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   下降";
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   抬头";
"CAA_PLANE_PITCH_UP_DOWN_POS": "   上升";
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   机头下压";
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   向左转";
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   向左滚转";
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   向右转";
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   向右滚转";
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   向后移动";
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   向前移动";
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   向左移动";
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   向右移动";
"CAA_WALK_FORWARD_BACKWARD_NEG": "   向后移动";
"CAA_WALK_FORWARD_BACKWARD_POS": "   向前移动";
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   向左移动";
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   向右移动";
"CBA_GAC_ACTION": "   动作";
"CBA_GAC_CELL_OPEN": "   中心枢纽菜单";
"CBA_GAC_GRENADE_SELECT_1": "   选择念力";
"CBA_GAC_GRENADE_SELECT_2": "   选择践踏";
"CBA_GAC_GRENADE_SELECT_3": "   选择增益";
"CBA_GAC_GRENADE_SELECT_4": "   选择冲击波";
"CBA_GAC_GRENADE_SWITCH": "   下一个超能力";
