"DLC_STORE_SEASON_PASS_CATEGORY": "SEASON PASS CONTENT"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] Installed"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "This downloadable content is already installed and accessible. Proceed with purchase?"
"TUT_DLC_WIN": "If you wish to replay these missions, you can load a save file and they will appear in your cell phone menu again.  You will still have access to all of the rewards that you earned from previously completing the missions."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Season Pass Content"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \n{PLANE_PITCH_UP_DOWN_IMG} PITCH\n{PLANE_LEFT_RIGHT_IMG} ROLL\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "This downloadable content will not be accessible until the Season Pass is installed. Proceed with download?"
"PLT_TITLE_COMPATIBILITY_PS3": "You must be using the same version of Saints Row: The Third as the host to play LAN games.  Please make sure everyone has downloaded the latest title update."
"UNL_COMMUNITY_ASSET05": "ITEM - FREE THROW JERSEYS"
"UNL_DESC_COMMUNITY_ASSET02": "Volition shirt is now available to wear"
"UNL_DESC_COMMUNITY_ASSET05": "Free Throw Jerseys are now available to wear"
"UNL_COMMUNITY_ASSET02": "ITEM - VOLITION SHIRT"
"PLT_TITLE_COMPATIBILITY_PC": "You must be using the same version of Saints Row: The Third to play together."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Your co-op partner does not have the required downloadable content to play this activity.  Both players must have this downloadable content to play this activity in co-op."
"UNL_DESC_COMMUNITY_ASSET06": "Antenna is now available to wear"
"UNL_COMMUNITY_ASSET01": "ITEM - MEMBER OF THE ROW SHIRT"
"DLC_STORE_HINT_PURCHASE": "PURCHASE"
"UNL_COMMUNITY_ASSET06": "ITEM - ANTENNA"
"UNL_DESC_COMMUNITY_ASSET01": "Member of the Row shirt is now available to wear"
"PLT_TITLE_COMPATIBILITY_XBOX": "You must be using the same version of Saints Row: The Third as the host to play System Link.  Please make sure everyone has downloaded the latest title update from Xbox Live."
"UNL_DESC_COMMUNITY_ASSET04": "3rd Street Saints hoodie is now available to wear"
"UNL_COMMUNITY_ASSET03": "ITEM - FLEUR DE SAINTS HOODIE"
"CHEAT_DISABLED_IN_COOP": "This cheat is not available while playing in co-op.  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "This downloadable content is already installed and accessible. Proceed with download?"
"UNL_COMMUNITY_ASSET04": "ITEM - 3RD STREET HOODIE"
"UNL_DESC_COMMUNITY_ASSET03": "Fleur de Saints hoodie is now available to wear"
"DLC_STORE_HINT_DOWNLOAD": "DOWNLOAD"
"COOP_DLC_MISMATCH": "Some of your downloadable content is unavailable to your partner and will be temporarily disabled."
