"DLC_STORE_SEASON_PASS_CATEGORY": "CONTENUTO PASS STAGIONALE"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] Installato"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "Questo contenuto scaricabile è già installato e disponibile. Vuoi continuare con l'acquisto?"
"TUT_DLC_WIN": "Se vuoi rigiocare queste missioni, puoi farle comparire di nuovo nel menu del tuo cellulare caricando un salvataggio precedente. Avrai comunque accesso a tutte le ricompense già ottenute completando le missioni."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Contenuto pass stagionale"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} ACCELERAZIONE \n{PLANE_BRAKE_REVERSE_IMG} FRENO + MARCIA INDIETRO \n{PLANE_PITCH_UP_DOWN_IMG} BECCHEGGIO\n{PLANE_LEFT_RIGHT_IMG} ROLLIO\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "Questo contenuto scaricabile non sarà disponibile fino a quando il pass stagionale non sarà installato. Vuoi procedere con il download?"
"PLT_TITLE_COMPATIBILITY_PS3": "Devi utilizzare la stessa versione di Saints Row: The Third dell'host per giocare partite LAN. Assicurati che tutti abbiano scaricato l'ultimo aggiornamento del gioco."
"UNL_COMMUNITY_ASSET05": "OGGETTO - MAGLIETTA DA BASKET"
"UNL_DESC_COMMUNITY_ASSET02": "Ora puoi indossare la maglia Volition"
"UNL_DESC_COMMUNITY_ASSET05": "Ora puoi indossare la maglietta da basket"
"UNL_COMMUNITY_ASSET02": "OGGETTO - MAGLIA VOLITION"
"PLT_TITLE_COMPATIBILITY_PC": "Dovete utilizzare la stessa versione di Saints Row: The Third per giocare insieme."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Il tuo compagno non possiede il contenuto scaricabile necessario per questa attività. Per giocare in Coop, entrambi i giocatori devono possedere questo contenuto scaricabile."
"UNL_DESC_COMMUNITY_ASSET06": "Ora puoi indossare l'antenna"
"UNL_COMMUNITY_ASSET01": "OGGETTO - MAGLIA MEMBRO DEI ROW"
"DLC_STORE_HINT_PURCHASE": "ACQUISTA"
"UNL_COMMUNITY_ASSET06": "OGGETTO - ANTENNA"
"UNL_DESC_COMMUNITY_ASSET01": "Ora puoi indossare la maglia Membro dei Row"
"PLT_TITLE_COMPATIBILITY_XBOX": "Devi utilizzare la stessa versione di Saints Row: The Third dell'host per giocare con il collegamento di sistema. Assicurati che tutti abbiano scaricato l'ultimo aggiornamento del gioco da Xbox Live."
"UNL_DESC_COMMUNITY_ASSET04": "Ora puoi indossare la giacca con cappuccio dei 3rd Street Saints"
"UNL_COMMUNITY_ASSET03": "OGGETTO - GIACCA CON CAPPUCCIO GIGLIO SAINTS"
"CHEAT_DISABLED_IN_COOP": "Questo trucco non è disponibile giocando in coop.  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "Questo contenuto scaricabile è già installato e disponibile. Vuoi continuare con il download?"
"UNL_COMMUNITY_ASSET04": "OGGETTO - GIACCA CON CAPPUCCIO 3RD STREET"
"UNL_DESC_COMMUNITY_ASSET03": "Ora puoi indossare la giacca con cappuccio con il giglio dei Saints"
"DLC_STORE_HINT_DOWNLOAD": "SCARICA"
"COOP_DLC_MISMATCH": "Parte del contenuto scaricabile non è disponibile per il tuo compagno e sarà momentaneamente disattivato."
