# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "极度不合逻辑"
"HASH_5B0EF200": "零圣徒三十"
"HASH_B5D00E00": "露肩"
"HASH_C1408E01": "高尔夫球帽"
"cm_hair_shortstraight-01": "短而直"
"cf_foot_amazonboots": "亚马逊靴"
"HASH_1FB01C01": "深绿"
"HASH_081DF801": "傲慢"
"HASH_EA74F201": "唇部"
"HASH_F41BD202": "泵动式。"
"HASH_32B6B202": "黄瓜酷炫"
"HASH_4655D602": "强力背心"
"HASH_DEBF9602": "发型"
"HASH_BF6F1203": "艳粉"
"HASH_E1854C03": "轰……爆头。"
"HASH_C3BB5203": "忘穿裤子了？"
"cm_hair_highsculpted-01": "柔和精神朋克"
"HASH_74CEEA03": "漂白金发"
"HASH_4A342203": "朋克"
"HASH_6E2C4203": "潮人"
"HASH_54402803": "'美利坚"
"HASH_82E66404": "黑寡妇耳环"
"cm_hair_hifauxhawk": "高仿鹰冠头"
"HASH_410DA204": "虹彩 1"
"HASH_32A1F404": "疣 4"
"HASH_0EE96605": "给你的火力加点闪亮。"
"HASH_F2784C05": "大猎物"
"HASH_53DCD205": "耳垂高度"
"Planet Saints Outfit J": "学院慵懒风"
"HASH_B1703805": "肖恩蒂内裤"
"HASH_6A10B605": "神秘美人"
"HASH_B9E6A005": "红色 1"
"HASH_A2EDA406": "9毫米战术"
"HASH_605E4806": "摩卡棕"
"HASH_35A5A407": "工业级狠揍"
"HASH_6BEE2C07": "淡紫染"
"HASH_0285EE07": ""
"HASH_057D9A07": "彩虹上衣"
"HASH_5BB8FE07": "紫罗兰 9"
"HASH_A9609C08": "全自动"
"HASH_1A88AE08": "不留任何证据。"
"HASH_E5895608": "染色 60%%"
"HASH_35D2EC08": "未来战士靴"
"HASH_A8F72808": "蓝绿 4"
"HASH_3D408608": "胸部"
"HASH_8AB5DA09": "更高的精确瞄准镜放大倍率"
"HASH_6FBD8609": "都市猎装有领衬衫"
"HASH_3538DC0A": "哇哦"
"HASH_A2D3DC0A": "曼哈顿风格"
"HASH_9389400A": "STAG 精英"
"HASH_BFA4A60B": "别惹麻烦。"
"HASH_A0F5820B": "晴空蓝"
"HASH_902C3C0B": "掀翻屋顶"
"HASH_A22C480B": "牛角"
"HASH_10603E0B": "绿色 3"
"HASH_4313460C": "5.0 眼镜"
"HASH_2516DC0C": "音乐发烧友"
"HASH_466DD40C": "太空公主靴"
"HASH_0BBF8C0D": "额头深度"
"HASH_F236220D": "眼球大小"
"Lets Pretend Male 35B": "通用英雄"
"cm_hand_misfortune": "科技护手"
"HASH_51D3AA0D": "纹身"
"HASH_2A98660E": "扎实。"
"HASH_4841F60E": "侧视镜"
"HASH_F2E3740E": "金牙颜色"
"HASH_C64E320E": "贴花 2"
"HASH_5874640E": "哑光"
"cm_suit_m_rainbow": "彩虹骑士"
"HASH_C7899C0E": "万象点缀"
"HASH_CABA9A0E": "妆容"
"HASH_42F2040F": "血色头带"
"HASH_3C697A0F": "丛林迷彩"
"HASH_C722D80F": "等级 {0}"
"HASH_C99A640F": "变形棕"
"HASH_F3212E0F": "X世代89"
"HASH_7F6E4C0F": "情圣"
"HASH_7814A00F": "红橙 4"
"HASH_AF8CCC0F": "蓝色 2"
"HASH_BA900A0F": "背包"
"HASH_863F7410": "淘金热"
"HASH_4C636E10": "所有发财经的走私犯的不二之选"
"HASH_59CE2610": "饰品"
"HASH_C5D88010": "夜店衬衫"
"HASH_68D04210": "都市猎装背心"
"cm_ubdy_rustytee": "拉斯蒂针管T恤"
"HASH_4DC28011": "大爆裂"
"HASH_F2975211": "吐舌头"
"HASH_74E35211": "不过抛光起来挺费劲的。"
"HASH_450BF011": "DEK-RD轨道手枪"
"HASH_44D7AA11": "抹脖子"
"HASH_239EE211": "眼睛颜色"
"cm_hair_shortwidowspeak": "男孩短发"
"HASH_994EA612": "深绿金属"
"HASH_D5408E12": "熊猫装扮"
"HASH_CC58CE12": "摇滚腕带"
"HASH_3EE80212": "都市猎装配T恤"
"HASH_0BB5F412": "大伤疤 3"
"HASH_D6634412": "深棕发"
"HASH_170DFA12": "绿色 7"
"HASH_90149813": "ZinTek的又一杰作"
"HASH_32551813": "摔麦收场"
"HASH_399B5613": "水桶灰"
"HASH_76232213": "死核靴"
"cf_foot_strapshoes": "绑带鞋"
"HASH_D73B7A14": "身体"
"cm_toilet": "马桶"
"HASH_4C209815": "深蓝染"
"HASH_F7FE8C15": "兄弟帽"
"HASH_E42B8E15": "基础降落伞"
"cm_suit_spacesmuggler": "淘气浪子套装"
"HASH_ED1DE616": "全息骷髅"
"HASH_E937FE16": "那个狠角色回来了！"
"HASH_3549B016": "深鼠尾草绿"
"HASH_78038816": "零到六十"
"Blonde": "金发"
"HASH_A8E10816": "蓝色 6"
"HASH_92F11017": "重金属"
"HASH_F7B3B417": "在蓝色丛林里藏身时效果最佳。"
"HASH_9CA98E17": "扣扳机比弹吉他容易。"
"HASH_C123F617": "贴花 6"
"HASH_EF472617": "可调悬架"
"HASH_D5B78017": "STAG 头盔"
"HASH_33364217": "测试胡子"
"HASH_45AB6818": "后轮旋叶"
"HASH_ACAB3E18": "喷漆 3"
"HASH_5F2A0418": "内饰 3"
"HASH_57C5AE18": "皮革蕾丝腕带"
"HASH_1D0A4018": "皮革机车裤"
"HASH_2D057818": "50年代主妇"
"HASH_F224B019": "保持新鲜"
"HASH_4A6CAE19": "紫色火焰"
"HASH_823F9C19": "整条右臂"
"HASH_601ADA1A": "镀铬"
"HASH_D0F1D61A": "鼻梁深度"
"HASH_1DD80E1A": "排气"
"HASH_CFA05E1A": "深青金属"
"HASH_7408121A": "氧化铜"
"HASH_99FFF01A": "女王手套"
"cm_lbdy_cargoshorts": "工装短裤"
"HASH_532DEC1A": "壁虎"
"HASH_43B3CA1B": "该武器现在可击退载具。"
"HASH_D9066C1B": "虹膜大小"
"HASH_2C6CBC1B": "眉骨深度"
"HASH_21E7801B": "公主粉"
"HASH_3AE6381B": "祖母绿"
"HASH_6B738A1B": "金牙"
"HASH_948F9A1B": "魅力女孩"
"HASH_4A35061B": "哔啵手镯"
"female_obese": "女·肥胖"
"HASH_BE8B641C": "红色 5"
"HASH_4FBBC41D": "我们本可以做个蜜蜂双关。但我们不干。"
"HASH_93D2E81D": "有货"
"HASH_15CF461D": "晨星帮耳环"
"HASH_2A6B741D": "大坏狼"
"HASH_0388E81D": "圣徒连帽衫（帽放下）"
"HASH_4660661D": "虹彩 5"
"HASH_2AEA401E": "决定性一击"
"HASH_B80CEC1E": "惊讶"
"HASH_4CE85A1E": "深海蓝"
"HASH_1718DC1E": "碳钢"
"HASH_F452D41E": "深棕染"
"HASH_376EDC1E": "KRHYME 95.4"
"cm_hair_50scleancut": "常规短发"
"HASH_6190761F": "全新出厂，随时开揍"
"HASH_DD6F1C1F": "因为嘛，红和蓝我们都出过了。"
"cf_hair_kungfubraid": "功夫辫"
"HASH_38918420": "脸颊间距"
"HASH_90361E20": "腿部"
"HASH_999A7020": "阿帕奇"
"HASH_27C2FE20": "摩托党墨镜"
"HASH_39FF5E20": "入会成员"
"HASH_062A7A20": "休闲裙"
"HASH_0E645620": "歪向一边"
"cm_lp35o_suit_m_scigirl": "科幻幻想"
"cf_ubdy_camisole2": "糖果女孩背心"
"HASH_4E035020": "荣誉之道"
"HASH_AFDF6E20": "重生"
"HASH_372E1020": "痣须"
"HASH_80313821": "圆顶礼帽"
"HASH_E9A5D021": "圣徒风戒指"
"HASH_97E94C21": "蓝紫 3"
"HASH_27E6DA22": "发霉老古董"
"HASH_D53DF822": "嘴部高低"
"HASH_62DC3C22": "后保险杠改装"
"HASH_BC6A8C22": "左侧"
"HASH_73915822": "轮辋套组 14"
"HASH_B6CE8022": "迷幻浩室帽"
"HASH_B8A04022": "口袋火箭夹克"
"HASH_1B37A022": "右指甲油"
"HASH_D9E37A23": "额头宽度"
"HASH_412FEC23": "红色金属"
"HASH_77CF4023": "OG 连帽衫"
"cm_ubdy_sweatvoli": "VOLISKULL运动衫"
"HASH_7145A023": "夜店客"
"HASH_A1416423": "蓝绿 8"
"HASH_00CD8E24": "转管机枪臂"
"HASH_B5D1AC24": "左上臂"
"HASH_9B96F024": "前保险杠改装"
