"DLC_STORE_SEASON_PASS_CATEGORY": "シーズンパス コンテンツ"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] インストール済み"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "このダウンロードコンテンツは既にインストールされています。\n購入しますか？"
"TUT_DLC_WIN": "追加ミッションをクリアした後に作成されたセーブファイルをロードすれば、追加ミッションが携帯電話に再度表示され、再度チャレンジすることができます。アンロックされたアイテムなどはそのまま使用できます。"
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] シーズンパス コンテンツ"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG}加速\n{PLANE_BRAKE_REVERSE_IMG}ブレーキ／逆回転\n{PLANE_PITCH_UP_DOWN_IMG}ピッチ\n{PLANE_LEFT_RIGHT_IMG} ロール\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "このダウンロードコンテンツはシーズンパスがインストールされるまで使用できません。\nダウンロードしますか？"
"PLT_TITLE_COMPATIBILITY_PS3": "セインツロウ ザ・サードをLANゲームでホストするには、全員が同じバージョンである必要があります。\n全員が最新のタイトルアップデートをダウンロードしていることをご確認ください。"
"UNL_COMMUNITY_ASSET05": "フリースロージャージ"
"UNL_DESC_COMMUNITY_ASSET02": "VOLITIONシャツを装備できるようになった"
"UNL_DESC_COMMUNITY_ASSET05": "フリースロージャージを装備できるようになった"
"UNL_COMMUNITY_ASSET02": "VOLITIONシャツ"
"PLT_TITLE_COMPATIBILITY_PC": "セインツロウ ザ・サードをプレイするには、全員が同じバージョンである必要があります。"
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "協力プレイのパートナーが必要なダウンロードコンテンツを持っていません。\nこのアクティビティを協力プレイで行うには、双方がダウンロードコンテンツを持っている必要があります。"
"UNL_DESC_COMMUNITY_ASSET06": "アンテナを装備できるようになった"
"UNL_COMMUNITY_ASSET01": "セインツメンバーシャツ"
"DLC_STORE_HINT_PURCHASE": "購入"
"UNL_COMMUNITY_ASSET06": "アンテナ"
"UNL_DESC_COMMUNITY_ASSET01": "セインツメンバーシャツを装備できるようになった"
"PLT_TITLE_COMPATIBILITY_XBOX": "セインツロウ ザ・サードをシステムリンクでホストするには、全員が同じバージョンである必要があります。\n全員が最新のタイトルアップデートをXbox Liveからダウンロードしていることをご確認ください。"
"UNL_DESC_COMMUNITY_ASSET04": "サード・ストリート・セインツパーカーを装備できるようになった"
"UNL_COMMUNITY_ASSET03": "フルール・ド・セインツパーカー"
"CHEAT_DISABLED_IN_COOP": "協力プレイでは、このチートは使えません。   "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "このダウンロードコンテンツは既にインストールされています。\nダウンロードしますか？"
"UNL_COMMUNITY_ASSET04": "サード・ストリート・セインツパーカー"
"UNL_DESC_COMMUNITY_ASSET03": "フルール・ド・セインツパーカーを装備できるようになった"
"DLC_STORE_HINT_DOWNLOAD": "ダウンロード"
"COOP_DLC_MISMATCH": "パートナーがアクセスできないダウンロード コンテンツがある場合、それらは一時的に利用できなくなります。"
