// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "也许待会儿吧，行吗？";
"The world's greatest vigilante needs our help in drawing out his archnemesis! To do so, we must confront the foul captain's army of minions, draw out his lieutenants, until the terrible menace reveals himself! Then we must take him on in an earth-shattering final conflict! ": "世界上最伟大的侠客需要我们的帮助，引出他的宿敌！为此，我们必须对抗那卑鄙船长的喽啰大军，引出他的副手们，直到那可怕的威胁现身！然后我们要与他展开一场天崩地裂的最终决战！";
"Does this place not have light switches?": "这地方难道没有电灯开关吗？";
"A gun? Oh. A gun. Good.": "一把枪？哦。枪。很好。";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "如果二十年前有人告诉我，等我长大后会在一群街头帮派中步步高升，创立传媒帝国，成为美国总统，然后被外星人抓走——嗯……我大概会信。我小时候特别好骗。";
"So?": "所以呢？";
"You sure know how to show a girl a good time. But we need to get Tammy somewhere safe.": "你确实很会逗姑娘开心。但我们得把塔米送到安全的地方。";
"This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.": "这本来不关我的事，但既然你把我扯了进来，我觉得你们俩都能从对方身上学到点什么。你爱怎么想就怎么想吧。";
"This thing takes some getting used to, huh...": "这玩意儿真得慢慢适应，是吧……";
"Hold on, will you two get back here!": "等等，你们俩给我回来！";
"Yeah, sorry for your loss.": "嗯，节哀顺变。";
"Everybody, follow me!": "大家跟我来！";
"If Kinzie's plan works, Zinyak's gonna be in for a world of hurt.  Not sure if we'll make it out of this alive, but at least we'll go down fighting.  We owe it to the people of Earth to do that much.": "如果金吉的计划奏效，齐尼亚克就有得受了。我不确定我们能不能活着离开，但至少我们会战斗到底。为了地球上的人民，我们必须做到这一步。";
"I gotta word for ya! OW MY FACE.": "我有话跟你说！哎哟我的脸。";
"Kinzie, she's falling too fast.": "金吉，她掉得太快了。";
"Oh, geez!  Got too close to the fire!": "哦，老天！离火太近了！";
"*sigh* I guess. I'll...I'll talk to her. Me.": "*叹气* 我想也是。我会……我会去跟她谈。我去。";
"Just shut up, I have to tell you something:  for years I thought you were dead, and I blamed myself for it.  When you were gone there was a hole in my life that I tried to fill with anything I could find...partying, sex, revenge...sometimes a weird combination of the three.": "你闭嘴听我说：这么多年来我一直以为你死了，我一直怪自己。你走后，我的生活出现了一个空洞，我试图用一切能找到的东西填满它……派对、性爱、复仇……有时候还是三者诡异的结合。";
"You have a point.": "有道理。";
"Special Prisoner #2 has been isolated! All soldiers to Processing Chamber 9 now! Good job, everyone!": "二号特殊囚犯已被隔离！所有士兵立刻前往九号处理舱！干得好，各位！";
"Here we are.": "到了。";
"Johnny, I'm telling you--": "约翰尼，我告诉你——";
"Ugh...Yeah... You keep doing that, I'll keep these assholes off you.": "呃……是啊……你继续忙你的，我来把这些混蛋从你身边挡开。";
"I'd just rather not get killed over this, Matt.": "我只是不想为此送命，马特。";
"Done, Kinzie.": "搞定了，金吉。";
"Matt, I am going for Cyrus now. Time for Phase Two of this plan.": "马特，我现在去抓赛勒斯。是时候执行计划的第二阶段了。";
"I'm a creature of habit, of structure, which doesn't fit well with the Saints' MO. They have their way of doing things, and at times I have no idea what they're thinking or of their infatuation with those god-awful Freckle Bitches hamburgers, but when it comes down to it, they get things done. That's impressive. And I'm not easily impressed.": "我习惯按部就班、讲究章法，跟圣徒们的作风不太合拍。他们有他们行事的方式，有时候我完全不知道他们在想什么，也不懂他们为何对那些难吃得要命的「弗里克·碧池」汉堡那么痴迷。但真到关键时刻，他们总能办成事。这很难得，而我并不轻易被打动。";
"I seem to remember getting shot here...": "我好像记得在这儿中过枪……";
"Flaming bullets? Holy shit.": "燃烧弹？我靠。";
"Zinyak blew up Earth and HE'S the one getting pissed?": "齐尼亚克炸了地球，他反倒先生气了？";
"Come on, we'll find him.": "走吧，我们会找到他的。";
"Let's get it out of here!": "把它弄出去！";
"I don't think so.": "我不这么觉得。";
"Our way out of here. Oh! It's beautiful! I'll drive!": "我们的出路。哦！真漂亮！我来开车！";
"What's broken?": "什么东西坏了？";
"That should be enough.  Get those loaded and we're all set.": "应该够了。装好那些东西，我们就都齐了。";
"Kinzie, that's an order from your President.": "金吉，这是你的总统的命令。";
"Aw, what the hell...": "哎，什么鬼……";
"Johnny, I'm telling you--": "约翰尼，我告诉你——";
"There he is.": "就是他。";
"Ah, the Three-Count. Whether I am playing roulette here, or just cracking the safe, it is always a good time.": "啊，三重连城。不管是在这里玩轮盘，还是撬保险柜，总是愉快的时光。";
"Keith!": "基思！";
"Girl, you gotta help me out here: you're not hacking.  This thing doesn't have fingers...the fuck am I getting this door open?": "姑娘，你得帮我一把：你根本不是在破解。这玩意儿没有手指……我他妈怎么把门弄开？";
"Shit!": "妈的！";
"Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.": "金吉，我跑得比人快，还能从手里射出冰来；我早就在打破规矩了。";
"Babysit the key. Got it.": "看好钥匙。明白。";
"I'll take out the C.I.D.s!": "我去解决那些C.I.D.！";
"Flip on the switch and...": "按一下开关，然后……";
"Just get everyone else to safety, playa!": "快去把其他人带到安全的地方，玩家！";
"What?! What are you going to do? Bad influence everyone to death?": "什么？！你想干什么？把所有人都逼疯吗？";
"Is Zinyak seriously going to let me buy weapons here?": "齐尼亚克真打算让我在这儿买武器？";
"Why's it look like Judgment Day?": "为什么这里看起来像末日审判？";
"Don't worry Matt, I'll get you out.": "别担心，马特，我会救你出去。";
"I think this town lost the stick up its butt!": "我觉得这城镇疯了，脑子里进棒子了！";
"So there are probably aliens in here?": "所以说，这里大概有外星人？";
"Our contestants made it through another round.": "我们的参赛者又撑过了一轮。";
"Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.": "约翰尼·盖特是我最老的朋友，也是我认识的最凶悍的家伙。当菲利普·洛伦干掉他时，我曾经为他哀悼。现在既然知道他还活着，我愿意踏遍地狱把他带回来。";
"She's just a programme, y'know.  Why even worry about her?": "她只是一段程序，你知道吗。何必为她操心？";
"I had a great time, Johnny.": "我玩得很开心，约翰尼。";
"Well I won't be once I find him.": "等我找到他，就不会不开心了。";
"Cardboard boxes? You're serious?": "纸箱子？你是认真的吗？";
"When that power's active your weapons will be able to bring down a Warden's shield.": "那个能力激活时，你的武器就能击破典狱长的护盾了。";
"All right, I'll give this plan of yours one more try then we're helping Shaundi.  The... the other Shaundi.": "好吧，我再试一次你的计划，然后就帮莎蒂。那个……另一个莎蒂。";
"Hold on, is that Maero?": "等等，那是马罗吗？";
"He can think whatever he wants...he's not stopping me.": "随他怎么想……他阻止不了我。";
"Fuck, you know what I mean.": "操，你知道我什么意思。";
"Shit. Did I just kill her?": "靠，我刚才是不是杀了她？";
"Shit, watch that stomp next time.": "靠，下次注意别踩到脚。";
"So you have what you need now?": "所以，你现在拿到需要的东西了吗？";
"What kind of matter?": "哪种东西？";
"Let me know how that goes.": "事情怎么样了告诉我一声。";
