"DROP_SPHERE": "ДАТЬ СФЕРУ"
"POC2_STRONHOLD_UPRGADE": "УЛУЧШЕНИЕ КРЕПОСТИ"
"ALL_VARIANTS_ALREADY_OWNED": "У вас есть уже все стили для этой вещи."
"STAT_COOP_POLICE_NOTORIETY_TIME": "СОВМЕСТНАЯ ИГРА: ВРЕМЕНИ ПОД МАКСИМАЛЬНЫМ ПРЕСЛЕДОВАНИЕМ КОПОВ"
"STAT_DRIVING_TWOWHEELS": "ДВА КОЛЕСА"
"STAT_MAX_STUNT_JUMP_HEIGHT": "МАКСИМАЛЬНАЯ ВЫСОТА ПРЫЖКА"
"ESCORT_NAME_24B": "ГРИБ"
"HASH_01D23301": "СМЕРТЕЛЬНЫЙ ЗНАК: ПОБЕД"
"DROP_GATMOBILE": "ДАТЬ ГЭТ-МОБИЛЬ"
"BUSHWICK_BILL_DESC": "Все люди в мире должны уменьшиться в размерах."
"HUD_CRIB_WALKING_STYLE": "ИЗМЕНИТЬ СВОИ ДВИЖЕНИЯ"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "СУПЕР-ИГРУШКИ \"НАКАЧАЙ ЕЕ\""
"STORE_INVENTORY_EMPTY": "Больше нечего покупать!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "ПРОФЕССОР ДЖЕНКИ: ЗАВЕРШЕНО "
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "ТАНКОВЫЙ РАЗГРОМ: ЗАВЕРШЕНО "
"STAT_SECRET_AREAS_FOUND": "СЕКРЕТНЫХ ЗОН НАЙДЕНО"
"Coop Col2_NAME": "СПИСКИ ЛИДЕРОВ КОМАНДНОЙ ИГРЫ"
"MAP_ICON_DRUG_TRAFFICKING": "НАРКОТРАФИК"
"COMERCIAL_6": "СКИДКА 25% В ВЕСЕЛОЙ ПУЛЕ"
"POC2_WEAPON_UPGRADE_3": "УЛУЧШИТЬ ОРУЖИЕ - УРОВЕНЬ 3"
"WPN_STORE_SMG_TITLE": "АВТОМАТЫ"
"TAT_REG_R_LEG": "ПРАВАЯ НОГА"
"HORDE_MODE_TITLE_COMPLETE": "ВОЛНА {0} ПРОЙДЕНА"
"ESCORT_NAME_26B": "НЕВАЛЯШКА"
"EVIL_CARS_2_DESC": "Все машины управляются гонщиками, которые пытаются вас задавить"
"STORE_TERTIARY_COLOR": "ВСПОМОГАТЕЛЬНЫЙ ЦВЕТ"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "ВНИМАНИЕ!"
"STORE_UNDERWEAR_SUB_WARNING": "Невозможно снять нижнее белье."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Вы должны отремонтировать свою машину, прежде чем сможете изменить ее."
"GARAGE_VEHICLE_OPTION": "ПАРАМЕТРЫ МАШИН"
"WPN_STORE_THROWN_TITLE": "МЕТАТЕЛЬНОЕ"
"STAT_MONEY_PALLETS_FOUND": "ПАЧЕК ДЕНЕГ НАЙДЕНО"
"STAT_UNIQUE_VEHICLES_DRIVEN": "УПРАВЛЕНИЕ УНИКАЛЬНЫМ ТРАНСПОРТОМ"
"STAT_SPECIAL_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ ИЗ ОСОБОГО ОРУЖИЯ"
"STAT_DRIVING_BACKSEAT_RESPECT": "АВТОРИТЕТ ЗА ДОРОЖНОЕ УБИЙСТВО"
"STAT_DRIVING_STOPPIE_RESPECT": "АВТОРИТЕТ ЗА ПЕРЕДНИЕ КОЛЕСА"
"Partners in Crime_HOWTO": "ВЫПОЛНИТЕ ВСЕ МИССИИ КАМПАНИИ В СОВМЕСТНОЙ ИГРЕ"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "ПРАВОЕ ПЛЕЧО"
"CUST_ITEM_WEAR": "НАДЕТЬ ПРЕДМЕТ"
"STAT_MOST_HATED_GANG": "САМАЯ НЕНАВИСТНАЯ БАНДА"
"ESCORT_NAME_20B": "НЫРОК"
"MAP_ICON_TANK_MAYHEM": "ТАНКОВЫЙ РАЗГРОМ"
"COMERCIAL_8": "СКИДКА 25% В IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "МАГАЗИН ТРАВ \"КРАСНЫЙ ЛУК\""
"GARAGE_CAT_3": "ПЕРФОМАНС"
"STAT_DRIVING_BIGAIR_HEIGHT": "НАИБОЛЬШАЯ ВЫСОТА"
"CUST_GANG_NAME_PIMP": "СУТЕНЕРЫ И ПРОСТИТУТКИ"
"GOLDEN_GUN": "ЗОЛОТАЯ ПУШКА"
"GIVE_RESPECT": "ДАТЬ УВАЖЕНИЕ"
"DROP_KENSHIN": "ДАТЬ KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "СКЛАД"
"UNLOCKABLE_TITLE_CAPS": "ОТКРЫТО"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "АВТОРИТЕТ ЗА УБИЙСТВА МЕТАТЕЛЬНЫМ ОРУЖИЕМ"
"ESCORT_NAME_22B": "СПЕЛЕОЛОГ"
"Coop Meta Game Points_NAME": "ОЧКИ В ИГРЕ"
"CONTROL_RESUME": "ПРОДОЛЖИТЬ"
"WRATH_OF_GOD_DESC": "Молния!"
"DROP_SHARK": "ДАТЬ SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Хотите взять \"%s\" из жилища?"
"VEHICLE_COLOR": "ЦВЕТ"
"GARAGE_RETRIEVE_TEXT": "Хотите отобрать этот транспорт?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "КОШКИ-МЫШКИ: МАКСИМАЛЬНАЯ СЕРИЯ УБИЙСТВ"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "АТАКА С ВЕРТОЛЕТА: ВЫПОЛНЕНО"
"STAT_DIVERSION_RESPECT_EARNED": "АВТОРИТЕТ ЗА ХУЛИГАНСТВО"
"STAT_ENEMY_GANG_KILLED": "УБИТО БАНДИТОВ"
"ZOMBIE_PEDS": "ЗОМБИ"
"VCUST_RIM_SIZE_OPTION": "РАЗМЕР ОБОДА"
"PCS_RETURN_MAIN": "ВЕРНУТЬСЯ В ГЛАВНОЕ МЕНЮ"
"Total Cop Kills_NAME": "ВСЕГО УБИТО ПОЛИЦЕЙСКИХ"
"THQ": "THQ"
"SMASH": "МАШИНА-ТАРАН"
"MILK_BONES_DESC": "Рукопашные атаки очень смертоносные"
"VEHICLE_PAINT_TYPE": "ТИП РИСУНКА"
"STAT_HUMAN_SHIELD_KILLS": "УБИЙСТВ ЧЕЛОВЕЧЕСКИХ ЩИТОВ"
"ESCORT_NAME_30A": "СИЯЮЩИЙ"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "ЛУЧШАЯ ВЫСОТА"
"Time Played_NAME": "ОБЩЕЕ ВРЕМЯ ИГРЫ"
"MainMenu": "ГЛАВНОЕ МЕНЮ"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "ДАТЬ RC-ПОВЕЛИТЕЛЬ"
"MASCOT_PEDS": "ТАЛИСМАНЫ"
"STORE_GARAGE_MSG": "ВОЙТИ В ГАРАЖ"
"STAT_GRENADE_KILLS": "УБИЙСТВ ГРАНАТАМИ"
"STAT_MAX_HUMAN_THROWN_DIST": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ БРОСКА ЧЕЛОВЕКА"
"HASH_9A7AD50B": "РЕЙТИНГ АТАК ИЗ АВТОМОБИЛЯ"
"EXIT_STRONGHOLD": "ПОКИНУТЬ ЗАХВАТ КРЕПОСТИ"
"WPN_STORE_PURCHASE_PROMPT": "Хотите купить {0} за ${1}?"
"VCUST_SPINNERS_TITLE": "СПИННЕРЫ"
"GANG_CUST_SLOT_2": "СЛОТ 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "СОВМЕСТНАЯ ИГРА: ХУЛИГАНСТВО ВЫПОЛНЕНО В ТАНДЕМЕ"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "САМАЯ ДЛИННАЯ СТРЕЛЬБА ЧЕРЕЗ ЛОБОВОЕ"
"STAT_DRIVING_WINDSHIELD": "СТРЕЛЬБА ЧЕРЕЗ ЛОБОВОЕ"
"ESCORT_NAME_32A": "КРОВАВЫЙ"
"HASH_AE65D08C": "СМЕРТЕЛЬНЫЙ ЗНАК: САМАЯ ДОЛГАЯ СМЕРТЬ"
"TAXI_PURCHASE": "ОПЛАТИТЬ ПОЕЗДКУ"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "КУПИТЬ"
"PURCHASEABLE_PROPERTEY_ESTATES": "УСАДЬБЫ ХЕЙВМАЙЕРА"
"PURCHASEABLE_PROPERTEY_SERVICE": "СМАЗКИ И БОЛТЫ ДЖЕЯ"
"VEHICLE_REPAIR_HUD_MESSAGE": "ВАШ ТРАНСПОРТ ОТРЕМОНТИРОВАН"
"WPNSTOR_TITLE_WEAPON_CACHE": "ОРУЖЕЙНЫЙ ТАЙНИК"
"STORE_TEXT_DISCARD": "Вы хотите убрать этот предмет из гардероба?"
"HORDE_MODE_TITLE_FINAL_FAIL": "ФИНАЛЬНАЯ ВОЛНА ПРОВАЛЕНА"
"STAT_SEX_DOLLS_FOUND": "СЕКС-КУКОЛ НАЙДЕНО"
"STAT_RIFLE_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ ИЗ ВИНТОВКИ"
"STAT_DRIVING_WRONGWAY": "ВСТРЕЧНАЯ ПОЛОСА"
"ESCORT_NAME_28B": "ПЕРВОПРОХОДЕЦ"
"Diversion Gold Stars_NAME": "ЗОЛОТЫЕ ЗВЕЗДЫ ХУЛИГАНСТВА"
