"MENU_LEFT_MOUSE": "Levé tlačítko"
"MENU_CATEGORY_GENERAL": "OBECNĚ"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "OPTIMÁLNÍ"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Ukládání obsahu. Počkej prosím."
"PC_ZONE_TYPE_HINT": "STŘIH NA NOVOU KAMERU NEBO PŘECHOD Z PŘEDCHOZÍ ZÓNY"
"PC_EXPORT_LOCK_HINT": "UZAMKNOUT POHYB KAMERY V TÉTO KAMEROVÉ ZÓNĚ"
"PC_CHARACTER_MODEL": "MODEL POSTAVY"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "ZOBRAZIT MAPU"
"PCACTION_SPRINT": "SPRINT"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "NASTAV SI, JESTLI SE MÁ RÁDIO ZAPNOUT, KDYŽ NASTOUPÍŠ DO AUTA"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} URÁŽKA \n{TAUNT_THREE_IMG} POKLONA \nBav se s lidmi a získávej respekt za urážení a zabíjení gangsterů."
"CBA_VDC_HELI_DOWN": "   DOLŮ"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "SPOTŘEBOVAT (NAHORU)"
"PC_ENABLE": "POVOLIT"
"MENU_CATEGORY_PLANE": "LETADLO"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   POZICE PRO ZBRAŇ 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   POHYB DOPRAVA"
"MENU_MEDIUM": "STŘEDNÍ"
"PLT_MENU_WIDESCREEN": "ŠIROKÁ OBRAZOVKA"
"PC_CA_CANCEL": "ZRUŠIT"
"PC_TOD_AFTERNOON": "ODPOLEDNE"
"PC_W_RAINY": "DÉŠŤ"
"PC_WEATHER": "POČASÍ"
"PC_CM_TRACKING": "STOPOVAT"
"PC_CM_FOLLOW_WATCH": "SLEDOVAT"
"PC_REWIND_HINT": "PŘETOČENÍ NA ZAČÁTEK"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "VYSÍLACÍ DODÁVKA ZNIČENA!\nDOSTAŇ SE BLÍŽ A ZAMĚŘ DODÁVKU KAMEROU."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   DOLEVA"
"PLT_MENU_PAUSE_FOCUS": "POZASTAVENÍ NEAKTIVNÍ HRY"
"PC_DOF_NORMAL": "NORMÁLNĚ"
"PC_CAMERA_UNLOCKED": "KAMERA ODEMČENA"
"DPAD_UP_TXT": "TLAČÍTKO A"
"PCACTION_WEAPON_4": "ZBRAŇ 4"
"HASH_AEB9EE85": "Hledání přes GOG nenašlo žádné aktuální hry."
"MENU_CAMERA_SMART": "CHYTRÁ"
"PC_RECORD_VIDEO": "ZÁZNAM VIDEA"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Připojení k síti bylo přerušeno."
"MENU_MOUSE_WHEEL_DOWN": "Kolečko dolů"
"MENU_MOUSE_BUTTON_5": "Myš 5"
"MENU_CONTROLLER_SCHEMES": "MAPA OVLÁDÁNÍ"
"PLT_MENU_DISPLAY_MODE": "REŽIM ZOBRAZENÍ"
"PCACTION_RADIO_NEXT": "DALŠÍ RÁDIO"
"PC_RECORD_MODE_PROGRESS": "UKLÁDÁNÍ VIDEA: %d%%%% DOKONČENO"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Tato klávesa už je přiřazena k jiné akci. Přiřazení bude zrušeno:"
"MENU_STEAM_STORE": "OBCHOD STEAMU"
"CBA_GAC_TAKE_SCREENSHOT": "   VYFOTIT OBRAZOVKU"
"PLT_MENU_HIGH_DX10_ONLY": "VYSOKÉ (DX10 NEBO VYŠŠÍ)"
"PC_EXIT_EXPLANATION": "Ukončit editor filmových sekvencí? Neuložené změny budou ztraceny."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "ROZPUSTIT PARTU."
"PLT_MENU_APPLY": "POUŽÍT"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} PLYN \n{BRAKE_REVERSE_IMG} BRZDA + ZPÁTEČKA \nPomocí {LEAN_BACK_IMG} můžeš přenášet váhu a jet po zadním kole a pomocí {LEAN_FORWARD_IMG} po předním."
"CBA_MENU_PC_PUSH_TO_TALK": "   MLUVENÍ STISKEM"
"CBA_OFC_WALK": "   CHŮZE (PODRŽ)"
"CBA_OFC_TAUNT_THREE": "   POKLONA"
"CBA_VDC_TANK_FIRE_SECONDARY": "   SEKUNDÁRNÍ STŘELBA"
"COOP_JOIN_CHEAT": "Tvůj spoluhráč používá cheaty. Každá nově vytvořená pozice bude mít povoleno používání cheatů. \nAutomatické ukládání bylo vypnuto a už nemůžeš získávat žádné úspěchy."
"PC_TOD_DEFAULT": "VÝCHOZÍ"
"PC_CAM_MODE": "REŽIM FOŤÁKU"
"PAUSE_MENU_RECORD_MODE": "ULOŽIT ZÁZNAMY"
"GAME_PROFILE_SAVING": "Ukládání. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   SEKUNDÁRNÍ STŘELBA"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN LOBBY"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Načítání obsahu. Počkej prosím."
"PC_ADVANCED_MODE_HINT": "UMOŽŇUJE POKROČILEJŠÍ EDITAČNÍ TECHNIKY"
"BTN_LTRIGGER_TXT": "TLAČÍTKO A"
"BTN_WHITE_TXT": "TLAČÍTKO A"
"PCACTION_JUMP": "SKOK"
"HASH_D889CE89": "ZVOL ROZLIŠENÍ"
"HASH_70DB6EC9": "ONLINE"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} HADROVÁ PANENKA \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} DORAŽENÍ VE VZDUCHU"
"CONTROL_L_STICK": "LEVÁ PÁČKA"
"CBA_OFC_SHOULDER_CAMERA": "   PŘIBLÍŽENÍ (PODRŽ)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   DOPRAVA"
"PC_CLIP_ACTIONS": "VYBER, CO CHCEŠ S TÍMTO KLIPEM UDĚLAT"
"PC_CA_CLONE": "VYTVOŘIT KOPII"
"PC_DOF_WIDE": "ŠIROKÝ ZÁBĚR"
"PC_EDIT_WARNING": "VAROVÁNÍ"
"PC_SHOW_KEYS": "ZOBRAZIT KLÍČE"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "VYMĚNIT: %ls ZA: %ls"
"PCACTION_ACCELERATE": "ZRYCHLIT"
"PCACTION_CONSUME_RIGHT": "SPOTŘEBOVAT (DOPRAVA)"
"PC_RECORD_MODE_QUALITY_MED": "720p (STŘEDNÍ)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO BYLO ULOŽENO. ČÁST MOŽNÁ BUDE ZTRACENA. ZTRÁTĚ DAT PŘEDEJDEŠ NAHRÁVÁNÍM ZÁZNAMU V NIŽŠÍ KVALITĚ."
"CBA_OFC_ATTACK_SECONDARY": "   HODIT GRANÁT"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPNÍ 16X"
"PC_PROPS_EXIT_HINT": "ZAVŘÍT DIALOG VLASTNOSTÍ"
"HASH_342C548B": "POZVÁNKA"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Pokud použiješ cheaty, nebudou se ti zaznamenávat výsledky a hra se nebude automaticky ukládat. \n\nOpravdu chceš aktivovat tento cheat?"
"CBA_VDC_PLANE_TURN_LEFT2": "   NÁKLON DOLEVA"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "JEDINÝ SNÍMEK ČI SOUHRNNĚ"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "NASTAV PODLE VÝKONU SVÉHO POČÍTAČE"
"PC_UNBOUND_KEY": "NEPŘIŘAZENO"
"PLT_MENU_STANDARD": "STANDARDNÍ"
"MULTI_MENU_SYSLINK": "LAN HRA"
"PC_CAM_MODE_HINT": "JAK SE KAMERA CHOVÁ V TÉTO KAMEROVÉ ZÓNĚ"
"PCACTION_WEAPON_1": "ZBRAŇ 1"
"SAVE_CLIP_NAME": "Zadej název klipu"
"PLT_MENU_VIEW_GAMERCARD": "ZOBRAZIT PROFIL NA STEAMU"
"CBA_GAC_WEAPON_SELECT_1": "   POZICE PRO ZBRAŇ 1"
"CBA_OFC_WALK_TOGGLE": "   CHŮZE (PŘEPNUTÍ)"
"CBA_OFC_CROUCH": "   PŘIKRČENÍ (PODRŽ)"
"CBA_VDC_BRAKE_REVERSE": "   BRZDA/ZPÁTEČKA"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Tímto se obnoví výchozí nastavení a použije se nastavení přizpůsobené výkonu tvé grafické karty. Opravdu to chceš udělat?"
"PLT_MENU_DISPLAY_3": "TŘETÍ"
"PLT_MENU_AUDIO_VOICE_ENABLE": "POVOLIT CHAT"
"PC_EASE_HINT": "PŘEPÍNÁNÍ MEZI TYPY PŘECHODŮ"
"PC_DELETE_CZ_HINT": "SMAZAT AKTUÁLNÍ KAMEROVOU ZÓNU"
"BTN_A_TXT": "TLAČÍTKO A"
"MENU_VIDEO_RECORD_MODE": "REŽIM ZÁZNAMU"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Nelze povolit režim záznamu. Je potřeba více paměti."
"COMMUNITY_BLURB_HEADER": "Staň se členem komunity Saints Row na SaintsRow.com "
"SAVING_CONTENT_TITLE": "Ukládání hry."
"MENU_CONTROLS_STICK": "LEVÁ PÁČKA PLYN/BRZDA"
"PLT_MENU_REFLECTIONS_TOOLTIP": "ZAPNE BĚŽNÉ ČI GEOMETRICKÉ ODRAZY"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "OVLÁDÁ MNOŽSTVÍ A DETAILY SCÉNICKÝCH PRVKŮ"
"MULTI_GAMETYPE_1": "LAN HRA"
"PC_TOD_NOON": "POLEDNE"
"PC_TOD": "DENNÍ DOBA"
"PC_GS_PEOPLE": "LIDÉ"
"PC_POSITION_CAMERA_HINT": "POMOCÍ OVLÁDÁNÍ UMÍSTI KAMERU"
"BTN_LTHUMB_TXT": "LEVÁ PÁČKA"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Video kodek nutný pro tento režim nebyl nalezen. V readme najdeš informace o jeho instalaci."
"MENU_PRIMARY_ASSIGNMENT": "PRIMÁRNÍ PŘIŘAZENÍ"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   BRZDA / ZPÁTEČKA"
"PLT_MENU_SCENE_DETAIL": "    DETAILY SCÉNY"
"PC_OUTPUT_ONLY": "UKAZOVAT JEN VÝSTUP"
"PC_GS_PLAYER": "HRÁČ"
"PC_CM_FOLLOW": "NÁSLEDOVAT"
"PC_CAMERA_LOCKED": "KAMERA UZAMČENA"
"MENU_CHANGES_MADE_TITLE": "POUŽÍT ZMĚNY?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   OSTŘEJŠÍ OTOČKY"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   NÁKLON NAHORU"
"PC_W_CLEAR": "JASNO"
"PC_CAMERA_ZONE": "ZÓNA KAMERY"
"BTN_Y_TXT": "TLAČÍTKO A"
