"UNL_DESC_RESPECT_LUCHA_3": "升级三秒压制据点后，你获得的所有声望额外增加 15%%。"
"UNL_DESC_HOMIE_ZGAT": "脑脑脑脑脑"
"TUT_WHORED_STRIPPERS": "舞娘"
"TUT_WHORED_ZOMBIE": "丧尸"
"UNL_CASH_LIMIT_EURO_1": "转账上限"
"UNL_CASH_MULTIPLIER_2": "加成 - 现金增益 2"
"UNL_DESC_WEP_SATCHEL_CHARGES": "在你的据点武器库中装备炸药包。"
"TUT_WHORED_Z_ONE_SIDED": "一面倒"
"TUT_WHORED_AYDIOSMIO": "哎哟我的天！"
"TUT_TITLE_NAG_CRIB_STASH": "储藏室"
"HOMIES_VTOL": "VTOL"
"TUT_WHORED_A_STEELPORT_WAY": "这就是钢埠的作风"
"TUT_WHORED_A_PUNCH_DRUNK": "晕头转向"
"UNL_DESC_DTL_STRONGHOLD_04_CUSTOMIZATION": "这个根据地归你了！\n在三秒压制据点进行自定义与升级，拓展圣徒的势力范围并获取丰厚升级奖励。"
"UNL_DAMAGE_FIRE_4": "伤害 - 火焰 4"
"TUT_NITROUS": "{NITRO_IMG} 启动氮气加速"
"TUT_DLC": "你有可下载内容可用。"
"UNL_DESC_DLC_PREORDER02_OUTFITS": "穿上这套行头，你看起来就像齐莫斯本尊。"
"UNL_DESC_CRIB_BDSM": "暗号现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"TUT_SAVE_GAME": "按 {PAUSE_MENU_IMG} 进入暂停菜单，切换到存读档页签来保存游戏。 "
"HOMIES_ZIMOS": "齐莫斯"
"TUT_WHORED_A_WELL_DONE": "干得漂亮"
"UNL_CASH_LIMIT_MSTAR_3": "转账上限"
"UNL_MUSCLES_3": "近战 - 肌肉 3"
"UNL_DESC_CASH_FOR_RESPECT_3": "花费现金换取 12,000 声望"
"TUT_TITLE_SHOOTING_STUNTS": "战斗特技"
"UNL_DESC_HOMIE_HEALTH_3": "所有随从生命值提升 30%%"
"TUT_WHORED_Z_GATS_WET": "盖特的美梦"
"TUT_TITLE_STREAKING": "天体"
"UNL_CASH_LIMIT_LUCHA_2": "转账上限"
"UNL_DESC_VEHICLE_STAG_NFORCER": "你的据点车库现在提供 STAG N-FORCER。"
"UNL_HEALTH_REGEN_3": "生命 - 回复 3"
"UNL_DESC_NOTORIETY_LUCHA_1": "你的摔跤手帮恶名衰减速度略微加快"
"TUT_NAG_GANG_CUSTOMIZE": "在圣徒总部定制你的帮派，让他们成为你手下的圣徒。"
"HOMIES_TAXI": "出租车"
"TUT_WHORED_D_BE_GUILED": "迷魂阵"
"HOMIES_SWAT_TEAM_DESC": "呼叫特警支援。"
"HOMIES_VIOLA_DESC": "呼叫薇奥拉来帮忙。"
"UNL_DESC_GANG_NPC_STRIP": "你的帮派现在可以收纳舞娘。"
"UNL_DESC_DLC_GAMEPLAY03_ALERT01": "与晨星帮任务选择相关的奖励现已生效。"
"UNL_DLC_ASSET01_ALERT": "战士包"
"HUD_HOURS": "小时"
"PC_ACT_ESCORT_TIGER_MINIGAME_MSG": "找到老虎的痒处，然后小心地挠它。"
"UNL_RESPECT_LUCHA_1": "声望加成"
"UNL_UPGRADE_AMMO_SPECIAL_3": "弹药 - 特殊 3"
"UNL_DESC_RESPECT_MSTAR_2": "升级超级销金窝据点后，你获得的所有声望额外增加 10%%"
"UNL_DESC_CASH_LIMIT_LUCHA_1": "占领三秒压制据点后，你的城市收入转账上限提升。"
"UNL_DESC_FASTER_HOMIE_REVIVE_1": "随从复活速度提升 10%%"
"UNL_FOLLOWER1": "帮派 - 随从"
"UNL_DESC_INCOME_EURO_3": "你从市中心区域获得的每小时城市收入额外增加 15%%"
