"DROP_SPHERE": "DÁT SPHERE"
"POC2_STRONHOLD_UPRGADE": "VYLEPŠIT PEVNOST"
"ALL_VARIANTS_ALREADY_OWNED": "Již máš všechny styly tohoto předmětu."
"STAT_COOP_POLICE_NOTORIETY_TIME": "KOOPERATIVNÍ REŽIM: CELKOVÝ ČAS POZORNOSTI POLICIE"
"STAT_DRIVING_TWOWHEELS": "JÍZDA PO DVOU KOLECH"
"STAT_MAX_STUNT_JUMP_HEIGHT": "MAXIMÁLNÍ VÝŠKA SKOKU"
"ESCORT_NAME_24B": "SKÚTR"
"HASH_01D23301": "TAG SMRTI: VÍTĚZSTVÍ"
"DROP_GATMOBILE": "DÁT GAT MOBIL"
"BUSHWICK_BILL_DESC": "Všichni lidé jsou trpaslíci"
"HUD_CRIB_WALKING_STYLE": "UPRAVIT POHYB"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "SUPERHRAČKÁŘSTVÍ PLNÁ DÍRA"
"STORE_INVENTORY_EMPTY": "Nic dalšího už koupit nemůžeš!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "DOKONČENÉ MISE PROF. GENKI"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "DOKONČENÉ MISE TANKOVÝ MASAKR"
"STAT_SECRET_AREAS_FOUND": "NALEZENÁ TAJNÁ MÍSTA"
"Coop Col2_NAME": "NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU"
"MAP_ICON_DRUG_TRAFFICKING": "KŠEFTOVÁNÍ"
"COMERCIAL_6": "25% SLEVA V OBCHODECH FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "VYLEPŠIT ZBRAŇ - ÚROVEŇ 3"
"WPN_STORE_SMG_TITLE": "SAMOPALY"
"TAT_REG_R_LEG": "PRAVÁ NOHA"
"HORDE_MODE_TITLE_COMPLETE": "VLNA {0} DOKONČENA"
"ESCORT_NAME_26B": "svatý Jakub"
"EVIL_CARS_2_DESC": "Všichni jezdí jako závodníci a navíc se tě snaží zajet."
"STORE_TERTIARY_COLOR": "TERCIÁRNÍ BARVA"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "POZOR"
"STORE_UNDERWEAR_SUB_WARNING": "Části spodního prádla, které máš právě na sobě, odstranit nelze."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Než budeš moci vozidlo upravit, musíš ho opravit."
"GARAGE_VEHICLE_OPTION": "MOŽNOSTI VOZIDLA"
"WPN_STORE_THROWN_TITLE": "VRHACÍ"
"STAT_MONEY_PALLETS_FOUND": "NALEZENÉ BALÍČKY S PENĚZI"
"STAT_UNIQUE_VEHICLES_DRIVEN": "ŘÍZENÉ UNIKÁTNÍ VOZY"
"STAT_SPECIAL_HIT_PCT": "PROCENTO ZÁSAHŮ SE SPECIÁLNÍMI ZBRANĚMI"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPEKT ZÍSKANÝ ZA ŘÍZENÍ ZE ZADNÍ SEDAČKY"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPEKT ZÍSKANÝ ZA JÍZDU PO PŘEDNÍM KOLE"
"Partners in Crime_HOWTO": "KOOPERATIVNĚ DOKONČI VŠECHNY MISE V KAMPANI"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "PRAVÉ RAMENO"
"CUST_ITEM_WEAR": "OBLÉCI"
"STAT_MOST_HATED_GANG": "NEJVĚTŠÍ NEPŘÍTEL"
"ESCORT_NAME_20B": "SESUV"
"MAP_ICON_TANK_MAYHEM": "TANKOVÝ MASAKR"
"COMERCIAL_8": "25% SLEVA V OBCHODECH IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "BYLINKÁŘSTVÍ RED ONION"
"GARAGE_CAT_3": "VÝKON"
"STAT_DRIVING_BIGAIR_HEIGHT": "NEJVĚTŠÍ VÝŠKA"
"CUST_GANG_NAME_PIMP": "PASÁCI A DĚVKY"
"GOLDEN_GUN": "ZLATÁ ZBRAŇ"
"GIVE_RESPECT": "DÁT RESPEKT"
"DROP_KENSHIN": "DÁT KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "ZÁKLADNÍ"
"UNLOCKABLE_TITLE_CAPS": "ODEMČENO"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABITÍ ODHOZENÍM"
"ESCORT_NAME_22B": "JESKYŇÁŘ"
"Coop Meta Game Points_NAME": "BODY ZA METAHRANÍ"
"CONTROL_RESUME": "ZPĚT DO HRY"
"WRATH_OF_GOD_DESC": "Blesk!"
"DROP_SHARK": "DÁT SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Chceš si vzít z bejváku zbraň \"%s\"?"
"VEHICLE_COLOR": "BARVA"
"GARAGE_RETRIEVE_TEXT": "Opravdu si chceš vzít tento vůz?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "NA KOČKU A NA MYŠ: NEJDELŠÍ SÉRIE ZABITÍ"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "DOKONČENÉ MISE ÚTOK ZE VZDUCHU"
"STAT_DIVERSION_RESPECT_EARNED": "RESPEKT ZA DIVERZE"
"STAT_ENEMY_GANG_KILLED": "ZABITO GANGSTERŮ"
"ZOMBIE_PEDS": "ZOMBIE"
"VCUST_RIM_SIZE_OPTION": "RÁFEK"
"PCS_RETURN_MAIN": "ZPĚT DO HLAVNÍHO MENU"
"Total Cop Kills_NAME": "ZABITÝCH POLICAJTŮ"
"THQ": "THQ"
"SMASH": "NIČIVÉ VOZIDLO"
"MILK_BONES_DESC": "Útoky zblízka jsou velmi smrtící."
"VEHICLE_PAINT_TYPE": "TYP LAKU"
"STAT_HUMAN_SHIELD_KILLS": "ZABITÉ LIDSKÉ ŠTÍTY"
"ESCORT_NAME_30A": "PLANOUCÍ"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "NEVYŠŠÍ SKOK"
"Time Played_NAME": "CELKOVÝ ČAS HRANÍ"
"MainMenu": "V HLAVNÍM MENU"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "DÁT RC-ZBRAŇ"
"MASCOT_PEDS": "MASKOTI"
"STORE_GARAGE_MSG": "OTEVŘÍT GARÁŽ"
"STAT_GRENADE_KILLS": "ZABITÍ GRANÁTEM"
"STAT_MAX_HUMAN_THROWN_DIST": "NEJDELŠÍ ODHOZENÍ"
"HASH_9A7AD50B": "HODNOCENÍ AKCÍ Z JEDOUCÍHO AUTA"
"EXIT_STRONGHOLD": "UKONČIT PEVNOST"
"WPN_STORE_PURCHASE_PROMPT": "{0} stojí {1} dolarů. Koupit?"
"VCUST_SPINNERS_TITLE": "MATICE"
"GANG_CUST_SLOT_2": "POZICE 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "KOOPERATIVNÍ REŽIM: DOKONČENÉ TANDEMOVÉ HRY"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "NEJDELŠÍ AUTODĚLO"
"STAT_DRIVING_WINDSHIELD": "AUTODĚLO"
"ESCORT_NAME_32A": "KRVÁCEJÍCÍ"
"HASH_AE65D08C": "TAG SMRTI: NEJDELŠÍ SÉRIE ÚMRTÍ"
"TAXI_PURCHASE": "KOUPIT JÍZDU"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "KOUPIT"
"PURCHASEABLE_PROPERTEY_ESTATES": "POZEMKY HAVEMAYER"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "VOZIDLO BYLO OPRAVENO"
"WPNSTOR_TITLE_WEAPON_CACHE": "SKŘÍŇ SE ZBRANĚMI"
"STORE_TEXT_DISCARD": "Chceš tento předmět odstranit z šatníku?"
"HORDE_MODE_TITLE_FINAL_FAIL": "POSLEDNÍ VLNA NEBYLA DOKONČENA"
"STAT_SEX_DOLLS_FOUND": "NALEZENÉ NAFUKOVACÍ PANNY"
"STAT_RIFLE_HIT_PCT": "PROCENTO ZÁSAHŮ S PUŠKOU"
"STAT_DRIVING_WRONGWAY": "JÍZDA V PROTISMĚRU"
"ESCORT_NAME_28B": "DVOJITÁ NÁLOŽ"
"Diversion Gold Stars_NAME": "ZLATÉ HVĚZDY"
"FULL_HEALTH": "PLNÉ ZDRAVÍ"
"GANG_CUST_EXIT_PROMPT": "Ukončit úpravu gangu\n\nPokračovat?"
"HORDE_MODE_INVULNERABILITY": "Nesmrtelnost!"
"ESCORT_NAME_34A": "JARNÍ"
"OPTION_NO": "NE"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Nahrání pozice se nezdařilo, protože výchozí paměťové zařízení není dostupné."
"ACCEPT_GAME_INVITE_TITLE": "POZOR"
"PLAYER_CREATION_LEAVE_FULL": "Skutečně chceš ukončit tvorbu postavy?"
"STORE_NAME_NIGHT_CLUB": "NOČNÍ KLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Opravdu chceš odejít z garáže?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPEKT ZÍSKANÝ ZA NÁJEZDY"
"STAT_FAVORITE_WEAPON": "OBLÍBENÁ ZBRAŇ"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Opravdu chceš vytvořit tento komplet?"
"TAXI_INVALID_DESTINATION": "Do této lokace nemůžeš cestovat."
"DROP_FIVE0": "DÁT PEACEMAKER"
"GIVE_ALL_WEAPONS_DESC": "Dá ti kompletní sadu zbraní."
"BUSHWICK_BILL": "TRPASVĚT"
"NEVER_DIE": "NESMRTELNOST"
"HITMAN_NAME": "JMÉNO CÍLE"
"STAT_COOP_ACTIVITIES_COMPLETED": "KOOPERATIVNÍ REŽIM: DOKONČENÉ AKTIVITY"
"STAT_MILES_BY_CAR": "MÍLE NAJETÉ V AUTĚ"
"STAT_FRAUD_DIVES_TAKEN": "POJISTNÝ PODVOD: CELKOVÝ POČET POTOPENÍ"
"STAT_BARN_FOUND": "NALEZENÁ MÍSTA PRO AKROBACII"
"ESCORT_NAME_36A": "ŽHNOUCÍ"
"HASH_64463610": "ÚROVEŇ STYLU"
"UNLIMITED_CLIP_DESC": "Nikdy nemusíš nabíjet, protože tvůj zásobník vydrží věčně."
"MEDIUM_RAIN": "DÉŠŤ"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "\"%s\" a \"%s\". Chceš je vyměnit?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "KOUPIT ZA %ls"
"STAT_TOTAL_CASH_EARNED": "CELKOVÝ PŘÍJEM"
"STAT_DRIVING_BIGAIR_DISTANCE": "NEJVĚTŠÍ VZDÁLENOST"
"STAT_SHOTS_FIRED": "VYPÁLENÉ RÁNY"
"STAT_POLICE_NOTORIETY_TIME": "CELKOVÝ ČAS POZORNOSTI POLICIE"
"DRUNK_PEDS_DESC": "Všichni jsou nalámaní."
"DROP_ATTRAZIONE": "DÁT ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Výběr nové předvolby ovlivní všechny ostatní změny, které jsi už udělal!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Na výchozím paměťovém zařízení není dostatek volného místa\n, a proto nelze uložení pozice dokončit."
"ACT_HITMAN_LEAVE_FULL": "Skutečně chceš ukončit hru 'zabiják'?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLYHO AUTODÍLY"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ÚTOK ZE VZDUCHU: ZNIČENÉ CÍLE"
"HASH_4C1CDC12": "VLASTNÍ PLÁŠŤ"
"CUST_ICON_PIERCINGS": "PIERCINGY"
"VCUST_PURCHASE_OPTION": "KOUPIT"
"VCUST_RIM_FAMILY_TITLE": "RÁFKY"
"STAT_DISTANCE_BY_CAR": "VZDÁLENOST UJETÁ AUTEM"
"STAT_THROWN_HIT_PCT": "PROCENTO ZÁSAHŮ S VRHACÍMI ZBRANĚMI"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "DOKONČENÉ MISE STRÁŽNÝ ANDĚL"
"STAT_COMBAT_CAR": "ZABITÍ GANGSTERŮ VOZEM"
"GIVE_SWORD": "DÁT NOCTURNE"
"DROP_STILWATERMUNICIPAL": "DÁT MUNICIPAL"
"DROP_VORTEX": "DÁT VORTEX"
"VCUST_RETURN_TO_CRIB": "NÁVRAT DO BEJVÁKU"
"GARAGE_CAT_2": "BARVA"
"STAT_SNIPER_SHOTS_FIRED": "VYPÁLENÉ RÁNY Z ODSTŘELOVACÍ PUŠKY"
"STAT_MISSIONS_COMPLETED": "DOKONČENÉ MISE"
"COMERCIAL_7": "15% SLEVA V OBCHODECH IMPRESSIONS"
"GIVE_SHIELD": "DÁT ŠTÍT"
"TOD_Cycle": "ZMĚNIT DENNÍ DOBU"
"INFINITE_AMMO_DESC": "U všech zbraní máš nekonečnou zásobu munice."
"ADD_GANG_NOTORIETY": "ZVÝŠENÁ POZORNOST GANGŮ"
"Wrath_of_God": "BOŽÍ HNĚV"
"POC2_WEAPON_UPGRADE_2": "VYLEPŠIT ZBRAŇ - ÚROVEŇ 2"
"WPN_STORE_RIFLE_TITLE": "PUŠKY"
"STORE_ITEM_STYLE_AWARD": "+ {0} STYL"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "VYJET"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAROVÉ"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY"
"SP Diversion Stars Col3_NAME": "NEJLEPŠÍ HRÁČI BOKOVEK"
"SP Time Col2_NAME": "ŽEBŘÍČEK ČASU HRANÍ"
"CONTROL_ZOOM_AND_ROTATE": "PŘIBLÍŽIT/OTÁČET"
"DROP_CHALLENGER": "DÁT CHALLENGER"
"GIVE_D4THBLOSSOM": "DÁT D4TH BLOSSOM"
"MUSIC_DOWNLOADABLE": "STAŽENÁ"
"STORE_EXIT_WARNING_BODY": "Odejít z obchodu?"
"PLAYER_CREATION_SAVE_CHANGES": "Chceš uložit změny?"
"STAT_WHEELIE_LONGEST_DISTANCE": "NEJDELŠÍ JÍZDA PO PŘEDNÍM KOLE"
"STAT_CIVILIANS_KILLED": "ZABITÍ CIVILISTÉ"
"CONTROL_YES": "ANO"
"DROP_JUSTICE": "DÁT JUSTICE"
"DROP_WIDOWMAKER": "DÁT WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "ÚPRAVA POSTAVY"
"WPN_STORE_EXIT_PROMPT": "Odejít z obchodu se zbraněmi?"
"VCUST_BOTH_AXLES_OPTION": "OBĚ NÁPRAVY"
"STAT_DISTANCE_BY_VEHICLE": "VZDÁLENOST UJETÁ VOZIDLY CELKEM"
"STAT_CASH_EARNED_PER_DAY": "PŘÍJEM ZA HODINU"
"STAT_FRAUD_BEST_DIVE": "POJISTNÝ PODVOD: NEJLEPŠÍ POTOPENÍ:"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPEKT ZA AKTIVITY"
"STAT_HOSPITAL_BILLS": "PENÍZE UTRACENÉ ZA ÚČTY V NEMOCNICI"
"ESCORT_NAME_8B": "VÝVRTKA"
"CONTROL_REMOVE": "ODSTRANIT"
"DROP_REAPER": "DÁT REAPER"
"GARAGE_EXIT_PROMPT": "Zavřít garáž?"
"STAT_MORNINGSTAR_KILLED": "ZABITÍ MORNINGSTAROVÉ"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "AUTA PRODANÁ NA SOUČÁSTKY"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "DOKONČENÉ MISE PŘEKUPNICTVÍ"
"STAT_COMBAT_ENEMY": "ZABITO GANGSTERŮ"
"STAT_HOLDUP_CASH": "PENÍZE ZÍSKANÉ Z LOUPEŽNÝCH PŘEPADENÍ"
"STAT_BASE_JUMP": "SKOKY NA CÍL"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "ANO"
"RAINING_PEDS_DESC": "Haleluja, prší chodci."
"PED_WAR": "VÁLKA CHODCŮ"
"CAR_MASS_HOLE": "NEKONEČNÁ HMOTA"
"SURGEON_FINISHED_FULL": "Skutečně chceš odejít z Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "SE NECHAT TETOVAT"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "NEJDELŠÍ DOBA POZORNOSTI POLICIE"
"ESCORT_NAME_15B": "LÍZÁTKO"
"ESCORT_NAME_6B": "TETOVÁNÍ"
"Vehicle Jump Spin_NAME": "NEJLEPŠÍ PROTOČENÍ"
"CONTROL_BTN_BACK": "TLAČÍTKO ZPĚT"
"CELL_DRUG_DEALER": "DROGOVÝ DEALER"
"CRIB_SHOP_PURCHASED_TEXT": "Tento bejvák je tvůj.\nDostaneš se v něm k penězům, zbraním, oblečení i vozidlům. \nPokud jej upravíš, zvýšíš si hodnocení stylu."
"WPN_STORE_PISTOL_TITLE": "PISTOLE"
"VCUST_WHEEL_SIZE_OPTION": "VELIKOST KOLA"
"GARAGE_CRIB_NAME": "GARÁŽ"
"STAT_TOTAL_DISTANCE_TRAVELLED": "CELKOVÁ PŘEKONANÁ VZDÁLENOST"
"STAT_DIVERSIONS_COMPLETED": "DOKONČENÉ DIVERZE"
"STAT_TOTAL_DAMAGE_TAKEN": "CELKOVÉ UTRŽENÉ ZRANĚNÍ"
"STAT_MILES_BY_AIRCRAFT": "MÍLE URAŽENÉ VE VZDUCHU"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "NÁKLADY NA VYLEPŠENÍ PŘEDMĚTŮ"
"STAT_MAX_STUNT_JUMP_SPIN": "MAXIMÁLNÍ OBRÁTKA"
"SP Throw Distance_NAME": "NEJLEPŠÍ HRÁČI HODU"
"HASH_80C0A79A": "ZMĚNIT ŽEBŘÍČEK"
"MAP_ICON_HELI": "ÚTOK ZE VZDUCHU"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Tvé vozidlo bude nezničitelné."
"VCUST_PURCHASE_PROMPT": "{0} stojí {1} dolarů. Koupit?"
"CUST_ITEM_CREATE_OUTFIT": "VYTVOŘIT NOVÝ KOMPLET"
"GARAGE_REPAIR_TEXT": "Chceš tento vůz opravit?"
"HORDE_MODE_TITLE_KILLS": "ZABITÍ"
"HORDE_MODE_WAVE_TAG": "VLNA"
