# TODO: Translate to Simplified Chinese
# Source: new_sr35_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1308

"HASH_1B989100": "增加可用念力投掷物体的距离。"
"UNL_DESC_TELEKINESIS_4": "念力对载具造成极大伤害！"
"UNL_DESC_SUPER_TK_PC": "你现在可以用念力抓起并投掷人和物体了！\n\n使用 {SUPER_QUICK_TELEKINESIS_IMG} 快速切换到念力。"
"UNL_DESC_STOMP_CAR_DAMAGE": "践踏对载具造成极大伤害。"
"HASH_C1B58800": "已解锁美国总统之位！\n\n按下所有按键以发动全球热核战争！"
"HASH_6A2C5F00": "变得轻如羽毛，大幅延长滑翔距离。"
"HASH_A5A03300": "市中心已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_E509C000": "增大增益效果的影响范围。"
"HASH_84D63E00": "激活缩小践踏"
"HASH_EB2A7D00": "呼叫唐尼"
"HASH_0794C800": "文字冒险"
"HASH_E4AC3D00": "本·金阵亡！"
"HASH_BF7D6000": "念力·源木风格"
"HASH_84656100": "赢得全部「超能格斗俱乐部」银牌，即可呼叫源木女郎提供支援。"
"HASH_D2A00A01": "机甲战衣 - 悬浮消耗 3"
"HASH_D6715D01": "切换念力元素"
"M08_FAIL_SHAUNDI_DIED": "肖恩蒂阵亡！"
"HASH_FB486401": "用念力杀几个辛族。这既有趣又有教育意义！好吧，没什么教育意义，但绝对有趣！"
"HASH_8F208401": "这辆载具座位不够所有人坐！"
"HASH_AE01A502": "机甲战衣 - 持续时间 2"
"HASH_BECD3402": "卡弗岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_B6A5B802": "摧毁[format][color:blue]蓝色标记木箱[/format]可获得医疗补给，用于修复机甲战衣。"
"HASH_474FF502": "劫持病毒"
"HASH_38566503": "船员 - 基思·大卫"
"HASH_6D0D2B03": "基思·大卫可以从你的HUB\"手机\"菜单呼叫到模拟世界中。他会在战斗中帮助圣徒。"
"HASH_31B79E03": "MI6 特工阿莎·奥德卡已被救回，现在登上飞船！去找她学习如何使用新武器。"
"HASH_43250F03": "大幅提升所有医疗补给的价值。"
"HASH_5EA4DA03": "选择谁去渗透统治矩阵的主机，为你铺路。挑一个你信得过的人来完成任务；一旦你回到现实世界，他们将无法再提供帮助。"
"HASH_A9AB6203": "[format][color:location]逃离[/format]监狱"
"HASH_1C94E703": "超能暴打"
"HASH_281CE803": "完成其他 12 项挑战"
"HASH_4C9F0E04": "吸血"
"HASH_9793CA04": "脱光"
