"DLC_STORE_SEASON_PASS_CATEGORY": "CONTENIDO PASE DE TEMPORADA"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] Instalado"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "Esta descarga de contenido ya está instalada y es accesible. ¿Comprar?"
"TUT_DLC_WIN": "Si quieres volver a jugar estas misiones, puedes cargar un archivo de guardado y volverán a aparecer en el menú del móvil. Seguirás teniendo acceso a todas las recompensas que hayas conseguido por haber completado las misiones con anterioridad."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Contenido de pase de temporada"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} ACELERAR \n{PLANE_BRAKE_REVERSE_IMG} FRENAR + MARCHA ATRÁS \n{PLANE_PITCH_UP_DOWN_IMG} INCLINAR\n{PLANE_LEFT_RIGHT_IMG} GIRAR\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "Esta descarga de contenido no será accesible hasta que instales el pase de temporada. ¿Descargar?"
"PLT_TITLE_COMPATIBILITY_PS3": "Tienes que usar la misma versión de Saints Row: The Third que el anfitrión para jugar partidas LAN. Aseguraos de que todo el mundo se haya descargado la última actualización del juego."
"UNL_COMMUNITY_ASSET05": "OBJETO: JERSEYS TIRO LIBRE"
"UNL_DESC_COMMUNITY_ASSET02": "Ya está disponible para usar la camiseta de Volition"
"UNL_DESC_COMMUNITY_ASSET05": "Ya están disponibles para usar los jerseys Tiro libre"
"UNL_COMMUNITY_ASSET02": "OBJETO: CAMISETA DE VOLITION"
"PLT_TITLE_COMPATIBILITY_PC": "Tienes que usar la misma versión de Saints Row: The Third para jugar juntos."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Tu compañero cooperativo no tiene las descargas de contenido necesarias para esta actividad. Ambos jugadores deben tener este contenido para jugar esta actividad de forma cooperativa."
"UNL_DESC_COMMUNITY_ASSET06": "Ya está disponible para usar la antena"
"UNL_COMMUNITY_ASSET01": "OBJETO: CAMISETA MIEMBRO DE LOS ROW"
"DLC_STORE_HINT_PURCHASE": "COMPRAR"
"UNL_COMMUNITY_ASSET06": "OBJETO: ANTENA"
"UNL_DESC_COMMUNITY_ASSET01": "Ya está disponible para usar la camiseta Miembro de los Row"
"PLT_TITLE_COMPATIBILITY_XBOX": "Tienes que usar la misma versión de Saints Row: The Third que el anfitrión para jugar partidas de Interconexión. Aseguraos de que todos se hayan descargado la última actualización del juego de Xbox Live."
"UNL_DESC_COMMUNITY_ASSET04": "Ya está disponible para usar la sudadera 3rd Street Saints"
"UNL_COMMUNITY_ASSET03": "OBJETO: SUDADERA FLEUR DE SAINTS"
"CHEAT_DISABLED_IN_COOP": "Este truco no está disponible durante las partidas cooperativas.  "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "Esta descarga de contenido ya está instalada y es accesible. ¿Descargar?"
"UNL_COMMUNITY_ASSET04": "OBJETO: SUDADERA 3RD STREET"
"UNL_DESC_COMMUNITY_ASSET03": "Ya está disponible para usar la sudadera Fleur de Saints"
"DLC_STORE_HINT_DOWNLOAD": "DESCARGAR"
"COOP_DLC_MISMATCH": "Parte de tu descarga de contenido no está disponible para tu compañero. Estará deshabilitada temporalmente."
