# TODO: Translate to Simplified Chinese
# Source: voice_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 16797

"HASH_B9F9F000": "也许待会儿吧，行吗？"
"HASH_76B71C00": "世界上最伟大的侠客需要我们的帮助，引出他的宿敌！为此，我们必须对抗那卑鄙船长的喽啰大军，引出他的副手们，直到那可怕的威胁现身！然后我们要与他展开一场天崩地裂的最终决战！"
"HASH_1377AC00": "这地方没有电灯开关？"
"HASH_ED4BBC00": "一把枪？哦。一把枪。好。"
"HASH_550D5C00": "如果二十年前有人告诉我，长大后我会从一个街头帮派一路爬上来，建立媒体帝国，当上美国总统，然后被外星人抓走，嗯……我可能会信。我小时候很好骗。"
"HASH_CC433000": "所以呢？"
"HASH_E6EE8400": "你确实很会逗姑娘开心。但我们得把塔米送到安全的地方。"
"HASH_BF50F000": "这本来不关我事，但既然你把我拉进来了，我觉得你们俩都能从对方身上学到些什么。自己体会吧。"
"HASH_7F727C00": "这玩意儿真得慢慢适应，是吧……"
"HASH_AC60C000": "等等，你们两个给我回来！"
"HASH_12E2A400": "嗯，节哀顺变。"
"HASH_09717C00": "大家，跟我来！"
"HASH_D5363800": "如果金吉的计划奏效，齐尼亚克就有得受了。我不确定我们能不能活着离开，但至少我们会战斗到底。为了地球上的人民，我们必须做到这一步。"
"HASH_8C735400": "我有话跟你说！哎哟我的脸。"
"HASH_8D762001": "金吉，她掉得太快了。"
"HASH_8A4ABC01": "哦，老天！离火太近了！"
"HASH_B6CD2001": "*叹气* 我想也是。我会……我会去跟她谈。我去。"
"HASH_39696001": "闭嘴，我得告诉你一件事：多年来我以为你死了，我把责任归咎于自己。你走后我的生活里出现了一个洞，我试图用一切能找到的东西来填……派对、性、复仇……有时候是三者的奇怪组合。"
"HASH_C49B3401": "有道理。"
"HASH_1F96B801": "二号特殊囚犯已被隔离！所有士兵立刻前往九号处理舱！干得好，各位！"
"HASH_95CD4001": "到了。"
"HASH_D1744401": "约翰尼，我跟你说——"
"HASH_6FB4B801": "呃……对……你继续搞，我帮你挡住这些混蛋。"
"HASH_D8402001": "我只是不想为此送命，马特。"
"HASH_2DECCC01": "搞定了，金吉。"
"HASH_81F5FC01": "马特，我现在去抓赛勒斯。是时候执行计划的第二阶段了。"
"HASH_94099001": "我习惯按部就班、讲究章法，跟圣徒们的作风不太合拍。他们有他们行事的方式，有时候我完全不知道他们在想什么，也不懂他们为何对那些难吃得要命的「弗里克·碧池」汉堡那么痴迷。但真到关键时刻，他们总能办成事。这很难得，而我并不轻易被打动。"
"HASH_D20C9801": "我好像记得在这儿中过枪……"
"HASH_74CA1802": "燃烧子弹？我靠。"
"HASH_66FB9C02": "齐尼亚克炸了地球，他还有资格生气？"
"HASH_66794002": "来吧，我们会找到他的。"
"HASH_95A17402": "把它弄出去！"
"HASH_3D4B1002": "我不这么觉得。"
"HASH_A4091802": "我们的出路。哦！真漂亮！我来开车！"
"HASH_CC552802": "什么坏了？"
"HASH_96EC0002": "应该够了。装好那些东西，我们就都齐了。"
"HASH_551BE002": "金吉，这是你总统下的命令。"
"HASH_A2FC0C02": "哎，什么鬼……"
"HASH_6D398C02": "约翰尼，我跟你说——"
"HASH_B322EC03": "就是他。"
"HASH_BCC9B403": "啊，三重连城。不管是在这里玩轮盘，还是撬保险柜，总是愉快的时光。"
"HASH_8FE07803": "基思！"
"HASH_2A286403": "姑娘，你得帮我一把：你根本不是在破解。这玩意儿没有手指……我他妈怎么把门弄开？"
"HASH_0EAA5003": "妈的！"
"HASH_D31C3C03": "金吉，我能跑得比人快，还能从手里射出寒冰；我早就在打破规则了。"
"HASH_1413F403": "看好钥匙。明白。"
"HASH_06A33803": "我来对付C.I.D.们！"
"HASH_018ED403": "按一下开关，然后……"
"HASH_BAC82803": "快去把其他人带到安全的地方，玩家！"
"HASH_0C653403": "什么？！你想干什么？把所有人都逼疯吗？"
"HASH_71E59C03": "齐尼亚克真打算让我在这儿买武器？"
"HASH_25A24C03": "为什么这里看起来像末日审判？"
"HASH_79E98003": "别担心马特，我会救你出去。"
"HASH_EFE4B003": "我觉得这城镇疯了，脑子里进棒子了！"
"HASH_44229403": "所以这里面可能有外星人？"
"HASH_BE235003": "我们的参赛者又撑过了一轮。"
"HASH_0AA28C03": "约翰尼·盖特是我最老的朋友也是我认识的最猛的混蛋。当菲利普·洛伦杀死他时我为他哀悼过一次。现在知道他还活着，我会穿过地狱去带他回来。"
"HASH_EFCE5004": "她只是一段程序，你知道吗。何必为她操心？"
"HASH_4EAED004": "我玩得很开心，强尼。"
"HASH_C744D004": "等我找到他，就不会不开心了。"
"HASH_BA7B8004": "纸箱？你认真的？"
"HASH_ADF96804": "那个能力激活时，你的武器就能击破典狱长的护盾了。"
"HASH_1D218404": "好吧，我再试一次你的计划，然后就帮莎蒂。那个……另一个莎蒂。"
"HASH_D349BC04": "等等，那是马罗吗？"
"HASH_3ECF0C04": "随他怎么想……他阻止不了我。"
"HASH_E5BF5004": "操，你知道我什么意思。"
"HASH_3618C404": "靠，我刚才是不是杀了她？"
"HASH_8BB0F404": "靠，下次注意别踩到脚。"
"HASH_FBD61004": "所以你现在有需要的东西了？"
"HASH_75C18804": "什么物质？"
"HASH_CD61B004": "事情怎么样了告诉我一声。"
"HASH_FD19F404": "死吧，你们这些杂种！"
"HASH_FA1EE404": "嗯。早餐闻起来真香！"
"HASH_64DA5404": "行..."
"HASH_5FC8B404": "你只是段程序，马罗。在现实世界，你已经死了。"
"HASH_1C261004": "我的。方法。行得通。"
"HASH_D446BC04": "我进入状态了！状态！"
"HASH_717DB004": "美国人民对总统偷车可不怎么看好。"
"HASH_1C559804": "现在别逗我了。"
"HASH_4CB74005": "丘比特的箭是残酷的，C.I.D.。"
"HASH_4C56BC05": "到底要干什么？嗯？用虚张声势吓死我吗？"
"HASH_BA982C05": "金吉，她掉得太快了。"
"HASH_E16EE805": "金吉没事吧？"
"HASH_C019F005": "这不是为了你的帝国，是为了地球的人民。"
"HASH_7CC77805": "谢谢。现在……该准备逃出去了。"
"HASH_20BB7805": "金吉，有敌人来了！"
"HASH_81156005": "哦。看，金吉，这样一说得确挺好玩的。"
"HASH_7580C005": "来吧，你这漂亮的怪物。"
"HASH_13A92005": "你们这群蠢货惹错了总统！"
"HASH_84124405": "哦，他在激怒我。"
"HASH_249C8805": "啊，见鬼！"
"HASH_DF9FD005": "我干掉了三个中继器。就这样了吧？"
"HASH_0DBA7405": "把那猫人放出来吧……"
"HASH_BA1D4C05": "去C.I.D.那儿！他过热了！"
"HASH_3E414C05": "一点都不难。"
"HASH_B8701C05": "我想我也不是很急……做什么都不急。嘿！"
"HASH_EAA30005": "好。但我是不是该跑起来？"
"HASH_FEF4BC05": "感到有点竞争了，约翰尼？"
"HASH_25DABC05": "逮到你了！"
"HASH_75CDC805": "等等，这可不是我心灵能力的升级。"
"HASH_CD5FE006": "希望你可别。"
"HASH_D427E806": "哦，我要把你钉在壁炉上，你这外星狗杂种。"
"HASH_08D1B406": "好，现在——真的是时候吗？"
"HASH_39957806": "塞浦路斯教团是一群勇敢的战士，在与黑暗生物进行秘密战争。"
"HASH_A1884006": "哦操！马特快退！"
"HASH_56376406": "杀人机器人不登场，派对就不算正式开。"
"HASH_B4833806": "删除"
"HASH_A6B0F806": "我要把你掰断，你这狗娘养的……"
"HASH_60998806": "现在雕像还有名字了？"
"HASH_53F89006": "哇，等等。你救基思·戴维在我之前？"
"HASH_9D0B7C06": "一个死海盗和一只黑鹦鹉？"
"HASH_B2638C06": "哦，甜蜜的、甜蜜的机器人……我永远不会放开你……"
"HASH_87701006": "命运不过如此……"
"HASH_16EF7406": "天哪，多好的梦。"
"HASH_20771806": "那鱼——？求你别岔开话题。"
"HASH_50C01407": "有一个条件。"
"HASH_5E806807": "你说什么就是什么，莎蒂。"
"HASH_C4EF1C07": "找到了！找到放病毒的地方了。过去，保护上传。"
"HASH_A574A807": "哦，当然，因为挨枪子的可是我。"
"HASH_BBBFDC07": "你有地方让我试试这个吗？"
"HASH_6D210007": "马修，小心……"
"HASH_9F438807": "这个问题你应该问你自己，齐尼亚克。"
"HASH_C8156407": "马特！别在那儿瞎忙了！"
"HASH_D0545007": "闭嘴！"
"HASH_267B8C07": "你什么时候有时间搞明白这个的？"
"HASH_CEE00007": "来吧，挺可爱的。"
"HASH_21A51407": "该死。我来了，本！"
"HASH_894D8407": "实际上，新闻秘书小姐，那是我来这里之后你提过的最棒的建议了。"
"HASH_F674D007": "快！我被抓起来了，被……"
"HASH_F590B807": "我要射那根导管！"
"HASH_4D8E3807": "熄灯。"
"HASH_FB6B4C07": "有道理。"
"HASH_6E8BB807": "我可是享有第二修正案赋予的权利。"
"HASH_7FCA2807": "约翰尼，你最好没事……"
"HASH_3F200007": "所以我们现在是朋友了？"
"HASH_F9BE4C07": "他们？"
"HASH_33CEF007": "保罗？你叫它保罗？！"
"HASH_F3996C08": "这算什么？！我是在战斗还是开街区派对？"
"HASH_BCE93808": "死吧，吉祥物们，死吧！"
"HASH_B4FF1408": "说真的，这是谁的军队？"
"HASH_2757D808": "我们快到了。"
"HASH_2D1F6008": "三个臭皮匠赛过诸葛亮，金吉。安排吧。"
"HASH_430E7C08": "金吉，门卡住了……"
"HASH_CD07D808": "现在去哪儿？"
"HASH_D3CE6808": "这可比「海军一号」酷多了"
"HASH_6156C408": "这个问题你该问问你自己。"
"HASH_9172D808": "慢点。你打算去哪儿？"
"HASH_A9F0E408": "那你是怎么出来的？"
"HASH_34F9F808": "选哪个有区别吗？"
"HASH_0EC95808": "相信我，那不是个好主意。"
"HASH_4C87A408": "他把塔变得刀枪不入了！等一下，我找个变通的办法。"
"HASH_D2F4E808": "天哪。快点……"
"HASH_2646D808": "金吉，你不能让他闭嘴吗？"
"HASH_D0843C08": "*叹气* 金吉，别说话了。"
"HASH_F6186408": "嗯，嘿，泳池甲板上总还有火箭筒。"
"HASH_CD8DE408": "那么，「夜刃」。还有什么？女朋友，意中人……？"
"HASH_97CC4C08": "不，我真心想知道。"
"HASH_26AB3408": "别担心，我会去的，废话连篇！操。"
"HASH_EE3F5409": "猛按按钮，然后……"
"HASH_1E861409": "去大反派路上被伏击了。干得好，马特，冲突节奏把握得很好。"
"HASH_4F324009": "哇！"
"HASH_8CE0E409": "盯紧目标！"
"HASH_3D99DC09": "所以你跟过去的你谈过了？"
"HASH_D91B7009": "太对了，当然……我来的时候还只是孩子。那时我害怕得都不敢开口说话。"
"HASH_04400409": "然后是齐尼亚克。他把我从车库里掳走，以为我知道怎么阻止圣徒。他该先做点调研才对，不过我想他忙着征服地球吧。我从统治矩阵里逃出来，结果发现自己被困在他那该死的飞船上。至少现在有老大帮我了。我觉得我们真有机会回家。"
"HASH_67BBFC09": "哦，我给他准备了特别的。"
"HASH_F5714809": "嗯……"
"HASH_83C40C09": "这儿有人要挑战王位啊！"
"HASH_68F7D409": "*挣扎*"
"HASH_01753009": "嗯，在他失心之前，他是我的副总统。"
"HASH_21D6BC09": "没人能替代你，约翰尼。"
"HASH_F6B7C009": "瞄准吉祥物！"
"HASH_D96BA809": "删除"
"HASH_CD7AC809": "对，我干了。那又怎么了？"
"HASH_3372A009": "这一拳献给山姆大叔！"
"HASH_5DC36409": "你能飞，C.I.D.。"
"HASH_3EC44809": "为什么我要*两颗*子弹打那些灯，而我可以只用*一颗*打那个守卫？"
"HASH_4B36C009": "你以为白宫整个被毁了吗？"
"HASH_5A594409": "我来了，约翰尼！"
"HASH_8C054809": "行，但我最好能从中得到什么。"
"HASH_3AB76009": "删除"
"HASH_5D27D009": "唉，开枪吧。"
"HASH_FB8FEC09": "金吉在哪，基思？"
"HASH_090E5009": "一般不会，不。"
"HASH_50F4AC09": "别急，别急。没那么快。"
"HASH_67E12409": "哦操！马特快退！"
"HASH_8FE69409": "你对整件事出奇地冷静，金吉。我以为你会追着我说没有这些你的钥匙就不工作，我最好别搞砸，吧啦吧啦吧啦。"
"HASH_56678409": "对付谁？"
"HASH_F38A2009": "哇哦，别急！对不起！你只要告诉我怎么出去就行。"
"HASH_5AE0EC0A": "说实话，我对他的精神投影可能有点偏差。"
"HASH_958C500A": "进去，现在！"
"HASH_D84CFC0A": "很高兴本回来了。我真的很期待他的下一本书。"
"HASH_33306C0A": "我唯一需要的优势已经在我的体内了。"
"HASH_9CC73C0A": "现在别太得意忘形。"
"HASH_4EC0000A": "不过说实话，我更担心金吉把你的传送门连上之后，我们会看到什么。"
"HASH_47E68C0A": "别这样，基思！"
"HASH_F978D40A": "我把你的屁股从监狱里捞出来了，马特，你至少能帮忙保护飞船吧！"
"HASH_0165B00A": "干得漂亮，阿莎。真漂亮。"
"HASH_6BAAE00A": "我不是批评，只是说说。"
"HASH_639DD80A": "阿莎，我差不多算个超级英雄了。你扔什么都接得住。"
"HASH_05FF840A": "怪癖？怪癖我能理解。但这是？"
"HASH_64B3240A": "我确实喜欢新武器。"
"HASH_266CC00A": "充满电了。接下来呢？"
"HASH_26DA540A": "是啊，那是什么？"
"HASH_7FAFF00A": "我们离开这儿。"
"HASH_4702280A": "齐尼亚克？啊，糟了。"
"HASH_6DB0E00A": "那是好事，对吧？就像真的很棒？说真心话。"
"HASH_A4FF940A": "该死！"
"HASH_379B040B": "本，你没事吧？"
"HASH_A563E00B": "如果莎蒂留下、盖特活着就好了。她除了整天抱怨也没做什么有用的事。"
"HASH_F098540B": "怎么回事……到底发生了什么？"
"HASH_3704900B": "这个噩梦境除了打灯和打蠢守卫还有别的吗？"
"HASH_A399A80B": "最重要的是，这是为了我自己。"
"HASH_08FDAC0B": "嗯，你好呀……"
"HASH_8003FC0B": "哇，我们现在要砸皮纳塔了吗？"
"HASH_F956640B": "C.I.D.，护盾弄得怎么样了？"
"HASH_948CFC0B": "就是在这架飞机上，莎蒂和我失去了我们最好的朋友。约翰尼·盖特协助创立了圣徒，莎蒂加入后一直把他当偶像。他为了救我们牺牲了自己。现在我要我们的朋友回来。"
"HASH_E05CB00B": "*挣扎*"
"HASH_EE68C80B": "等等，认真的？"
"HASH_581FC40B": "哦，我给他准备了特别的。"
"HASH_CA048C0B": "你他妈认真的？"
"HASH_5A17E40B": "小心，保罗来了！"
"HASH_1FDDAC0B": "靠。那是什么？"
"HASH_F527800B": "删除"
"HASH_5C70B80C": "听起来不错。"
"HASH_BF46C00C": "对..."
"HASH_AA1FA80C": "赛勒斯嘴里那些性别歧视的废话是什么？"
"HASH_7DCFF40C": "你会在公园里找到她的，本。"
"HASH_81FA980C": "该死。它——它在干什么，金吉？"
"HASH_D000F80C": "来吧，本，告诉我你没事。"
"HASH_A79C440C": "删除"
"HASH_BCB4700C": "你把它炸了！"
"HASH_FF80BC0C": "哦，有道理。"
"HASH_3533280C": "那是一张我以为永远见不到的脸。"
"HASH_C7B2A40C": "天哪，你和金吉都是满嘴技术黑话……"
"HASH_B5A29C0C": "我相信你会干得……不错的。"
"HASH_7E08200C": "你真觉得我能编出那种东西？"
"HASH_58FEB80C": "我得先打灯再打他。明白了。"
"HASH_59E4D00C": "你跟这帮人处得来吗？"
"HASH_A5660C0C": "好，我喜欢这说法。你需要什么？"
"HASH_7AFCBC0C": "谁活谁死？"
"HASH_01D1BC0D": "哦，你不喜欢那样，对吧？"
"HASH_4C35280D": "我们收到了威胁，先生。我们需要你远离此地。"
"HASH_ABA0B40D": "不，夫人。"
"HASH_11DB000D": "我相当确定金吉在某个地方存了她的备份。"
"HASH_6AB7C40D": "代码像模拟的代码？做什么的？"
"HASH_3EF95C0D": "谢了提前告诉我，而不是等我偷了他们的装置跑到所谓安全的地方之后。"
"HASH_0F1D500D": "呃……嗨……"
"HASH_6335200D": "好像那能拦住我似的。"
"HASH_5E0B080D": "我得先打灯再打他。明白了。"
"HASH_1BC36C0D": "那我们能聊聊你为什么又要杀我吗？"
"HASH_FFD7C80E": "那我们能聊聊你为什么又要杀我吗？"
"HASH_9DD07C0E": "我们该走了。"
"HASH_D9C7B80E": "好，别。"
"HASH_194EF00E": "你最好相信我们先杀了那个家伙。不过在那之后……"
"HASH_0FD1640E": "我想我知道该怎么打败保罗了。"
"HASH_C1776C0E": "你为什么要帮我，你怎么知道我是谁？"
"HASH_625ED80E": "齐尼亚克有个老程序喜欢在城里跑来跑去。要我说，你去把它干掉。"
"HASH_A7B69C0E": "那是我的！"
"HASH_F2AA8C0E": "你真不需要告诉我那个，金吉，但谢了。"
"HASH_97FA440E": "盖特，你在吗？"
"HASH_0A5B180E": "我要终结你，圣徒！这次彻底了结！"
"HASH_FF2C700E": "你能应付他们吗？"
"HASH_0942600E": "老兄，他们真的很不待见你。别把自己搞死了，行吗？我可不想让金吉跟我翻脸。"
"HASH_38C2E00E": "金吉，你手上是什么钥匙？我的可不是拼装的。"
"HASH_9026E00F": "起来吧！"
"HASH_0FAC580F": "你真以为存在一个我说了不算的地方？"
"HASH_5667300F": "这叫天赋，马特。那可不是病毒，是我天生的本事。"
"HASH_5616D40F": "纸箱？你认真的？"
"HASH_8F8DE80F": "我做了一扇门，能让你的意识离开模拟、回到身体里。朝它走。"
"HASH_87A06C0F": "妈的，这家伙真难缠……"
"HASH_91E5680F": "哎呀，瞧瞧。他来了。嘿，他怎么年轻这么多，而且……没穿制服。"
"HASH_78E4900F": "哈！我搞定他了！"
"HASH_E3E7540F": "想得美——！"
"HASH_9AD6C80F": "别得寸进尺。"
"HASH_FD73C00F": "嘿，马埃罗，杰西卡怎么样？"
"HASH_314C1C0F": "你真要抛下——"
"HASH_31E1580F": "亲爱的，你是不是故意想让我挨枪子？"
"HASH_C75C5C0F": "已经不是了。我们已经没什么共同点了。"
"HASH_2321340F": "我开玩笑的！"
"HASH_E961E410": "行吧，我再给你的计划一次机会，完事就去帮莎蒂。呃，那个，另一个莎蒂。"
"HASH_FB3A7410": "你他妈在逗我？"
"HASH_BFD2B010": "哦，想都别想！"
"HASH_F1983410": "现在雕像还有名字了？"
"HASH_AC796010": "不一样？怎么个不一样法？"
"HASH_BCA72410": "你不上？"
"HASH_D91E7C10": "哈！你们这群混蛋惹错总统了！"
"HASH_0F5E9810": "门也不错。"
"HASH_80FDB810": "现在没人来救你了。"
"HASH_CC70F410": "算了，当我没说，你又在胡言乱语了。"
"HASH_9FBA7410": "所以我只要用力踩一脚就行？"
