"HASH_1B09B600": "A doprdele."
"HASH_03BA1600": "Jako co?"
"HASH_D8321800": "Skvělý."
"HASH_4BF60000": "Tak co pro mě máš?"
"BMPLAYER_ESCORT_SUBURBS_3": "Žádný holky rovná se žádná práce."
"RICHIE_DRUG_AIRPORT_1": "Nazdar. Bratranec Tobias říkal, že by ti bodla trocha prachů."
"HASH_AD5F4A01": "Skvělý."
"WFPLAYER_SNATCH_DTOWN_2": "Jak se ti vede?"
"BFPLAYER_DERBY_ARENA_2": "Kdo si sakra myslíš, že j-"
"HASH_D0E62601": "Díky, Carlosi."
"HASH_48883801": "Tak odsud vypadnem."
"HASH_15AF0C01": "Jsi v pořádku?"
"HASH_555ECA01": "Sbohem, Maero."
"HASH_63472401": "Tak sakra táhni k čertu, koupím to od nich. Kde je najdu?"
"HASH_E4EE8E01": "Shaun-di! Shaun-di! Shaun-di! Shaun-di!"
"HASH_5C4CD202": "Co má být s vězením?"
"HASH_800F0A02": "Jo..."
"HASH_76FA2C02": "Nechápej to špatně, mám svoji práci rád, to jen... že jsem si tak lámal hlavu s posláním zprávy Maerovi, že jsem se Jessicy ani nezeptal na zásilku"
"HASH_D45CD402": "Ty jsi Maero?"
"BMPLAYER_HIJACKING_FACTORIES_6": "Evidentně se mejlíš."
"BMPLAYER_DRUG_HOTELS_1": "Luz? Co ty tady děláš? Myslel jsem, že Kolumbijci pošlou svýho člověka..."
"HASH_70124402": "Hej!"
"HASH_F5625803": "Jo..."
"HASH_29218003": "Co má být s vězením?"
"HASH_84BE4803": "Co se sakra děje?"
"HASH_81E4A403": "Moc se nevzrušuj, pitomče, Gat bude zpátky co nevidět."
"HASH_62A75203": "Co jsi kurva za-"
"HASH_68E9B203": "Tak bylas v těch docích, jak jsem chtěl?"
"HASH_3A7F3803": "No, víš, já myslela, že by to mohlo být fajn."
"HASH_DA70A803": "Si děláš prdel, co?"
"HASH_156B8A03": "Odpusť, Shogo."
"HASH_CB509804": "Rád jsem tě poznal."
"HASH_49DF3404": "Tak si řekni tatíkovi."
"HASH_CB368804": "No, tak trochu je zabásli poldové."
"HASH_5A22BA04": "Neblbni, víc fakt nevím!"
"HASH_C6220E04": "Hej, Raveli, potřebujeme někam hodit."
"HASH_E40CDA05": "Co je?"
"HASH_46AA2205": "Neviděl jsi mě od tý doby, co mě tvůj šéf střelil a nacpal do kufru auta, a ty se teď nezmůžeš na nic lepšího než \"A kurva?\""
"HASH_74C69205": "Počkat, jsou ochotní za-"
"HASH_0C14A405": "Chyba. Už jsem pochopil, že mít zodpovědnost je lepší než být kurva, co akorát drží hubu a krok."
"BMPLAYER_SWEEP_REDLIGHT_3": "Co chceš?"
"HASH_D69D8405": "Co na tom záleží, když mě stejně zabiješ?"
"HASH_F2A92E06": "Myslím, že tě za pár vteřin odkrágluju a bude mi to úplně u prdele."
"HASH_B92FFC06": "Co je kurva zač ten Akudži?"
"HASH_BC6A6206": "Křičí."
"LEE_FUZZ_PROJECTS_2": "Napadlo mě, že kdyby ses dostal do tý policajtský show Velký poliš, mohli bysme světu ukázat tu stránku naší milé policie, která není právě \"vhodná pro hlavní vysílací čas\"."
"HASH_00C47A07": "Vůbec nic o tom nevíš."
"WFPLAYER_FRAUD_MUSEUM_4": "Říkal jsi, že chceš léčit další pacienty, tak jsem si myslel, že chceš, abych pár lidem ublížil."
"HASH_05F72C07": "Že jsem to tady už vybral, neznamená, že můžeš mít takový blbý kecy."
"HASH_1E973007": "Je fajn, že se vám líbí ty nový krámy, který nám Bratrstvo věnovalo."
"HASH_87C47C07": "Protože tě za chvíli zabiju, tak je mi to vlastně úplně jedno."
"WMPLAYER_TORCH_APTS_2": "Tak co je za problém?"
"HASH_7F2DBA07": "Nelam si s tím hlavu, Pierci, postaráme se o to."
"HMPLAYER_FUZZ_PROJ_5": "Díky že nehodnotíš moji práci."
"VINNIE_CROWDCONT_HOTELS_7": "Tak třeba: \"Děvka z Dunwitche\" s D.P. Lovecrackovou, \"Škola bukkake 31\" s Abby Hamhersteinovou, \"Muži v černém... ženském těle\" s Anoop \"Indiánským kladivem\" Shekarovou..."
"WFPLAYER_SWEEP_REDLIGHT_3": "Co chceš?"
"HASH_2F804E08": "Zůstaň na místě, hned tam budu."
"HASH_2DEF6A08": "Doprdele..."
"HASH_039D6A08": "Všichni poslouchejte, musíme probrat pár zatraceně důležitých věcí. Stilwater patřil kdysi Svatým a vypadá to, že já s Gatem jsme jediný, co se na to pamatujou. Řekl bych, že je čas, abysme ostatním dali budíček."
"HASH_A9DFBA08": "Tak bylas v těch docích, jak jsem chtěl?"
"HASH_8E7AFA08": "To čéče nevím."
"HASH_1614E408": "Vyber si."
"HASH_A21CF608": "Opravdu?"
"HASH_7ADF8608": "Musím zachránit Eeshu."
"HASH_2B86DA08": "Ne, myslím, že to je tvůj problém."
"HASH_7959A008": "Je mi líto, že pro tebe nemám něco víc."
"HASH_5AED1C09": "Zůstaň na místě, hned tam budu."
"WFPLAYER_ESCORT_REDLIGHT_4": "Žádný partneři, jenom vozím tvý děvky."
"HASH_1FC60809": "Zmiz odsud, Vogele."
"HFPLAYER_SWEEP_SUBURBS_1": "Co chceš, abych s tím udělal?"
"HASH_CD281609": "Jak se máš?"
"HASH_156ADC09": "Ty jsi Maero?"
"HASH_0A3F1C09": "To svatí, ti -"
"HASH_20560409": "Budeš na mě hrdý, otče, dokončím, co začal Jyunichi, zabiju Gata a-"
"HASH_D6E3B409": "Chci ti pomoct."
"HASH_92702009": "Vítám vás v dnešním vydání našeho diskusního pořadu. Se mnou tu dnes sedí člověk, který pro naši komunitu udělal spoustu skvělých věcí. Prosím potlesk pro pana Danea Vogela."
"HASH_CDB89E09": "Čím? Že jsi tady, nebo že mluvíš?"
"HASH_AB7D560A": "Ten chlap, co vede záležitosti okolo výpalného pro Bratrstvo, je majitelem hotelu Pagoda. Zastraš ho a dál už to půjde rychle.\n6000"
"HASH_170B360A": "Tohle není vhodná chvíle se nasrat."
"HASH_57C5040A": "Ježíši, kdy se tohle stalo?"
"HMPLAYER_SNATCH_DTOWN_7": "Když seženeš prachy, tak určitě."
"HASH_5D041A0A": "Nestýkám se s lidma, co ještě nemůžou ani na nepřístupnej film."
"HASH_405E540A": "To sis měl napřed rozmyslet, než jsi poslal svý lidi, aby zlikvidovali můj gang."
"HASH_B88F220A": "Když byl mladší, zabil psa pana Wonga."
"HASH_923BFE0A": "Nemusíš mě opečo-"
"HASH_4BF7560A": "*mluví japonsky*"
"WFDR_INSFRAUD_MUSEUM_2": "Však víš, dostat se v medicíně nahoru je pro ženu těžký boj, ať už se o tom tvrdí cokoliv."
"HASH_6266640B": "Tohle není vhodná chvíle se nasrat..."
"HASH_2866F00B": "Snažim se, ale co kurva vůbec chceš."
"HMPLAYER_SNATCH_CTOWN_2": "Wu, nemůžeš zavřít masážní salon, je to důležitá stilwaterská památka. Chodím sem už od střední."
"HASH_8499340B": "K tomu se dostanu až hodně pozdějc."
"HASH_8BC3240B": "Jo."
"HASH_8AC0080B": "Tak co pro mě máš?"
"ARCH_CC_SUBURBS_3": "Zábavní průmysl a gangy jdou ruku v ruce... Pamatujete, jak ti motorkáři pracovali jako ochranka v Altamontu? Tehdy to fungovalo a teď to bude fungovat znovu. Mám spoustu talentovaných lidí zralých pro červený koberec a chci se ujistit, že mi moje investice nepoškodí nějací šílení fanoušci. Nechci, aby někdo natáhl bačkory, ale ztřískat pár puberťáků mi přijde naprosto v pořádku."
"HASH_BA90060C": "Co kurva říkáš?"
"HASH_9F99CE0C": "Co tím myslíš?"
"HASH_DFA1380C": "Je fajn, že se vám líbí ty nový krámy, který nám Bratrstvo věnovalo."
"HASH_5D266A0C": "Pak bude mnohem zajímavější ho zabít."
"HMPLAYER_FRAUD_MUSEUM_1": "Tak co je to za záležitost, o který si mluvil?"
"HMPLAYER_FUZZ_SUBURBS_5": "Jo, pomůžu ti."
"HASH_4075CE0C": "Celý roky - už je to dávno, co jsem ztratil stopu."
"HASH_36AB340C": "Tady budeme muset souhlasit, nebo nesouhlasit."
"HASH_16A0B80C": "Tak už víš, co je v tom sametovým prášku?"
"HASH_FBF6020C": "Johnny, je to pa-"
"HASH_E985880D": "Vypadá to, že papá Akudži neměl moc velkou radost z toho, co se stalo v Poseidónově paláci. Roninové si prý zřídili hráčské doupě v základech rekreačního střediska Marshalla Winslowa, tak jsem tam poslal jednoho člověka, aby to tam proklepnul. Čekal jsem nějakou díru, kde bude pár zasraných karbaníků hrát poker, jenže Akudži tam zřídil plně funkční podzemní kasino. Věčná škoda, že mu ho teďka vybereme."
"WFPLAYER_ESCORT_SUBURBS_3": "Žádný holky, žádná práce."
"BFPLAYER_ESCORT_REDLIGHT_2": "Mluv dál."
"HASH_284B380D": "O to zajímavější ho bude zabít..."
"HASH_4235800D": "Jasně."
"HASH_5CCDC40D": "Ani za nic."
"HASH_C32E460D": "Kurva, já ne-"
"HASH_4C85FC0D": "No jasně."
"HASH_879C2A0E": "Neviděl jsi mě od tý doby, co mě tvůj šéf střelil a nacpal do kufru auta, a ty se teď nezmůžeš na nic lepšího než \"A kurva?\""
"HFPLAYER_DRUG_HOTELS_5": "Našel si někoho mladšího, co?"
"HASH_8224F60E": "To nebude problém."
