# TODO: Translate to Simplified Chinese
# Source: dlc4_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 40

"HASH_4A6DF200": "发射飞刀并使目标持续流血受伤。"
"HASH_9D09FA60": "以绝对火力实现和平"
"HASH_454E3521": "\"你是要动手，还是就站那流血？\""
"HASH_192C4F61": "盖特V包"
"HASH_0504D263": "为什么要带刀去枪战？刀枪都有不更好！撕裂者能让目标持续流血。已放入你的武器库。"
"HASH_33062483": "为什么要打很多子弹，不如下大口径子弹？\n\n重炮枪"
"cm_suit_aisha": "艾莎套装"
"HASH_61479784": "一枪治百病"
"cm_eyes_jgat": "盖特墨镜"
"HASH_DC03C706": "让他们知道你是个狠角色。\n\n泵动式霰弹枪、快射手枪"
"HASH_AB04B287": "来自约翰尼的礼物"
"HASH_311C6B48": "枪手"
"HASH_42042108": "重型机枪"
"cm_suit_western": "无名氏套装"
"cm_hair_johnnygat": "盖特头"
"HASH_5C17ECE9": "枪手说明"
"HASH_51B1BD4B": "以绝对火力实现和平"
"HASH_31DF222C": "约翰尼亲自命名的"
"cm_suit_saloonbarista": "野店女郎"
"HASH_91E9C62E": "重机枪武器皮肤"
"HASH_7CC1340F": "枪手包"
"HASH_326FB3EF": "重型冲击"
"HASH_50920031": "武器 - 飞刀枪"
"HASH_1FFB2052": "掷刀者"
"HASH_CA5031B2": "盖特V"
"HASH_C89F2832": "雷诺兹.50"
"HASH_10D8E773": "墓碑特供"
"HASH_4CBA9D33": "盖特的衣服、盖特的发型，还有一把超酷的飞刀枪。盖特味十足！不过约翰尼要是知道我们造了这个词会杀了我们的。"
"HASH_524CC193": "盖特V说明"
"HASH_89951554": "枪手武器皮肤"
"HASH_FE9260D5": "飞刀弹药无限了。飞刀这东西，多多益善。"
"HASH_34D145D6": "荒野牛仔"
"HASH_04276F19": "雷诺兹.50重机枪"
"HASH_1792F35A": "更大、更慢、更强"
"cm_hat_westernhat": "无名帽"
"cm_suit_jgat": "盖特套装"
"HASH_2957E65D": "有了这些武器皮肤和服装，你看上去就是个狠角色。没错。"
"HASH_67F961BD": "子弹打得更狠了，每发子弹都会产生小型动能爆炸，进一步增加伤害。"
"cm_hat_aisha": "艾莎帽"
"HASH_6449F07E": "撕裂者"
