"MENU_LEFT_MOUSE": "Linkermuisknop"
"MENU_CATEGORY_GENERAL": "ALGEMEEN"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "AUTO-DETECT"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Content wordt opgeslagen. Even geduld."
"PC_ZONE_TYPE_HINT": "SCHERPE OVERGANG NAAR EEN NIEUWE CAMERA OF OVERVLOEIEN VAN DE VORIGE ZONE"
"PC_EXPORT_LOCK_HINT": "ZET DE CAMERABEWEGING VAST IN DEZE CAMERAZONE"
"PC_CHARACTER_MODEL": "PERSONAGEMODEL"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "KAART TONEN"
"PCACTION_SPRINT": "SPRINTEN"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "STEL IN DAT DE RADIO AANGAAT WANNEER JE EEN VOERTUIG INSTAPT"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} TAUNT \n{TAUNT_THREE_IMG} COMPLIMENT MAKEN \nCommuniceer met mensen en verdien respect door gangleden te beledigen en te vermoorden."
"CBA_VDC_HELI_DOWN": "   NAAR BENEDEN"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "GEBRUIKEN BIJ OMHOOG"
"PC_ENABLE": "AANZETTEN"
"MENU_CATEGORY_PLANE": "VLIEGTUIG"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   WAPEN SLOT 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   NAAR RECHTS ROLLEN"
"MENU_MEDIUM": "GEMIDDELD"
"PLT_MENU_WIDESCREEN": "WIDESCREEN"
"PC_CA_CANCEL": "ANNULEREN"
"PC_TOD_AFTERNOON": "MIDDAG"
"PC_W_RAINY": "REGENACHTIG"
"PC_WEATHER": "WEER"
"PC_CM_TRACKING": "TRACKING"
"PC_CM_FOLLOW_WATCH": "VOLG SPELER"
"PC_REWIND_HINT": "HERLADEN EN TERUGSPOELEN NAAR BEGIN"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "MEDIAZENDWAGEN VERNIETIGD!\nZORG DAT JE IN DE BUURT KOMT EN MIK OP HET BUSJE MET DE CAMERA."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   LINKS"
"PLT_MENU_PAUSE_FOCUS": "PAUZEER BIJ FOCUS VERLIES"
"PC_DOF_NORMAL": "NORMAAL"
"PC_CAMERA_UNLOCKED": "CAMERA VRIJ"
"DPAD_UP_TXT": "DE A-KNOP"
"PCACTION_WEAPON_4": "WAPEN 4"
"HASH_AEB9EE85": "GOG matchmaking heeft geen spellen gevonden waarmee je een verbinding kunt maken."
"MENU_CAMERA_SMART": "SMART"
"PC_RECORD_VIDEO": "VIDEO OPNEMEN"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Je online verbinding is verbroken."
"MENU_MOUSE_WHEEL_DOWN": "Muiswiel omlaag"
"MENU_MOUSE_BUTTON_5": "Muis 5"
"MENU_CONTROLLER_SCHEMES": "BESTURINGSKAART"
"PLT_MENU_DISPLAY_MODE": "WEERGAVEMODUS"
"PCACTION_RADIO_NEXT": "VOLGENDE RADIO"
"PC_RECORD_MODE_PROGRESS": "VIDEO OPSLAAN: %d%%%% COMPLEET"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Dit conflicteert met de volgende acties, die automatisch ongedaan worden gemaakt:"
"MENU_STEAM_STORE": "STEAM STORE"
"CBA_GAC_TAKE_SCREENSHOT": "   COMMUNITY SCHERMFOTO"
"PLT_MENU_HIGH_DX10_ONLY": "HOOG (DX10 OF HOGER)"
"PC_EXIT_EXPLANATION": "Videoclipeditor verlaten? Niet-opgeslagen wijzigingen gaan verloren."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "GEZELSCHAP NAAR HUIS STUREN"
"PLT_MENU_APPLY": "TOEPASSEN"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} GAS GEVEN \n{BRAKE_REVERSE_IMG} REMMEN + ACHTERUIT \nGebruik {LEAN_BACK_IMG} om je gewicht te verplaatsen om wheelies te doen en {LEAN_FORWARD_IMG} om stoppies te doen."
"CBA_MENU_PC_PUSH_TO_TALK": "   INDRUKKEN OM TE PRATEN"
"CBA_OFC_WALK": "   LOOP (DRUK IN)"
"CBA_OFC_TAUNT_THREE": "   COMPLIMENT"
"CBA_VDC_TANK_FIRE_SECONDARY": "   WAPEN 2 AFVUREN"
"COOP_JOIN_CHEAT": "De partner waar je mee samenwerkt, gebruikt cheats. Bij alle nieuwe opgeslagen spellen zullen de cheats ingeschakeld zijn.\nAutomatisch opslaan is uitgeschakeld en je kunt geen Prestaties meer verdienen."
"PC_TOD_DEFAULT": "STANDAARD"
"PC_CAM_MODE": "CAMERAMODUS"
"PAUSE_MENU_RECORD_MODE": "CINEMA CLIPS OPNEMEN"
"GAME_PROFILE_SAVING": "Opslaan. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   WAPEN 2 AFVUREN"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN-LOBBY"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Content wordt geladen. Even geduld."
"PC_ADVANCED_MODE_HINT": "MEER GEAVANCEERDE EDITTECHNIEKEN TOESTAAN"
"BTN_LTRIGGER_TXT": "DE A-KNOP"
"BTN_WHITE_TXT": "DE A-KNOP"
"PCACTION_JUMP": "SPRINGEN"
"HASH_D889CE89": "RESOLUTIE KIEZEN"
"HASH_70DB6EC9": "ONLINE"
