"You enjoy this, yes?": "你很享受，是吧？";
"You ever been good at lying under pressure?": "你在重压下撒谎的技术一直很行吗？";
"You ever been to one of these clubs?": "你去过这种夜店吗？";
"You ever driven a motorcycle before?": "你以前开过摩托车吗？";
"You ever managed a Planet Saints?": "你经营过圣徒星球？";
"You ever seen this tech before?": "你以前见过这种技术吗？";
"You ever stop running that flap of yours?": "你那张嘴就不能消停会儿？";
"You expect me to come alone?": "你指望我一个人来？";
"You expect to defeat me with that thing?": "你就指望拿那玩意儿打败我？";
"You expected something else?": "你还指望别的？";
"You feel like blowing shit up?": "想不想炸点什么？";
"You feel up to one more?": "还撑得住再来一发吗？";
"You feelin' lucky today, you scumbag Saint?": "今天手气不错吧，圣徒人渣？";
"You feeling OK, Moto?": "你还好吗，Moto？";
"You figure out the Deckers then?": "你把赛博帮的事查清楚了？";
"You fired on the city, Cyrus.  I came here to stop you.": "你朝全城开了火，赛勒斯。我是来阻止你的。";
"You flash a little skin, we can probably get into anywhere in the city.": "你稍微露点肉，咱们在这城里哪儿都能进。";
"You focus on that, I'll take care of any guests.": "你专心那个，客人交给我。";
"You forget we're here for Loren?": "忘了我们是冲洛伦来的？";
"You found the fed yet?": "你找到那个条子了吗？";
"You free later for a little quality time with the Z?": "你待会儿有空跟Z哥来点高质量时光吗？";
"You fucking kidding me?!  I don't have time for this shit.": "你他妈逗我呢？！我没空陪你们扯淡。";
"You get all these toys from your FBI days?": "这些玩具都是你FBI时期弄的？";
"You get no argument from me.": "我毫无异议。";
"You get what you needed?": "你要的东西拿到了吗？";
"You getting close enough?": "你靠得够近了吗？";
"You give me too much credit.": "你太抬举我了。";
"You give them a bigger cut, then?": "那你给他们分成更多？";
"You going to let these little men scare you away?": "你打算让这些小矮子把你吓退？";
"You gonna backseat drive the whole time?": "你要全程坐在后排指挥？";
"You gonna comment on everything I do?": "我要做什么你都要点评一句？";
"You gonna criticize everything I do?": "我干什么你都要挑刺？";
"You gonna disarm them?": "你要解除他们的武装？";
"You gonna explain this shit, Pierce?": "你打算解释一下这破事吗，皮尔斯？";
"You gonna hit these assholes?": "你要去揍那些混蛋？";
"You gonna keep talking, or you gonna fight?": "你是打算继续说，还是开打？";
"You gonna make it, Angel?": "你撑得住吗，安吉尔？";
"You gonna pick up that big fuckin' gun, or what?": "你是要拿起那把大得要命的枪，还是怎么着？";
"You gonna quit complaining?": "你能不能别抱怨了？";
"You gonna quit your bitchin'?": "你能不能别再牢骚了？";
"You gonna tell Cornell how you feel?": "你要不要告诉康奈尔你的感受？";
"You gonna tell me you built this too?": "你该不会告诉我这也是你造的？";
"You gonna waste any more time?": "你还想再浪费时间吗？";
"You good for another take?": "还能再拍一条吗？";
"You good now?  Sure you don't need a drink?": "现在好点了吗？确定不用来杯喝的？";
"You got a history?": "你们有过往？";
"You got a safehouse for 'em or somethin'?": "你给她们准备了安全屋什么的吗？";
"You got any advice on closing the deal?": "成交这方面有什么建议吗？";
"You got any clue who they are?": "你对他们是谁有头绪吗？";
"You got better things to do?": "你有更好的事要忙？";
"You got good timing, my girls need a driver.": "你来得正是时候，我姑娘们缺个司机。";
"You got it.": "没问题。";
"You got more fliers?": "你还有传单？";
"You got nothing to worry about, Kinzie.  Besides, you got Saints with you.": "你没什么可担心的，金吉。再说，还有圣徒陪着你。";
"You got shitty timing, Oleg.": "你来的时机真烂，奥列格。";
"You got someplace I can stash them?": "你有地方安置她们吗？";
"You got spies here or something?": "你在这儿安插了眼线还是怎么的？";
"You got that right.  I owe this asshole a beating.": "说得对。我欠这混蛋一顿揍。";
"You got the best places off those?  Shit, why didn't you say so.": "从那上面查到的都是好地方？妈的，怎么不早说。";
"You got this place cleaned out yet, love?": "这地方你清空了没，亲爱的？";
"You got your girls on sale in a catalogue?": "你的姑娘们是印在商品目录上卖的？";
"You gotta be excited...": "你总得兴奋点吧……";
"You gotta be kidding me!": "你在逗我吧！";
"You gotta be kidding me...": "你在逗我吧……";
"You gotta be nice to sell shit.  I feel more like shootin' than sweet talkin'.": "卖东西得嘴甜。我现在更想开枪，不想甜言蜜语。";
"You gotta feel better after that.": "那一下之后你肯定舒服多了。";
"You gotta learn to stand up for yourself.": "你得学会为自己挺身而出。";
"You gotta live...live for all of us...": "你得活下去……替我们所有人活下去……";
"You gotta try this Pierce!": "你得试试这个，皮尔斯！";
"You guys are trying, right?": "你们是真在努力，对吧？";
"You had a helicopter just lying around?": "你就让一架直升机这么闲着？";
"You had me worried for a second.": "你刚才吓我一跳。";
"You had that shit the whole time and you're giving it to me now?": "你揣着那玩意儿这么久，现在才给我？";
"You had this just tucked away for a rainy day?": "你把这宝贝藏着以备不时之需？";
"You had this on you?  Fuck it, just forget I asked.": "你身上一直带着这个？算了，当我没问。";
"You had this the ENTIRE TIME?": "你一直揣着这玩意儿？";
"You handle that gun like a pro.": "你玩枪玩得真专业。";
"You have 60 seconds to decide.": "你有60秒做决定。";
"You have a booty call to get to?": "你赶着去赴约？";
"You have a funny definition of training, Angel.": "你这\"训练\"的定义真有趣，安吉尔。";
"You have a helicopter...?": "你有直升机……？";
"You have a lot of ring rust, man.": "你久疏战阵了，伙计。";
"You have a place to stash them?": "你有地方安置她们吗？";
"You have a plan, right?": "你有计划，对吧？";
"You have a plan, yes?": "你有计划，对吧？";
"You have a plan?": "你有计划吗？";
"You have a point.": "有道理。";
"You have a way with words.": "你真会说话。";
"You have any empty safehouses?": "你有空着的安全屋吗？";
"You have any idea where to start?": "你知道从哪儿开始吗？";
"You have been in contact with Pierce?": "你一直在跟皮尔斯联系？";
"You have enough of those for another stop?": "这些够你再跑一站吗？";
"You have enough of those things to go around?": "那些玩意儿够分吗？";
"You have found it?": "你找到了？";
"You have it... yes?": "你拿到了……是吧？";
"You have nothing to worry about.": "你没什么好担心的。";
"You have our next location?": "你有我们下一个地点？";
"You have some psychic bond with this computer or some shit?": "你跟这台电脑有心灵感应还是怎么的？";
"You have something that belongs to me....": "有件东西在你手里……";
"You have the best plans.  Know where to go then?": "你的计划最棒。那知道该去哪儿了？";
"You have the goods?": "货带来了？";
"You have the right figure for that look. ": "你的身材正适合这造型。";
"You have to be more careful.": "你得再小心点。";
"You have to cancel the party, it's a trap...": "你得取消派对，那是陷阱……";
"You have to explain.": "你得解释一下。";
"You have to hurry.  Only take what we need.": "你得抓紧。只带必需的。";
"You have to keep them all back!": "你必须把他们都挡回去！";
"You have worked on nuclear vessels?": "你在核动力舰船上干过？";
"You have your favorite girls out working, too?": "你的心肝宝贝们也都出去接活了？";
"You haven't seen Loren's science experiments?": "你没见过洛伦的科学实验品？";
"You haven't seen Loren's science projects before?": "你以前没见过洛伦的科学项目？";
"You haven't won yet.": "你还没赢呢。";
"You having a go?": "你要试试吗？";
"You heard Jimmy, he still thinks he's out to avenge Aisha.": "你听见吉米说的了，他还以为自己是在为艾莎复仇。";
"You heard from Shuandi since this started?": "这事开始以来你有肖恩蒂的消息吗？";
"You heard him, Pierce.  Let's go.": "你听到了，皮尔斯。走。";
"You heard me.  I'll look up here.": "你听见了。我在这上面找。";
"You heard the lady!": "你听到这位女士的话了！";
"You heard the man, into the crate!": "你听到他说的了，进箱子里！";
"You helped him and now he wants you dead?": "你帮了他，现在他反倒要你死？";
"You holding up ok, Zimos?": "你还顶得住吗，齐莫斯？";
"You intend to ride this all the way down?": "你打算就这么一路骑到底？";
"You into this kinda stuff?": "你喜欢这种玩意儿？";
"You joking?": "你开玩笑呢？";
"You just destroyed everything those two built in this city.  Can't we just enjoy the \"now\" without you digging up the past?": "你刚把这俩人在城里建立的一切都毁了。能不能别翻旧账，先享受当下？";
"You just gonna sit around waiting for Killbane to finish the job, Angel?": "你就打算坐等杀霸来收尾吗，安吉尔？";
"You just need a roll model.  Follow me and you'll see how it's done.": "你只是缺个榜样。跟着我，你就知道该怎么混。";
"You just putting that together?": "你这才想明白？";
"You just want me to be shot at instead of you.": "你就是想让我替你挨枪子。";
"You keepin' up alright?": "你还跟得上吧？";
"You kick Killbane's ass all over that ring and we're even.": "你在擂台上把杀霸打得满地找牙，咱们就两清。";
"You kidding me?  Our helicopter crashed.": "开什么玩笑？我们的直升机坠毁了。";
"You kidding? I need someone to pin the blame on if this goes tits up.": "开玩笑？万一砸了锅，我总得找个背锅的。";
"You kinda dodged that question...": "你这不是回避问题嘛……";
"You kinda stand out, Z.": "你太扎眼了，Z哥。";
"You knew about them?  Kinzie, you are welcome to share these bits of information with me.": "你早知道他们的事？金吉，欢迎随时跟我分享这些信息。";
"You knew that coming into this.": "你进来之前就知道会这样。";
"You know I have to.": "你知道我不得不这么干。";
"You know I wouldn't understand, right?": "你知道我听不懂的，对吧？";
"You know Pierce and I can handle this, Shaundi.": "你知道我和皮尔斯应付得来，肖恩蒂。";
"You know Zach, this may be the longest time in the air any contestant on Genkibowl has spent.": "你知道吗扎克，这可能是元气杯史上选手在空中停留最久的一次。";
"You know he's gonna try to cheat, right?": "你知道他会耍老千的，对吧？";
"You know how hard it is to shoot on top of a building?  Makes sense, financially.": "你知道在楼顶上开拍有多难吗？从经济上讲，这很合理。";
"You know how often this guy gets on camera?": "你知道这家伙多久上一次镜头吗？";
"You know how to handle yourself.": "你知道怎么保护好自己。";
"You know it will be.": "你知道一定会出事。";
"You know me, I'm Cyrus Temple!": "认识我吗？我是赛勒斯·坦普尔！";
"You know me, I've got your back.": "认识我吗？我罩你。";
"You know me, this marketing shit was never my thing.": "你知道的，营销那套从来不是我的菜。";
"You know me.  Anytime.": "你知道我这个人。随时效劳。";
"You know me...": "你懂的……";
"You know nobody cares about your explanations, right?": "你知道没人在乎你的解释，对吧？";
"You know somethin' about ships I don't?": "你知道什么我不懂的船务？";
"You know something, I'm not sure those ships are remote controlled...": "我说，我怎么觉得那些船不是遥控的……";
"You know that bomb we stole?  Well, there you go.": "还记得我们偷的那颗炸弹吗？喏，就是它。";
"You know the best place to start sellin'?": "你知道最好的开卖地点在哪儿吗？";
"You know the only real airtime in that was the two seconds of freefall between fending off attacks from monkeys with machetes and falling to the carpet of buzz saws.  Here you don't have that same risk.": "你知道刚才那一段里，唯一真正的空中时间，是在挥刀砍杀持大砍刀的猴群和坠向电锯地毯之间的那两秒自由落体。在这儿你就没这种风险。";
"You know the score, Jezebel...there's no time for love.": "你知道规矩的，耶洗别……没有时间谈情说爱。";
"You know this city; what's goin' on here, Viola?": "你熟这座城；这儿到底怎么回事，薇奥拉？";
"You know this is a good look for you.  You should keep the face when you're done with it.": "你知道这造型很适合你。拍完了这张脸你就留着吧。";
"You know this is a straight up kidnapping, right?": "你知道这就是彻头彻尾的绑架，对吧？";
"You know this place?": "你知道这地方？";
"You know what I collect?  Body counts.  Can we go shoot someone now?": "你知道我收藏什么吗？尸体计数。现在能去开枪了吗？";
"You know what I see, Kinzie?  I'm a fucking toilet, that's what.": "你知道我看到了什么吗，金吉？我他妈成了个马桶，就这么回事。";
"You know what also takes a city?  Gratuitous violence.": "你知道还有什么能拿下一座城吗？无节制的暴力。";
"You know what to do.": "你知道该怎么做。";
"You know what's up with the whole \"Feel Boss\" thing?": "你知道“Feel Boss”那摊子事是怎么回事吗？";
"You know what, fuck that.  Turn up ahead.": "你知道吗，去他妈的。前面拐。";
"You know what... this just isn't working for me.  There's no life!  We've got a star making performance here, and a cardboard cutout for a co-star... We gotta ramp everything up.  Take it back to entering the base, we're sexing this fucker up!  More guards, more assault rifles!": "你知道吗……这镜头就是没感觉。没有生命力！我们这边是影帝级的表演，对面却是个纸板人当搭档……咱得全面升级。退回进基地那段，给它加点料！加守卫，加突击步枪！";
"You know what?  These ships aren't acting like remote controlled drones.": "你知道吗？这些船的动静可不像遥控无人机。";
"You know when you say it like that, it loses some of the appeal...": "你知道吧，你这么一说，吸引力就少了几分……";
"You know where you're going...?": "你知道自己要去哪儿吗……？";
"You know who we're getting?": "你知道我们要接的是谁吗？";
"You know you're never getting me like this again.": "你知道你再也无法这样抓到我了。";
"You know your stuff, Kinzie.  I'll give you that.": "你确实懂行，金吉。这点我承认。";
"You know, Eddie...": "你知道吗，埃迪……";
"You know, I could use a gimp suit.": "你知道吧，我倒是缺一件皮套紧身衣。";
"You know, it wouldn't kill you to be a little more encouraging.": "你知道吧，你要是能多点鼓励，又不会少块肉。";
"You know, killing people has that effect as well.": "你知道吧，杀人也有这种效果。";
"You know, the one going on back at the crib.": "你知道吧，老巢那边正在办的那场。";
"You know, unless the parachute doesn't work...  Or a plane flys into them.": "你知道吧，除非降落伞打不开……或者有架飞机撞上他们。";
"You left under... Kinzie how long have you been planning this operation?": "你离开时……金吉，这场行动你计划多久了？";
"You let me worry about that.": "那个让我来操心。";
"You like the place? It's modeled after the Nyte Blayde season 3 episode \"Rise of the Cyprian Order\". Here is where The Cardinal lays his plan for a bett-": "喜欢这地方吗？它照着《夜刃》第三季那集《赛普里安教团的崛起》搭的。这边是红衣主教筹划更美好——";
"You like to dance, no?": "你喜欢跳舞，对吧？";
"You look a little tense.": "你看着有点紧张。";
"You look nervous.": "你看起来很紧张。";
"You lookin' for someone in particular?": "你在找什么特定的人吗？";
"You lost me.": "你把我绕晕了。";
"You lost, you fled, and now you die.": "你输了，你逃了，现在你去死吧。";
"You made it.": "你成功了。";
"You made your living hunting down lost relics?": "你以前靠寻获失落古董谋生？";
"You may have to.  STAG has called for an AWACS plane and reinforcements.": "你恐怕必须得去了。STAG调了一架AWACS预警机和增援。";
"You mean fur.": "你是说毛。";
"You mean mascot-eating sharks, don't you Bobby?": "你是说吃吉祥物的鲨鱼，对吧，博比？";
"You mean where those giant tubes are feeding into?  That can't be a trap or anything.": "你是说那些巨型管道通进去的地方？那可“绝对”不是陷阱。";
"You mean where those giant tubes are feeding into?  The place that looks like a trap? ": "你是说那些巨型管道通进去的地方？看着像个陷阱那地方？";
"You mean where those giant tubes are headed?  That can't be a trap or anything.": "你是说那些巨型管道通向的地方？那可“绝对”不是陷阱。";
"You mean, \"we\" right?": "你是说“我们”，对吧？";
"You mean, like, going more than five blocks from your place?": "你是说，离家超过五个街区那种？";
"You mean... That's like... Holy fucking shit!": "你是说……那就像……我他妈的勒个去！";
"You mental?  That was the crazy lackey of yours!": "你疯了吗？那是你那个疯批走狗！";
"You might be onto something here.": "你可能真琢磨出点名堂了。";
"You might enjoy being a radioactive zombie.": "你也许会喜欢当个放射性丧尸。";
"You missed it.  That's ok, try again.": "没打中。没事，再来。";
"You must be joking...": "你一定是在开玩笑……";
"You must have really pissed them off.": "你肯定真把他们惹毛了。";
"You must keep in range of Pierce.": "你必须保持在皮尔斯的信号范围内。";
"You must not be familar with voodoo.": "你肯定对巫毒一无所知。";
"You must of really pissed these guys off.": "你肯定真把这些人惹毛了。";
"You need a wing man out there?": "外面需要个僚机吗？";
"You need anything else, give ol' Zimos a call... ": "还需要什么，随时打给老齐莫斯……";
"You need more faith in our fans.": "你得对我们的粉丝多点信心。";
"You need the Stilwater Butcher to keep you safe, and you're judging me?  I'm the star here.  I'm their Greek god, high up on Olympus!": "你需要斯蒂尔沃特屠夫来保你平安，反倒来评判我？这里我是主角。我是他们的希腊天神，高居奥林匹斯山上！";
"You need to get laid.": "你需要发泄一下。";
"You need to get there fast!  If I calculated the molecular make up of the drink correctly, you should be lighter than normal as well.  Maybe even able to fly.  But that's theoretical of course...": "你得快点赶到那儿！要是我对那饮料的分子结构计算无误，你应该也会比平时轻。说不定还能飞起来。当然，那只是理论……";
"You need to see this.  Come to Smiling Jack's and I'll show you.": "你得看看这个。来微笑杰克，我给你看。";
"You need to slow down, baby.": "宝贝儿，你得慢点。";
"You need to trust me.": "你得相信我。";
"You never can tell.": "这可说不准。";
"You never told me about the helicopter.": "你可从没跟我说过有直升机。";
"You ok, Z?": "你还好吧，Z哥？";
"You okay?": "你还好吗？";
"You packin' their lunches or something?": "你是给他们打包午饭还是怎么的？";
"You pay all your girls the same rate?": "你给所有姑娘的价都一样？";
"You pilot well, Angel.  You must fly quite often.": "你开得真好，安吉尔。你肯定常飞。";
"You plan on keeping us alive, right?": "你打算让我们活着，对吧？";
"You plan on using those car bombs?": "你打算用那些汽车炸弹？";
"You read my mind.  Where to?": "正合我意。去哪儿？";
"You ready Shaundi?": "准备好了吗，肖恩蒂？";
"You ready to be a star?": "准备好当明星了吗？";
"You ready to be bait again?": "准备好再当一次诱饵了吗？";
"You ready to go in and get that...": "准备好进去拿那个……";
"You ready to steal a STAG transport?": "准备好偷一架STAG运输机了吗？";
"You ready to watch a professional at work?": "准备好看专业人士干活了吗？";
"You ready yet Pierce?": "准备好了吗，皮尔斯？";
"You ready, Kinzie?": "准备好了吗，金吉？";
"You ready?": "准备好了吗？";
"You really are getting into this.": "你是真玩进去了。";
"You really are good at this stuff.": "你干这个确实有一手。";
"You really don't like the carpet?": "你真不喜欢这地毯？";
"You really don't, Zach.  We never did find that mouse.": "你真的没有，扎克。我们到现在也没找到那只老鼠。";
"You really know how to ruin a girl's fun.": "你可真会扫姑娘的兴。";
"You really know your stuff.": "你是真懂行。";
"You really need to get laid.": "你真的需要发泄一下了。";
"You really need to work on your timing.": "你的时机把握真有待提高。";
"You really think it will be so easy?": "你真觉得会这么容易？";
"You really think the Morningstar won't object?": "你真觉得晨星帮不会反对？";
"You really wanna give it a shot?": "你真想试试？";
"You really wanna play that game, sweetheart?": "你真想玩这一出，甜心？";
"You really want to know?": "你真想知道？";
"You really want to make that argument right now?": "你现在真要争这个理？";
"You recognize UAV drone controls?  You have been sleeping with special forces, yes?": "你认得出UAV无人机操控？你跟特种部队睡过，是吧？";
"You remember that I am flying an attack chopper, yes?": "你还记得我开的是武装直升机吧？";
"You remind me of a man I knew back in the old country.  He could sell anything.": "你让我想起老家认识的一个人。他什么都能卖出去。";
"You said in a boat.  Where is he then?": "你说的是在船上。那他人呢？";
"You said it Bobby.  Hey, let's check out the action from the Leather and Lace \"Dildo cam\": Leather & Lace, where you can find all your BDSM needs.": "说得对，博比。嘿，让我们从皮革与蕾丝的“假玩具摄像头”看看战况：皮革与蕾丝，满足你一切BDSM需求。";
"You said it again...": "你又说漏嘴了……";
"You said two guys, not my fault.": "你说的是两个人，怪不得我。";
"You said you had this, Kinzie!": "你不是说你能搞定吗，金吉！";
"You saved me copy of that tape, yes?": "那盘带子你给我留了拷贝，是吧？";
"You saw it here, folks!": "诸位，你们是在这儿亲眼所见！";
"You say I am not always looking good?": "你是说我一直不上镜？";
"You say death wish, I say childish glee.": "你说是求死心切，我说是孩子般的兴致。";
"You sayin' you don't like the threads?": "你是说你不喜欢这身行头？";
"You see Killbane anywhere?": "你看到杀霸了吗？";
"You see me startin' shit with them?  No, that was all you, girl.": "你见我跟他们起过冲突吗？没有，那都是你干的，姑娘。";
"You see?  I return!": "看到没？我回来了！";
"You sell your girls with a catalogue?": "你是拿商品目录卖姑娘的？";
"You send all the girls out every night?": "你每晚都把所有姑娘派出去？";
"You serious?!": "你认真的？！";
"You shittin' me?": "你耍我呢吧？";
"You should branch out.": "你们该扩大业务。";
"You should buy your own Planet Saints.": "你该买下属于你自己的圣徒星球。";
"You should check the containers on the cargo ship that's soon to enter Steelport.": "你该查查那艘即将进入钢埠的货船上的集装箱。";
"You should do this one like I did the last.  Bigger the explosion the better.": "这个照我上次那样来。爆炸越大越好。";
"You should explain that to me.": "这个你得给我解释解释。";
"You should get Shaundi to help you on this.": "你该找肖恩蒂帮忙。";
"You should have more confidence in the man you wanted to clone.": "你该对你想克隆的那个人多点信心。";
"You should head to the mayor's office.": "你该去市长办公室。";
"You should jump because it helps the Saints.": "你该跳，因为这对圣徒有帮助。";
"You should just let me shoot it instead.": "你该让我直接开枪打。";
"You should stay out of this, Jimmy.": "你别掺和进来，吉米。";
"You should trust me on this.": "这事你该信我。";
"You should trust me, Pierce.": "你该信我，皮尔斯。";
"You should try it sometime.": "你也该找天试试。";
"You should.": "你应该。";
"You shouldn't be.  My place has a lot of character.": "不该吗？我的房子可有个性了。";
