// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "来吧。来吧。";
"At the last one... this will be quick": "到最后一个了……这会很快。";
"Let's get out of here.": "我们离开这儿。";
"Gosh, what a glorious day!": "天哪，多美好的一天！";
"Sorry, but my mechanical body needs time to cool down first.": "抱歉，我的机械身体需要时间冷却。";
"Kinzie...I want to get the hang of my new power...": "金吉……我想好好掌握我的新能力……";
"Matt, is this NyteBlayde fanfiction?": "马特，这是夜刃的同人小说吗？";
"What's past is past. We are all working together now. Let's focus on the job.": "过去的就让它过去。我们现在都在同一条船上。专心干活吧。";
"It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.": "要是留下来的是莎蒂，活下来的是盖特，那该多好。她除了整天抱怨，什么正经事都不干。";
"*sigh*  Your funeral...": "*叹气* 自找的……";
"We're almost done. Just one more stop.": "我们快弄完了。就剩最后一站。";
"This isn't for your empire, this is for the people of Earth.": "这不是为了你的帝国，这是为了地球的人民。";
"Good, now keep going.": "好，继续前进。";
"Bring it! I'll waste every last one of you!": "放马过来！我会把你们一个个全废掉！";
"Where's Kinzie, Keith?": "金吉在哪，基思？";
"Without me, you and Kinzie would still be alone without any of your friends.": "没有我，你和金吉还会是孤零零的，身边一个朋友都没有。";
"This seems an odd place for an electrical field.": "电场出现在这种地方，真是奇怪。";
"Man, I remember all these people...feel like I shot half of 'em myself...": "天，我还记得这些人……感觉有一半都是我亲手干掉的……";
"Ha! You don't know who you're dealin' with, do you?": "哈！你根本不知道自己在跟谁打交道吧？";
"Woo. What's happening?": "喔。发生什么了？";
"There's the door.": "门在那儿。";
"I'm sure pissing you off is the point.": "我敢说，惹你生气正是它的目的。";
"I thought this place was safe, Kinzie...what happened?": "我以为这地方很安全，金吉……发生了什么？";
"Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!": "哦，那个马特。真是个活宝。我倒不介意再杀他一次。嘿，等你一失败，就轮到我了！";
"Fuck.  I'm on it.": "操。我马上办。";
"Wait--what?": "等等——什么？";
"Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!": "你开什么玩笑？莎蒂，这意味着我先炸掉一大堆东西，然后我们就能拿下整辆坦克！";
"You can kill me, but my people WILL avenge my death!  Then your race will be wiped from it's pitiful existence in this universe.": "你可以杀了我，但我的人民一定会为我报仇！然后你们这个种族，就会从这个宇宙中可悲的存在里被抹去。";
"Of course, why would I need a hacker in a virtual prison...": "当然，我在一个虚拟监狱里，要黑客干什么……";
"Attacking its shields with powers will help.": "用能力攻击它的护盾会有帮助。";
"A little busy with these assholes right now.  Shaundi, think you can figure it out?": "我现在正忙着对付这些混蛋。莎蒂，你觉得你能搞定吗？";
"Little bit.": "一点点。";
"Your crowd didn't do much.  Guess you should've hired some actual bodyguards.": "你的那群观众没起什么作用。我猜你该雇几个真正的保镖。";
"Good point.": "有道理。";
"Yes Kinzie, I still have them.": "是的金吉，我还在。";
"Way to be an ass...": "真有你的……";
"ummm...maybe?": "嗯……也许吧？";
