// extra_dumps ref: activity - JP/CZ reference for keys in extra_activity_us.txt
"CHOPSHOP_VIEW_DETAILS": "JP: 詳細を見る || CZ: PODROBNOSTI"
"ACT_TORCH_START_TEXT2": "JP: 人や車に火を点けて\nボーナスポイントを稼げ || CZ: NASBÍREJ BONUSOVÉ BODY ZA ZAPALOVÁNÍ LIDÍ A VOZIDEL."
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "JP: {RECRUIT_DISMISS_IMG}で[format][color:green]協力者[/format]をスカウトしろ || CZ: {RECRUIT_DISMISS_IMG} NAVERBUJ [format][color:green]KONKTAKT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "JP: [format][color:green]エステティシャン[/format]を[format][color:teal]ズィーモス[/format]の所まで連れて帰れ || CZ: PŘIVEZ [format][color:green]ŠTĚTKY[/format] ZPÁTKY K [format][color:teal]ZIMOSOVI[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "JP: ガーディアンエンジェルレベル選択 || CZ: VÝBĚR ÚROVNĚ STRÁŽNÉHO ANDĚLA"
"ACT_WHORED_MALLCOP": "JP: 正義を貫け！ || CZ: Za spravedlnost!"
"ACT_RUNNING_MAN_BUTTON": "JP: ボタンを押す？ || CZ: Chceš stisknout tlačítko?"
"STRONGHOLD_FAILURE_SUB_TEXT": "JP: 拠点制圧失敗 || CZ: PEVNOST SKONČILA NEZDAREM"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "JP: [format][color:green]エステティシャン[/format]が逮捕された。すぐに救出に向かえ！ || CZ: [format][color:green]ŠLAPKY[/format] BYLY ZATČENY, JDI ZA NĚ ZAPLATIT KAUCI"
"ACT_VANDAL_BONUS_BLANK": "JP: ボーナス || CZ: "
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "JP: よくやった！警察は情報源を失った || CZ: DOBRÁ PRÁCE! POLDOVÉ ZTRATILI STOPU."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "JP: DOWNTOWN || CZ: CENTRUM"
"ACT_FRAUD_EARN_MONEY": "JP: 金を稼げるのは指定の[format][color:teal]スコアリングエリア[/format]だけだ || CZ: PENÍZE MŮŽEŠ ZÍSKAT POUZE VE VYZNAČENÝCH [format][color:teal]BODOVACÍCH ÚZEMÍCH[/format]"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "JP: 車両が壊れてしまった || CZ: ZNIČIL JSI VŮZ"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "JP: [format][color:green]協力者[/format]を連れ戻せ || CZ: PŘIVEĎ [format][color:green]INFORMÁTORY[/format] ZPĚT."
"ACT_WHORED_DRUNKEN_BOXING": "JP: 酔ったときは、眠れる力が目覚めるもの || CZ: Když budeš opilý, budeš mít supersílu."
"ACT_ESCORT_TIGER_START": "JP: タイガーエスコートを開始 || CZ: SPUSTIT ESKORTU TYGRA"
"ACT_FRAUD_GO_GET_HURT": "JP: {ATTACK_PRIMARY_IMG}か{ATTACK_SECONDARY_IMG}で車にアタれ\nタイミングが良いとデカく稼げるぞ || CZ: Stisknutím {ATTACK_PRIMARY_IMG} nebo {ATTACK_SECONDARY_IMG} se zkácíš. Čím bolestivější to bude, tím víc peněz získáš"
"ACT_TORCH_TIME_LABEL_TEXT": "JP: 時間 || CZ: ČAS"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "JP: [format][color:green]仲間[/format]が[format][color:blue]目的地[/format]に移動するまで援護しろ || CZ: Pomoz svým [format][color:green]kumpánům[/format] dostat se na [format][color:blue]místo určení[/format]."
"ACT_ESCORT_PI_SPAWNED": "JP: [format][color:red]私立探偵[/format]をまけ || CZ: SETŘES [format][color:red]SOUKROMÉHO DETEKTIVA[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "JP: 場所が表示されている || CZ: Poloha byla označena."
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "JP: 時間切れだ || CZ: DOŠEL TI ČAS"
"ACT_CHOPSHOP_NONE": "JP: ヤミ改造工場がリストにないぞ || CZ: SEZNAM DÍLEN JE PRÁZDNÝ"
"ACT_HELI_PROTECTION_START_MESSAGE": "JP: [format][color:green]仲間[/format]を護衛しろ || CZ: TVOJI [format][color:green]PARŤÁCI[/format] POTŘEBUJÍ TVOU OCHRANU"
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "JP: 一般市民ボーナス || CZ: BONUS ZA CIVILISTU"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "JP: 衛星アンテナを破壊しろ || CZ: ZNIČ SATELITNÍ ANTÉNY"
