# TODO: Translate to Simplified Chinese
# Source: multiplayer_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 73

"HASH_77038CC0": "房主目前不接收玩家。"
"HASH_64712CA0": "主机已离开游戏。"
"HASH_E734D720": "取消"
"HASH_19C21400": "玩家的个人资料包含不受支持的字符。这些字符现在显示为\"%ls\"。"
"HASH_559BCAA1": "联机合作"
"HASH_8B3D1EA1": "退出"
"HASH_FFBC7D21": "将从另一个存档载入角色、服装与载具"
"HASH_EC4763C1": "%ls 在你执行任务期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_00739642": "轻微队友火力已开启！\n你现在可以对你的搭档造成一定伤害。"
"HASH_A4FAFC02": "你已断开连接！"
"HASH_698DA423": "邀请已发送"
"HASH_3E1B6863": "队友火力已开启！\n你现在可以伤害你的搭档。"
"HASH_04E3AB43": "踢出玩家"
"HASH_5785DF24": "正在查找服务器"
"HASH_0A54BEC5": "玩家的个人资料包含不受支持的字符。这些字符现在显示为\"_\"。"
"HASH_782F61A5": "继续"
"HASH_7898FE46": "退出游戏"
"HASH_86B77666": "主机已离开游戏。"
"HASH_61C04886": "等待房主接受连接。"
"HASH_F63BDBC7": "%ls 在你身处根据地时无法加入。\n当你回到正常游戏后他们就会加入。"
"HASH_BD0648E7": "%ls 在你执行活动期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_C5C23CA8": "你必须使用与主机相同的《黑道圣徒IV》版本才能游玩局域网游戏。 请确保所有人都已下载最新的标题更新。"
"HASH_D7E3A668": "你已与游戏断开连接。"
"HASH_63B82EA8": "找不到任何游戏。"
"HASH_0C700928": "平局"
"HASH_C6230368": "载入角色"
"HASH_5A5A9A48": "%ls 正在等待加入。"
"HASH_6B08D0C9": "%ls 正在加入游戏"
"HASH_6162DF2A": "加入好友"
"HASH_5BA6A90B": "你必须使用与主机相同的《黑道圣徒IV》版本才能游玩合作游戏。 请确保所有人都已下载最新的标题更新。"
"HASH_8C806C4B": "你必须登录 Xbox Live 才能使用此功能。"
"HASH_ECA4FBEB": "你已登出。\n正在返回标题画面。"
"HASH_4755614C": "你赢了"
"HASH_D570232D": "查找游戏"
"HASH_DE18EFEE": "多人游戏"
"HASH_4C65A66E": "联机合作"
"HASH_113E326E": "加入请求"
"HASH_65B006EF": "你必须使用与主机相同的《黑道圣徒IV》版本才能游玩合作游戏。 请确保你已下载最新的补丁。"
"HASH_B88D65EF": "队友火力已关闭！\n你再也无法伤害你的搭档。"
"HASH_E45265F0": "以太网连接已断开。"
"HASH_D83A0B10": "正在加入服务器"
"HASH_AB504030": "%ls 想加入你的游戏。\n要让他加入吗？"
"HASH_1B8C9110": "%ls 在你观看过场动画期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_3E991051": "无法加入该游戏。"
"HASH_D6421631": "踢出玩家并继续游戏"
"HASH_24443411": "读取"
"HASH_47DACB11": "必须重启此任务才能让 %ls 立即加入你的游戏。 重启将丢失你在本任务中当前的所有检查点进度。\n确定要加入吗？"
"HASH_8184B8F2": "发生连接错误。\n正在返回标题画面。"
"HASH_F099B5B2": "邀请失败"
"HASH_C602DD13": "你必须使用与主机相同的《黑道圣徒IV》版本才能游玩合作游戏。 请确保所有人都已从 Xbox Live 下载最新的标题更新。"
"HASH_06862733": "无法加入该游戏。"
"HASH_23F07E33": "你已与主机断开连接，因此必须返回标题画面。\n退出关卡前是否保存？"
"HASH_5EF3DB14": "保存并退出游戏"
"HASH_7E2A82D5": "拒绝"
"HASH_BF758775": "接受"
"HASH_C9B002D5": "合作玩家已断开连接。"
"HASH_DA984555": "你被踢出了游戏！"
"HASH_564B5EB7": "%ls 已离开游戏会话"
"HASH_4848E318": "你必须使用与主机相同的《黑道圣徒IV》版本才能通过系统链接游玩。 请确保所有人都已从 Xbox Live 下载最新的标题更新。"
"HASH_FC103A58": "请稍候……"
"HASH_C21AE398": "房主正忙，请你稍候……"
"HASH_5D268139": "你必须登录 Xbox Live 才能使用此功能。"
"HASH_1DFE01F9": "新建"
"HASH_BB8A835A": "正在搜索游戏。"
"HASH_ADD55D9B": "该游戏正在进行中或已满员。"
"HASH_1604971B": "正在重新连接 %ls"
"HASH_D96AAD1C": "发生连接错误。\n正在返回标题画面。"
"HASH_975DFE3D": "你必须登录一个档案才能使用此功能。"
"HASH_3E0C0D3D": "你输了"
"HASH_DD865FBD": "已向 {0} 发送邀请。"
"HASH_6627573D": "保存并继续游戏"
"HASH_C0C674BE": "无法向 {0} 发送邀请。"
"HASH_A03867DF": "你必须登录一个档案才能使用此功能。"
